# Reviewed globals whose retail initialized-storage reconstruction is complete.
# Add each verified recovery here with authoritative retail evidence. The link audit
# hard-fails on storage, normalized bytes, relocation pattern, or reviewed pointer-
# target regressions. Known legacy mismatches remain transitional diagnostics until
# their initializers are recovered.
name	unit	size	retail_sha256	highlow_count	audit
?xPasswordStrings@@3PAPADA	SOURCE/X_GLOBAL	0x34c	767fab8b4caa1d06b43fb74e69e143e3394c35aa58f64fd2cb9ad2dfd163cd9a	211	cstring-pointer-table
?xShrineBuildingCost@@3PAHA	SOURCE/X_GLOBAL	0x1c	db7366a4b2b1160dee53ba685136b98a446d7a8f5bbd7ab8926082406d17a6ea	0	bytes
?trackXY@@3PAY1N@1FA	SOURCE/Campaign	0x68	1ef998eaf11252f4df0e93c20ac1cbf5635294d9b4fbe5d2992c91e59a7d40c0	0	bytes
?cdTestTrackData@@3PAUsCDTest_Track_Data@@A	SOURCE/x_cdtest	0x158	1963df914392324ae47647a6f2d114f7272a3ff107817e81d22b5c6bf8a3d597	0	bytes
?monAnimDrawFrame@@3PAEA	SOURCE/ADVMGR	0xf	9261d751ebe0d2f389b7065785fb0c878817a20f5ded0bf902db66a00ab99490	0	bytes
?gfDurationMods@@3PAMA	SOURCE/SPELLAI	0x30	db5f2986b0377244a6fb7e66c91f93e3548a258f19b56f28f5b38e6457e9b914	0	bytes
?gfCancelDurationMods@@3PAMA	SOURCE/SPELLAI	0x2c	ca9d08da58fc9d6d09fa1ee9b187a3d1c5cfc5338b1409e59147a58965d749af	0	bytes
?giMapSizeFilter@@3HA	SOURCE/REQUEST	0x4	fb5e512425fc9449316ec95969ebe71e2d576dbab833d61e2a5b9330fd70ee02	0	bytes
?wallHex@@3PAEA	SOURCE/CMBTMGR	0x4	00acc2799d35b173ff214b636face0a9b2066fcc02972d6defc22801ed81ca3f	0	bytes
?iBaud@@3PAHA	SOURCE/REMOTE	0x20	1a8985e186333aaffaba2ea7c70b2f7872289d67ec93cafcd4840d58af602d6a	0	bytes
?iIRQ@@3PAHA	SOURCE/REMOTE	0x1c	5b2351c91be975a9d8db717103fa87c13cf8987f61078393eb9ef9cc7167cab3	0	bytes
?coreRatio@@3PAGA	SOURCE/tradpost	0xe	cc695846771dc46930f9d7f96645a9d561b4b6727bc1159fdb7c8f65d6ca4ef9	0	bytes
?cWSTextBuffer@@3PADA	SOURCE/Wsnetwin	0x100	5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1	0	bytes
?iMemEntries@@3HA	BASE/Misc	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?gpMemEntry@@3PAUMemEntry@@A	BASE/Misc	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?giTotalMemAllocated@@3HA	BASE/Misc	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?giChangeThreshold@@3PAEA	BASE/Misc	0x10	2643ad1ca1f3045489a9a8f1d716c0ebf008cdcb71fb6e5504056deef4d2838c	0	bytes
?iLastSeed@@3HA	BASE/Misc	0x4	5237e80ed5edffb4163f294d2e3f9485c82616d42deaab4618915ccdf9fedbc0	0	bytes
?iSaveCtr@@3HA	BASE/RESMGR	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?iMouseOffset@@3PAHA	BASE/MOUSEMGR	0x10	da9e85603ae30706708d565ebfede42221b304d996823571d8a40ab2e03b409a	0	bytes
?iMouseSize@@3PAY01CA	BASE/MOUSEMGR	0xc0	e6038792e07bb2a3131f34c44eb13b703edee872a686faea038d6779a72f5822	0	bytes
?iHotSpot@@3PAY01CA	BASE/MOUSEMGR	0xc0	9047b7f469e458c1c0f316da743a0b4dd02a226db9c5d4781ed996b6ed264f59	0	bytes
?gbInSetPointer@@3HA	BASE/MOUSEMGR	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?bInNewMouseUpdate@@3HA	BASE/MOUSEMGR	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?iCombatCycleFrame@@3HA	BASE/WINMGR	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?gbEveryOtherCycle@@3HA	BASE/WINMGR	0x4	67abdd721024f0ff4e0b3f4c2fc13bc5bad42d0b7851d456d88d203d15aaa450	0	bytes
?iCycle1Count@@3HA	BASE/WINMGR	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?iCycle2Count@@3HA	BASE/WINMGR	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?iCycle3Count@@3HA	BASE/WINMGR	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?iDialogNestCount@@3HA	BASE/WINMGR	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?digitalDriverNames@@3PAPADA	BASE/soundmgr	0x38	d9031ba9a4e6fb2dc7247b4d0a2a2bdfa9d3676dc1294fb0464c9522da6bb573	13	cstring-pointer-table
?SCS@@3PAUSampleChannelStruct@@A	BASE/soundmgr	0x30	51d94f0b0807b2f944361fc8923a4dc51208448ef697bd786b57591d1b4b72dc	0	bytes
?CDPreviousPosition@@3PAY0P@DA	BASE/soundmgr	0x384	fa807c957eafe34b850cb453a096df2e5899f0902a837fccd59f9aafa869fb44	0	bytes
?CDWaiting@@3HA	BASE/soundmgr	0x4	ad95131bc0b799c0b1af477fb14fcf26a6a9f76079e48bf090acb7e8367bfd0e	0	bytes
?CDPlaying@@3HA	BASE/soundmgr	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?iCalibrateLoop@@3HA	BASE/soundmgr	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?iCurSwapPalette@@3HA	BASE/INPUTMGR	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?bLastMouseOffscreen@@3HA	BASE/INPUTMGR	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?bLastOnscreenMouseColor@@3HA	BASE/INPUTMGR	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?bInCheckChangeCursor@@3HA	BASE/INPUTMGR	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?hMDI@@3PAU_MDI_DRIVER@@A	BASE/Midi	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?CurrentMidiFile@@3HA	BASE/Midi	0x4	ad95131bc0b799c0b1af477fb14fcf26a6a9f76079e48bf090acb7e8367bfd0e	0	bytes
?bGotMidi@@3PAEA	BASE/Midi	0x3c	7766b052cae7a7e7f0759781444222781062383b7eaaf42061abe82f75d2f057	0	bytes
?lLastMIDIPollTickCount@@3JA	BASE/Midi	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?crc32Table@@3PAIA	BASE/Bzip	0x400	0053f121cdcaf9f510a940ba891fb2bccd41487953c5a4c0048c4a3ccdec782e	0	bytes
?words@@3PAIA	BASE/Bzip	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?zptr@@3PAHA	BASE/Bzip	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?ftab@@3PAHA	BASE/Bzip	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?block@@3PAEA	BASE/Bzip	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?ll@@3PAEA	BASE/Bzip	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?iLeftRightSave@@3HA	BASE/BUTTON	0x4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0	bytes
?horseFrameFlip@@3PAFA	SOURCE/KB	0x20	39cc1399ee47ee310c59a17d1d798e59b8bbf8e340f4d9c7ee68ecf0c8a7232e	0	bytes
?boatFrameFlip@@3PAFA	SOURCE/KB	0x20	0ea2ece04f601574240753014589c646be55849e4412dd4289c543aeeaad16ed	0	bytes
?gCastleResources@@3PACA	SOURCE/KB	0x8	fce35f9c4e9bf8277a31d617048ef9e6bfdd22adbc84d26d586fb5a390c73689	0	bytes
?gCastleAmounts@@3PAFA	SOURCE/KB	0x8	0e2eabb5b5ccd9ef08a2096ed2f0a7b20d18ed581796b7444cfac3a180a72281	0	bytes
?gVesaMode@@3PAFA	SOURCE/KB	0x10	a3f05b81cbbc0587c942801d35bec8c5f60c5897e92c6224a1d4f6d94cac5f41	0	bytes
?normalDirTable@@3PAUtag_tilePoint@@A	SOURCE/KB	0x20	9d7c24150ef713cfe42c34f21e6b6fd5fb454db079c5b78e3b0443cf5a983381	0	bytes
?gResourceBaseValue@@3PAHA	SOURCE/KB	0x20	138ff8500c7358498d2ef091a0d378aa400d990c2d1cf0cb42565affe15f7aa7	0	bytes
?gInitResourcesHuman@@3PAY06HA	SOURCE/KB	0x8c	465f4c4c1225feb79fd1c9f6b53d948a0ba4ec03bbb65448e0cc02f52a561f3f	0	bytes
?gInitResourcesComputer@@3PAY06HA	SOURCE/KB	0x8c	95ec2ea9fda59b9adf2d41d49c733d888be12ccbf7836c2b0dba3f0c07e4dbe5	0	bytes
?gMineCharacteristics@@3PAHA	SOURCE/KB	0x20	9bc518df1e292c42134c81d2c1204515f3497e1f9a8945d59c3b9d6c57ced6c7	0	bytes
?gSSValues@@3PAY02HA	SOURCE/KB	0xa8	33a7cb670175af53124d4c175fd0046fe83af60b4187943acb95b3fe8e05184b	0	bytes
?gColorTableTan@@3PAEA	SOURCE/KB	0x100	1ec3b0e89d241b4eb43769ee20f468b0bda7ce41b81c13ffc747c6f6ca8125e8	0	bytes
?gColorTableGray@@3PAEA	SOURCE/KB	0x100	22ad2019d9ee325536e198462a43be3cce48e3fd4d319bcc4dfb8d4050b978e7	0	bytes
?gColorTableYellow@@3PAEA	SOURCE/KB	0x100	3207659bae6442c4b54f48ce252fd4813737fdf34767e3e435112b242b105535	0	bytes
?gColorTableScenWin@@3PAEA	SOURCE/KB	0x100	2b0b9ce37f418f94c007893998b7e683f4e445d77806819c475231b174bd37c7	0	bytes
?gColorTableDarkGray@@3PAEA	SOURCE/KB	0x100	1b301a33ef2af180bc71380e09af9ba049eedcf83d6770451c5cbeb53f2e80fa	0	bytes
?gColorTableRed@@3PAEA	SOURCE/KB	0x100	ee965b3b032b225e33e77149f5f2fa05a7a6677e5b12f2638a269555b7a14117	0	bytes
?gColorTableDarkBrown@@3PAEA	SOURCE/KB	0x100	3312dcfae1e418fa7bc5daeee85ba516a6b710f83edde7e17b7a8c4ac9c9b41f	0	bytes
?bPuzzleDraw@@3PAEA	SOURCE/KB	0x40	36962bca3aa8f4e1b9f0b2e38f744b978ffb24ed0e34868a4f0fadfa2e75b4c3	0	bytes
?uDimPal@@3PAY13BAA@EA	SOURCE/KB	0xc00	c826ee0c36ab9f5cd8f0b72ab6d5150e0fc77a4496d163732d84ac7b4c266f8a	0	bytes
?gColorTableLighten@@3PAEA	SOURCE/KB	0x100	d7ca8ce3ee5a2c40cd3a287f735a2858aa6fbf214eaefd5204a7038a1d199001	0	bytes
?gColorTableNoCycle@@3PAEA	SOURCE/KB	0x100	8591b81a41ea7672a855d4b14094e91646e35530e8be45577da51d15d1bfe1da	0	bytes
?giMapSizes@@3PAEA	SOURCE/KB	0x4	cdfcd3a229b8ab006c5cdb740fc530ef63f5d01be5cebe584ec9a518b6e237b1	0	bytes
?cEvilTranslate@@3PAY01PADA	SOURCE/KB	0x128	23e6ea1ed07bdd2f1579b3db6b74bcf0d9d4016d9936837544c50638c0f8f46b	74	cstring-pointer-table
?gfCombatSpeedMod@@3PAMA	SOURCE/KB	0xc	402fb14a9aa0c9209e8ab5b8fdbc06c7e0f3ecd122887dce2d6fe56754bae9c0	0	bytes
?gCombatFxNames@@3PAPADA	SOURCE/KB	0x80	5867184a5aea03349c0b7320ffa2c0ab05e64a9bdda5a66689195127a64f8644	32	cstring-pointer-table
?gArtifactLevel@@3PAEA	SOURCE/KB	0x68	502d569f42aca24614bec865426e496a6af711254e435bcfa8ba3ca8a2949fef	0	bytes
?gArtifactBaseRV@@3PAHA	SOURCE/KB	0x190	f56e69f6a97ab13d50e9675cd9eaf1b6f4b00b35c0ff7d123504e1a8932144fe	0	bytes
?gMonsterDatabase@@3PAUtag_monsterInfo@@A	SOURCE/KB	0x6b4	bb6793526c7d46eb3f3c5351b5386176b6421b4b0fca3deacd2014afda651a19	0	bytes
?gfStatPower@@3PAMA	SOURCE/KB	0xa8	502f9a8e466577a3eeffd3e63337f1552ea2db8db9c38903e23518b4693ef727	0	bytes
?gfBattleStat@@3PAMA	SOURCE/KB	0xa8	51ca4928d3f4b68add26123aac240322c71929b3dbf49e3021c99adc3ccc04a5	0	bytes
?gSpellLimits@@3PACA	SOURCE/KB	0x5	e2166b2b17564ef13c98b01eef6fe5627ef96bf06396c4961d20de507c873daf	0	bytes
