# Ghidra function inventory for the stripped Gold 2.1 target.
# This image carries no CodeView stream, so these boundaries are ANALYSIS OUTPUT,
# not retail evidence: entry points and extents are Ghidra's opinion and every one
# of them is a claim still to be proven.
# Names are placeholders (FUN_*) except where analysis recognised one.
#
# thunk=1 forwards elsewhere and has no body worth reconstructing.
#
# chunks>1 is ALWAYS analysis error. VC6 emits contiguous functions, and reading
# the gap bytes out of the image confirms it: not one of the 76 gaps is padding.
# They hold real code, overwhelmingly inline SEH - the recurring `6a 01 58 c3`
# (push 1; pop eax; ret) is a filter returning EXCEPTION_EXECUTE_HANDLER, followed
# by `8b 65 e8` (mov esp,[ebp-18]) restoring the handler frame. Ghidra keeps those
# blocks out of the body it reports; the function itself is contiguous.
#
# So for 25 of the 26 affected rows the real extent is byte_size+total_gap, and
# byte_size undercounts. Six of them additionally have another entry point carved
# INSIDE the gap (0xd7d64 0xd90a8 0xdc19c 0xdc4cb 0xe0171 and 0xd84ad), which is
# the same SEH block promoted to a function of its own.
#
# 0xd84ad is different in kind and must not be used: its gap spans 0xd853e..0xdc0ad
# and swallows 105 other functions, __amsg_exit among them. The fragment 15,216
# bytes away is a separate function with its own prologue, not part of it.
entry_rva,byte_size,name,thunk,chunks,max_gap,total_gap,extent
0x12533,277,FUN_00412533,0,1,0,0,277
0x12648,79,FUN_00412648,0,1,0,0,79
0x12697,392,FUN_00412697,0,1,0,0,392
0x1283f,366,FUN_0041283f,0,1,0,0,366
0x129ad,101,FUN_004129ad,0,1,0,0,101
0x12a12,616,FUN_00412a12,0,1,0,0,616
0x12c7a,530,FUN_00412c7a,0,1,0,0,530
0x12e8c,432,FUN_00412e8c,0,1,0,0,432
0x13081,155,FUN_00413081,0,1,0,0,155
0x1311c,440,FUN_0041311c,0,1,0,0,440
0x132d4,200,FUN_004132d4,0,1,0,0,200
0x1339c,200,FUN_0041339c,0,1,0,0,200
0x13464,322,FUN_00413464,0,1,0,0,322
0x135a6,308,FUN_004135a6,0,1,0,0,308
0x136da,890,FUN_004136da,0,1,0,0,890
0x13a54,249,FUN_00413a54,0,1,0,0,249
0x13b4d,218,FUN_00413b4d,0,1,0,0,218
0x13c27,1235,FUN_00413c27,0,1,0,0,1235
0x140fa,121,FUN_004140fa,0,1,0,0,121
0x14173,660,FUN_00414173,0,1,0,0,660
0x14417,331,FUN_00414417,0,1,0,0,331
0x14562,461,FUN_00414562,0,1,0,0,461
0x14747,633,FUN_00414747,0,1,0,0,633
0x149c0,418,FUN_004149c0,0,1,0,0,418
0x14b62,800,FUN_00414b62,0,1,0,0,800
0x14e82,1325,FUN_00414e82,0,1,0,0,1325
0x153f7,89,FUN_004153f7,0,1,0,0,89
0x15450,92,FUN_00415450,0,1,0,0,92
0x154ac,1085,FUN_004154ac,0,1,0,0,1085
0x158e9,194,FUN_004158e9,0,1,0,0,194
0x159ab,104,FUN_004159ab,0,1,0,0,104
0x15a13,39,FUN_00415a13,0,1,0,0,39
0x15a3a,18,FUN_00415a3a,0,1,0,0,18
0x15a50,5,FUN_00415a50,0,1,0,0,5
0x15a60,2091,FUN_00415a60,0,1,0,0,2091
0x1628b,4000,FUN_0041628b,0,1,0,0,4000
0x1722b,171,FUN_0041722b,0,1,0,0,171
0x172d6,659,FUN_004172d6,0,1,0,0,659
0x17569,265,FUN_00417569,0,1,0,0,265
0x17672,168,FUN_00417672,0,1,0,0,168
0x1771a,247,FUN_0041771a,0,1,0,0,247
0x17811,161,FUN_00417811,0,1,0,0,161
0x178b2,285,FUN_004178b2,0,1,0,0,285
0x179cf,197,FUN_004179cf,0,1,0,0,197
0x17a94,182,FUN_00417a94,0,1,0,0,182
0x17b4a,388,FUN_00417b4a,0,1,0,0,388
0x17cce,160,FUN_00417cce,0,1,0,0,160
0x17d6e,302,FUN_00417d6e,0,1,0,0,302
0x17e9c,166,FUN_00417e9c,0,1,0,0,166
0x17f42,376,FUN_00417f42,0,1,0,0,376
0x180ba,324,FUN_004180ba,0,1,0,0,324
0x181fe,519,FUN_004181fe,0,1,0,0,519
0x18405,516,FUN_00418405,0,1,0,0,516
0x18609,39,FUN_00418609,0,1,0,0,39
0x18630,18,FUN_00418630,0,1,0,0,18
0x18650,194,FUN_00418650,0,1,0,0,194
0x18712,13,FUN_00418712,0,1,0,0,13
0x1871f,210,FUN_0041871f,0,1,0,0,210
0x187f1,908,FUN_004187f1,0,1,0,0,908
0x18b7d,1101,FUN_00418b7d,0,1,0,0,1101
0x18fca,203,FUN_00418fca,0,1,0,0,203
0x19095,1764,FUN_00419095,0,1,0,0,1764
0x19790,34,FUN_00419790,0,1,0,0,34
0x197b2,2599,FUN_004197b2,0,1,0,0,2599
0x1a1d9,5727,FUN_0041a1d9,0,1,0,0,5727
0x1b838,32,FUN_0041b838,0,1,0,0,32
0x1b858,1411,FUN_0041b858,0,1,0,0,1411
0x1bddb,5110,FUN_0041bddb,0,1,0,0,5110
0x1d220,11,FUN_0041d220,0,1,0,0,11
0x1d22b,26,FUN_0041d22b,0,1,0,0,26
0x1d245,682,FUN_0041d245,0,1,0,0,682
0x1d4ef,26,FUN_0041d4ef,0,1,0,0,26
0x1d509,456,FUN_0041d509,0,1,0,0,456
0x1d6d1,541,FUN_0041d6d1,0,1,0,0,541
0x1d8ee,1092,FUN_0041d8ee,0,1,0,0,1092
0x1dd32,540,FUN_0041dd32,0,1,0,0,540
0x1df4e,4567,FUN_0041df4e,0,1,0,0,4567
0x1f125,36,FUN_0041f125,0,1,0,0,36
0x1f149,87,FUN_0041f149,0,1,0,0,87
0x1f1a0,863,FUN_0041f1a0,0,1,0,0,863
0x1f4ff,863,FUN_0041f4ff,0,1,0,0,863
0x1f85e,229,FUN_0041f85e,0,1,0,0,229
0x1f943,249,FUN_0041f943,0,1,0,0,249
0x1fa5f,509,FUN_0041fa5f,0,1,0,0,509
0x1fc98,141,FUN_0041fc98,0,1,0,0,141
0x1fd25,1299,FUN_0041fd25,0,1,0,0,1299
0x20238,861,FUN_00420238,0,1,0,0,861
0x20595,1884,FUN_00420595,0,1,0,0,1884
0x20cf1,66,FUN_00420cf1,0,1,0,0,66
0x20d33,891,FUN_00420d33,0,1,0,0,891
0x210ae,91,FUN_004210ae,0,1,0,0,91
0x21109,134,FUN_00421109,0,1,0,0,134
0x2118f,87,FUN_0042118f,0,1,0,0,87
0x211e6,70,FUN_004211e6,0,1,0,0,70
0x2122c,68,FUN_0042122c,0,1,0,0,68
0x21270,166,FUN_00421270,0,1,0,0,166
0x21316,166,FUN_00421316,0,1,0,0,166
0x213bc,310,FUN_004213bc,0,1,0,0,310
0x214f2,331,FUN_004214f2,0,1,0,0,331
0x2163d,139,FUN_0042163d,0,1,0,0,139
0x216c8,39,FUN_004216c8,0,1,0,0,39
0x216ef,18,FUN_004216ef,0,1,0,0,18
0x21710,49,FUN_00421710,0,1,0,0,49
0x21741,13,FUN_00421741,0,1,0,0,13
0x2174e,90,FUN_0042174e,0,1,0,0,90
0x217a8,90,FUN_004217a8,0,1,0,0,90
0x21802,561,FUN_00421802,0,1,0,0,561
0x21a33,35,FUN_00421a33,0,1,0,0,35
0x21a56,64,FUN_00421a56,0,1,0,0,64
0x21a96,292,FUN_00421a96,0,1,0,0,292
0x21bba,59,FUN_00421bba,0,1,0,0,59
0x21bf5,72,FUN_00421bf5,0,1,0,0,72
0x21c3d,223,FUN_00421c3d,0,1,0,0,223
0x21d1c,107,FUN_00421d1c,0,1,0,0,107
0x21d87,307,FUN_00421d87,0,1,0,0,307
0x21eba,39,FUN_00421eba,0,1,0,0,39
0x21ee1,18,FUN_00421ee1,0,1,0,0,18
0x21f00,1172,FUN_00421f00,0,1,0,0,1172
0x223f0,634,FUN_004223f0,0,1,0,0,634
0x226d2,1034,FUN_004226d2,0,1,0,0,1034
0x22adc,2175,FUN_00422adc,0,1,0,0,2175
0x233b8,1098,FUN_004233b8,0,1,0,0,1098
0x23842,60,FUN_00423842,0,1,0,0,60
0x2387e,2625,FUN_0042387e,0,1,0,0,2625
0x242db,39,FUN_004242db,0,1,0,0,39
0x24302,18,FUN_00424302,0,1,0,0,18
0x24320,3856,FUN_00424320,0,1,0,0,3856
0x25230,2425,FUN_00425230,0,1,0,0,2425
0x25d9d,39,FUN_00425d9d,0,1,0,0,39
0x25dc4,18,FUN_00425dc4,0,1,0,0,18
0x25de0,431,FUN_00425de0,0,1,0,0,431
0x25f8f,250,FUN_00425f8f,0,1,0,0,250
0x26089,1374,FUN_00426089,0,1,0,0,1374
0x265e7,600,FUN_004265e7,0,1,0,0,600
0x2683f,423,FUN_0042683f,0,1,0,0,423
0x269fe,1063,FUN_004269fe,0,1,0,0,1063
0x26e25,904,FUN_00426e25,0,1,0,0,904
0x271ad,705,FUN_004271ad,0,1,0,0,705
0x2746e,580,FUN_0042746e,0,1,0,0,580
0x276b2,458,FUN_004276b2,0,1,0,0,458
0x278a0,456,FUN_004278a0,0,1,0,0,456
0x27a8b,954,FUN_00427a8b,0,1,0,0,954
0x27e45,255,FUN_00427e45,0,1,0,0,255
0x27f44,765,FUN_00427f44,0,1,0,0,765
0x28241,189,FUN_00428241,0,1,0,0,189
0x282fe,401,FUN_004282fe,0,1,0,0,401
0x2848f,442,FUN_0042848f,0,1,0,0,442
0x28649,374,FUN_00428649,0,1,0,0,374
0x287bf,837,FUN_004287bf,0,1,0,0,837
0x28b04,180,FUN_00428b04,0,1,0,0,180
0x28bb8,3544,FUN_00428bb8,0,1,0,0,3544
0x29990,1634,FUN_00429990,0,1,0,0,1634
0x29ff2,296,FUN_00429ff2,0,1,0,0,296
0x2a11a,104,FUN_0042a11a,0,1,0,0,104
0x2a182,44,FUN_0042a182,0,1,0,0,44
0x2a1ae,11,FUN_0042a1ae,0,1,0,0,11
0x2a1b9,11,FUN_0042a1b9,0,1,0,0,11
0x2a1c4,1130,FUN_0042a1c4,0,1,0,0,1130
0x2a62e,611,FUN_0042a62e,0,1,0,0,611
0x2a891,137,FUN_0042a891,0,1,0,0,137
0x2a91a,182,FUN_0042a91a,0,1,0,0,182
0x2a9d0,97,FUN_0042a9d0,0,1,0,0,97
0x2aa31,142,FUN_0042aa31,0,1,0,0,142
0x2aabf,667,FUN_0042aabf,0,1,0,0,667
0x2ad5a,1248,FUN_0042ad5a,0,1,0,0,1248
0x2b23a,268,FUN_0042b23a,0,1,0,0,268
0x2b346,481,FUN_0042b346,0,1,0,0,481
0x2b527,643,FUN_0042b527,0,1,0,0,643
0x2b7da,39,FUN_0042b7da,0,1,0,0,39
0x2b801,18,FUN_0042b801,0,1,0,0,18
0x2b820,39,FUN_0042b820,0,1,0,0,39
0x2b850,702,FUN_0042b850,0,1,0,0,702
0x2bb0e,291,FUN_0042bb0e,0,1,0,0,291
0x2bc31,1880,FUN_0042bc31,0,1,0,0,1880
0x2c389,1397,FUN_0042c389,0,1,0,0,1397
0x2c8fe,90,FUN_0042c8fe,0,1,0,0,90
0x2c958,1787,FUN_0042c958,0,1,0,0,1787
0x2d14d,88,FUN_0042d14d,0,1,0,0,88
0x2d1a5,452,FUN_0042d1a5,0,1,0,0,452
0x2d369,517,FUN_0042d369,0,1,0,0,517
0x2d56e,1014,FUN_0042d56e,0,1,0,0,1014
0x2d964,491,FUN_0042d964,0,1,0,0,491
0x2db4f,754,FUN_0042db4f,0,1,0,0,754
0x2de7d,1267,FUN_0042de7d,0,1,0,0,1267
0x2e370,264,FUN_0042e370,0,1,0,0,264
0x2e478,669,FUN_0042e478,0,1,0,0,669
0x2e715,549,FUN_0042e715,0,1,0,0,549
0x2e93a,754,FUN_0042e93a,0,1,0,0,754
0x2ec2c,2517,FUN_0042ec2c,0,1,0,0,2517
0x2f601,2839,FUN_0042f601,0,1,0,0,2839
0x30118,899,FUN_00430118,0,1,0,0,899
0x3049b,957,FUN_0043049b,0,1,0,0,957
0x30858,181,FUN_00430858,0,1,0,0,181
0x3090d,237,FUN_0043090d,0,1,0,0,237
0x309fa,182,FUN_004309fa,0,1,0,0,182
0x30ab0,335,FUN_00430ab0,0,1,0,0,335
0x30bff,191,FUN_00430bff,0,1,0,0,191
0x30cbe,1519,FUN_00430cbe,0,1,0,0,1519
0x312c9,529,FUN_004312c9,0,1,0,0,529
0x314da,223,FUN_004314da,0,1,0,0,223
0x315b9,65,FUN_004315b9,0,1,0,0,65
0x315fa,2352,FUN_004315fa,0,1,0,0,2352
0x31f2a,48,FUN_00431f2a,0,1,0,0,48
0x31f5a,187,FUN_00431f5a,0,1,0,0,187
0x32015,803,FUN_00432015,0,1,0,0,803
0x32338,317,FUN_00432338,0,1,0,0,317
0x32475,686,FUN_00432475,0,1,0,0,686
0x32723,39,FUN_00432723,0,1,0,0,39
0x3274a,18,FUN_0043274a,0,1,0,0,18
0x32760,95,FUN_00432760,0,1,0,0,95
0x327bf,59,FUN_004327bf,0,1,0,0,59
0x327fa,37,FUN_004327fa,0,1,0,0,37
0x3281f,640,FUN_0043281f,0,1,0,0,640
0x32ba2,744,FUN_00432ba2,0,1,0,0,744
0x32e9e,233,FUN_00432e9e,0,1,0,0,233
0x32f87,193,FUN_00432f87,0,1,0,0,193
0x33048,284,FUN_00433048,0,1,0,0,284
0x33164,8,FUN_00433164,0,1,0,0,8
0x3316c,91,FUN_0043316c,0,1,0,0,91
0x331c7,195,FUN_004331c7,0,1,0,0,195
0x3328a,39,FUN_0043328a,0,1,0,0,39
0x332b1,18,FUN_004332b1,0,1,0,0,18
0x332d0,292,FUN_004332d0,0,1,0,0,292
0x333f4,230,FUN_004333f4,0,1,0,0,230
0x334da,1501,FUN_004334da,0,1,0,0,1501
0x33ab7,807,FUN_00433ab7,0,1,0,0,807
0x33dde,78,FUN_00433dde,0,1,0,0,78
0x33e2c,531,FUN_00433e2c,0,1,0,0,531
0x3403f,139,FUN_0043403f,0,1,0,0,139
0x340ca,4279,FUN_004340ca,0,1,0,0,4279
0x351c5,342,FUN_004351c5,0,1,0,0,342
0x3531b,278,FUN_0043531b,0,1,0,0,278
0x35431,1111,FUN_00435431,0,1,0,0,1111
0x35888,592,FUN_00435888,0,1,0,0,592
0x35ad8,178,FUN_00435ad8,0,2,1575,1575,1753
0x361dd,393,FUN_004361dd,0,1,0,0,393
0x36366,167,FUN_00436366,0,1,0,0,167
0x3640d,94,FUN_0043640d,0,1,0,0,94
0x3646b,437,FUN_0043646b,0,1,0,0,437
0x36620,279,FUN_00436620,0,1,0,0,279
0x36737,39,FUN_00436737,0,1,0,0,39
0x3675e,18,FUN_0043675e,0,1,0,0,18
0x36770,129,FUN_00436770,0,1,0,0,129
0x367f1,117,FUN_004367f1,0,1,0,0,117
0x36866,703,FUN_00436866,0,1,0,0,703
0x36b25,195,FUN_00436b25,0,1,0,0,195
0x36be8,237,FUN_00436be8,0,1,0,0,237
0x36cd5,207,FUN_00436cd5,0,1,0,0,207
0x36da4,72,FUN_00436da4,0,1,0,0,72
0x36dec,147,FUN_00436dec,0,1,0,0,147
0x36e7f,20,FUN_00436e7f,0,1,0,0,20
0x36e93,8,FUN_00436e93,0,1,0,0,8
0x36e9b,152,FUN_00436e9b,0,1,0,0,152
0x36f33,560,FUN_00436f33,0,1,0,0,560
0x37177,346,FUN_00437177,0,1,0,0,346
0x372e1,124,FUN_004372e1,0,1,0,0,124
0x3735d,894,FUN_0043735d,0,1,0,0,894
0x376f3,1301,FUN_004376f3,0,1,0,0,1301
0x37cc8,39,FUN_00437cc8,0,1,0,0,39
0x37cef,18,FUN_00437cef,0,1,0,0,18
0x37d10,56,FUN_00437d10,0,1,0,0,56
0x37d48,186,FUN_00437d48,0,1,0,0,186
0x37e02,70,FUN_00437e02,0,1,0,0,70
0x37e48,935,FUN_00437e48,0,1,0,0,935
0x381ef,823,FUN_004381ef,0,1,0,0,823
0x38566,223,FUN_00438566,0,1,0,0,223
0x38645,81,FUN_00438645,0,1,0,0,81
0x38696,425,FUN_00438696,0,1,0,0,425
0x3883f,1240,FUN_0043883f,0,1,0,0,1240
0x38d17,833,FUN_00438d17,0,1,0,0,833
0x39058,1376,FUN_00439058,0,1,0,0,1376
0x395b8,5261,FUN_004395b8,0,1,0,0,5261
0x3aad6,2857,FUN_0043aad6,0,1,0,0,2857
0x3b5ff,39,FUN_0043b5ff,0,1,0,0,39
0x3b626,18,FUN_0043b626,0,1,0,0,18
0x3b640,24038,FUN_0043b640,0,1,0,0,24038
0x41609,2249,FUN_00441609,0,1,0,0,2249
0x41f0d,175,FUN_00441f0d,0,1,0,0,175
0x41fbc,293,FUN_00441fbc,0,1,0,0,293
0x420e1,149,FUN_004420e1,0,1,0,0,149
0x42176,224,FUN_00442176,0,1,0,0,224
0x42256,1760,FUN_00442256,0,1,0,0,1760
0x42952,348,FUN_00442952,0,1,0,0,348
0x42ac2,170,FUN_00442ac2,0,1,0,0,170
0x42b6c,538,FUN_00442b6c,0,1,0,0,538
0x42d86,423,FUN_00442d86,0,1,0,0,423
0x42f2d,567,FUN_00442f2d,0,2,114,114,681
0x43340,169,FUN_00443340,0,1,0,0,169
0x433e9,146,FUN_004433e9,0,1,0,0,146
0x4347b,78,FUN_0044347b,0,1,0,0,78
0x434c9,97,FUN_004434c9,0,1,0,0,97
0x4352a,131,FUN_0044352a,0,1,0,0,131
0x435ad,224,FUN_004435ad,0,1,0,0,224
0x4368d,562,FUN_0044368d,0,1,0,0,562
0x438bf,619,FUN_004438bf,0,1,0,0,619
0x43b2a,716,FUN_00443b2a,0,1,0,0,716
0x43df6,462,FUN_00443df6,0,1,0,0,462
0x4403b,1334,FUN_0044403b,0,1,0,0,1334
0x44571,730,FUN_00444571,0,1,0,0,730
0x44949,434,FUN_00444949,0,1,0,0,434
0x44afb,109,FUN_00444afb,0,1,0,0,109
0x44b68,280,FUN_00444b68,0,1,0,0,280
0x44c80,243,FUN_00444c80,0,1,0,0,243
0x44d73,10657,FUN_00444d73,0,1,0,0,10657
0x478df,86,FUN_004478df,0,1,0,0,86
0x47935,84,FUN_00447935,0,1,0,0,84
0x47989,797,FUN_00447989,0,1,0,0,797
0x47cda,373,FUN_00447cda,0,1,0,0,373
0x47e63,412,FUN_00447e63,0,1,0,0,412
0x47fff,1841,FUN_00447fff,0,1,0,0,1841
0x48730,980,FUN_00448730,0,1,0,0,980
0x48b04,401,FUN_00448b04,0,1,0,0,401
0x48c95,1511,FUN_00448c95,0,1,0,0,1511
0x4927c,774,FUN_0044927c,0,1,0,0,774
0x49582,990,FUN_00449582,0,1,0,0,990
0x49960,508,FUN_00449960,0,1,0,0,508
0x49b5c,143,FUN_00449b5c,0,1,0,0,143
0x49beb,39,FUN_00449beb,0,1,0,0,39
0x49c12,18,FUN_00449c12,0,1,0,0,18
0x49c30,37,FUN_00449c30,0,1,0,0,37
0x49c55,19,FUN_00449c55,0,1,0,0,19
0x49c68,60,FUN_00449c68,0,1,0,0,60
0x49ca4,62,FUN_00449ca4,0,1,0,0,62
0x49ce2,89,FUN_00449ce2,0,1,0,0,89
0x49d3b,96,FUN_00449d3b,0,1,0,0,96
0x49d9b,161,FUN_00449d9b,0,1,0,0,161
0x49e3c,762,FUN_00449e3c,0,1,0,0,762
0x4a136,1369,FUN_0044a136,0,1,0,0,1369
0x4a68f,631,FUN_0044a68f,0,1,0,0,631
0x4a906,1315,FUN_0044a906,0,1,0,0,1315
0x4ae29,406,FUN_0044ae29,0,1,0,0,406
0x4afbf,39,FUN_0044afbf,0,1,0,0,39
0x4afe6,18,FUN_0044afe6,0,1,0,0,18
0x4b000,542,FUN_0044b000,0,1,0,0,542
0x4b21e,918,FUN_0044b21e,0,1,0,0,918
0x4b5b4,26,FUN_0044b5b4,0,1,0,0,26
0x4b5ce,2530,FUN_0044b5ce,0,1,0,0,2530
0x4bfb0,39,FUN_0044bfb0,0,1,0,0,39
0x4bfd7,18,FUN_0044bfd7,0,1,0,0,18
0x4bff0,571,FUN_0044bff0,0,1,0,0,571
0x4c22b,556,FUN_0044c22b,0,1,0,0,556
0x4c457,255,FUN_0044c457,0,1,0,0,255
0x4c556,80,FUN_0044c556,0,1,0,0,80
0x4c5a6,90,FUN_0044c5a6,0,1,0,0,90
0x4c600,180,FUN_0044c600,0,1,0,0,180
0x4c6b4,132,FUN_0044c6b4,0,1,0,0,132
0x4c738,107,FUN_0044c738,0,1,0,0,107
0x4c7a3,891,FUN_0044c7a3,0,1,0,0,891
0x4cb1e,541,FUN_0044cb1e,0,1,0,0,541
0x4cd3b,149,FUN_0044cd3b,0,1,0,0,149
0x4cdd0,19,FUN_0044cdd0,0,1,0,0,19
0x4cde3,281,FUN_0044cde3,0,1,0,0,281
0x4cefc,67,FUN_0044cefc,0,1,0,0,67
0x4cf3f,97,FUN_0044cf3f,0,1,0,0,97
0x4cfa0,417,FUN_0044cfa0,0,1,0,0,417
0x4d141,95,FUN_0044d141,0,1,0,0,95
0x4d1a0,98,FUN_0044d1a0,0,1,0,0,98
0x4d202,428,FUN_0044d202,0,1,0,0,428
0x4d3ae,2906,FUN_0044d3ae,0,1,0,0,2906
0x4df08,2513,FUN_0044df08,0,1,0,0,2513
0x4e8d9,2681,FUN_0044e8d9,0,1,0,0,2681
0x4f352,723,FUN_0044f352,0,1,0,0,723
0x4f6cf,134,FUN_0044f6cf,0,1,0,0,134
0x4f755,7290,FUN_0044f755,0,1,0,0,7290
0x513cf,9418,FUN_004513cf,0,1,0,0,9418
0x53a95,133,FUN_00453a95,0,1,0,0,133
0x53b1a,107,FUN_00453b1a,0,1,0,0,107
0x53b85,25,FUN_00453b85,0,1,0,0,25
0x53b9e,1077,FUN_00453b9e,0,1,0,0,1077
0x53fd3,775,FUN_00453fd3,0,1,0,0,775
0x542da,800,FUN_004542da,0,1,0,0,800
0x546ee,481,FUN_004546ee,0,1,0,0,481
0x548cf,1167,FUN_004548cf,0,1,0,0,1167
0x54d5e,1481,FUN_00454d5e,0,1,0,0,1481
0x553d1,312,FUN_004553d1,0,1,0,0,312
0x55529,3336,FUN_00455529,0,1,0,0,3336
0x56231,893,FUN_00456231,0,1,0,0,893
0x565ae,1342,FUN_004565ae,0,1,0,0,1342
0x56bf4,44,FUN_00456bf4,0,1,0,0,44
0x56c20,18,FUN_00456c20,0,1,0,0,18
0x56c32,1290,FUN_00456c32,0,1,0,0,1290
0x5713c,906,FUN_0045713c,0,1,0,0,906
0x574c6,2576,FUN_004574c6,0,1,0,0,2576
0x57ed6,6610,FUN_00457ed6,0,1,0,0,6610
0x5997e,294,FUN_0045997e,0,1,0,0,294
0x59ab8,97,FUN_00459ab8,0,1,0,0,97
0x59b19,899,FUN_00459b19,0,1,0,0,899
0x59e9c,962,FUN_00459e9c,0,1,0,0,962
0x5a25e,432,FUN_0045a25e,0,1,0,0,432
0x5a40e,1270,FUN_0045a40e,0,1,0,0,1270
0x5a930,184,FUN_0045a930,0,1,0,0,184
0x5a9e8,306,FUN_0045a9e8,0,1,0,0,306
0x5ab1a,62,FUN_0045ab1a,0,1,0,0,62
0x5ab58,424,FUN_0045ab58,0,1,0,0,424
0x5ad00,834,FUN_0045ad00,0,1,0,0,834
0x5b042,1629,FUN_0045b042,0,1,0,0,1629
0x5b736,526,FUN_0045b736,0,1,0,0,526
