# DIR32 relocation-count mismatches on SAME-LENGTH functions (2026-08-03).
# ours = DIR32 sites in build/objdiff/base/<unit>.obj within the claimed span
# retail = rows of config/delink_relocs.tsv falling in that span
# The masked byte compare CANNOT see these: it zeroes reloc sites on both sides.
delta	ours	retail	rva	unit	function
3	36	33	0x638f6	SOURCE/HERO	?HeroView@@YIHHHH@Z
3	24	21	0x754b0	SOURCE/Newgame	?GetMap@game@@QAEXXZ
3	18	15	0x8c522	SOURCE/RECRUIT	?Open@recruitUnit@@UAEHH@Z
3	9	6	0x8ceaa	SOURCE/RECRUIT	?QuickViewRecruit@@YIXPAVtown@@H@Z
3	25	22	0x8f275	SOURCE/REQUEST	?Open@fileRequester@@UAEHH@Z
3	29	26	0x938d5	SOURCE/SETUP	?PickLoadGame@game@@QAEHXZ
3	16	13	0x92504	SOURCE/SETUP	?SetupBaud@game@@QAEHXZ
3	30	27	0x9263b	SOURCE/SETUP	?SetupComPort@game@@QAEHXZ
3	87	84	0x9333c	SOURCE/SETUP	?SetupGame@game@@QAEHXZ
3	32	29	0x92817	SOURCE/SETUP	?SetupHotSeatGame@game@@QAEHXZ
3	37	34	0x92de5	SOURCE/SETUP	?SetupModemGame@game@@QAEHXZ
3	24	21	0x93115	SOURCE/SETUP	?SetupMultiPlayerGame@game@@QAEHXZ
3	11	8	0x92a44	SOURCE/SETUP	?SetupNetworkGame@game@@QAEHXZ
3	6	3	0xa2055	SOURCE/STRIP	??0bankBox@@QAE@HHPAVplayerData@@@Z
3	10	7	0xa18a0	SOURCE/STRIP	??0strip@@QAE@HHHKHPAVarmyGroup@@HHH@Z
3	30	27	0xa236e	SOURCE/SWAPMGR	?Open@swapManager@@UAEHH@Z
3	30	27	0xa3c30	SOURCE/SWAPMGR	?SplitMons@swapManager@@QAEXXZ
3	11	8	0xa4740	SOURCE/TOWNMGR	??0townObject@@QAE@HHPAD@Z
3	11	8	0xaa903	SOURCE/TOWNMGR	?DoTavern@townManager@@QAEXXZ
3	16	13	0xa4f5d	SOURCE/TOWNMGR	?Open@townManager@@UAEHH@Z
3	21	18	0xa84b7	SOURCE/TOWNMGR	?SplitArmy@townManager@@QAEXXZ
3	26	23	0xac6e0	SOURCE/tradpost	?DoTradingPost@@YIXHM@Z
3	33	30	0xb2ba0	SOURCE/x_arena	?DoArenaDialog@@YIHXZ
3	15	12	0xb313c	SOURCE/x_arena	?UpdateArenaIcons@@YIXXZ
