# Generated by `homm2 audit cross-version-bodies`; do not hand-edit.
# reference: /home/sheep/Projects/homm2/homm2-decomp
# body: identical/formatting/renames = the reconstruction is intact,
#       so the residual is compiler-and-flags - hand it to the permuter.
#       divergent = this branch's copy drifted, or 2.1 changed the
#       function; read the bodies before assuming which.
body	lead	unit	symbol	similarity	renames	buka_tokens	pol_tokens	transition	unmatched_bytes
identical	parity-gap	SOURCE/ARMY	?Init@army@@QAEXHHHHHH@Z	1.000		473	473	od-od	134
identical	parity-gap	BASE/Midi	?MIDIShutdown@soundManager@@QAEXXZ	1.000		142	142	o2-od	121
identical	parity-gap	SOURCE/FLY	?ValidFlight@army@@QAEHHH@Z	1.000		593	593	od-od	115
identical	parity-gap	BASE/EXEC	?MainLoop@executive@@QAEXXZ	1.000		234	234	o2-od	109
identical	parity-gap	BASE/Misc	?MAKEFILEID@@YIKPAD@Z	1.000		104	104	o2-od	107
identical	parity-gap	SOURCE/PHILAI	?RedistributeTroops@philAI@@QAEXPAVarmyGroup@@0HHHHH@Z	1.000		691	691	od-od	99
identical	parity-gap	SOURCE/GAME	?ClaimTown@game@@QAEXHHH@Z	1.000		385	385	od-od	94
identical	parity-gap	BASE/FONT	?DrawStringExecute@font@@IAEXPADHHHHHHH@Z	1.000		326	326	od-od	92
identical	parity-gap	BASE/bmap2	?BlitBitmap@@YIXPAVbitmap@@HHHH0HH@Z	1.000		107	107	o2-od	91
identical	parity-gap	BASE/droplist	?Draw@dropListWidget@@UAEXXZ	1.000		112	112	o2-od	84
identical	parity-gap	BASE/Midi	?MIDIPlay@soundManager@@QAEXH@Z	1.000		227	227	o2-od	83
identical	parity-gap	SOURCE/CMBTMGR	?GenerateMap@combatManager@@QAEXXZ	1.000		377	377	od-od	82
identical	parity-gap	BASE/Midi	?MIDIStartup@soundManager@@QAEXXZ	1.000		138	138	o2-od	81
identical	parity-gap	SOURCE/ARMY	?WalkTo@army@@QAEHH@Z	1.000		413	413	od-od	81
identical	parity-gap	SOURCE/GAME	?CheckForTimeEvent@game@@QAEXXZ	1.000		409	409	od-od	78
identical	parity-gap	SOURCE/PHILAI	?ValueOfBuyingCreature@philAI@@QAEXPAVtown@@HAAHHAAM@Z	1.000		471	471	od-od	70
identical	parity-gap	BASE/ICON	?FillToBuffer@icon@@QAEXHHHHHPAUSLimitData@@@Z	1.000		208	208	o2-od	69
identical	parity-gap	SOURCE/PHILAI	?EvaluateArtifactEvent@philAI@@QAEHHH@Z	1.000		444	444	od-od	64
identical	parity-gap	BASE/bmap2	?FillBitmapArea@@YIXPAVbitmap@@HHHHH@Z	1.000		79	79	o2-od	63
identical	parity-gap	SOURCE/KB	?toupper@@YIDD@Z	1.000		27	27	od-od	62
identical	parity-gap	SOURCE/REQUEST	?SetOK@fileRequester@@QAEXH@Z	1.000		157	157	od-od	55
identical	parity-gap	SOURCE/COMMAND	?CheckSetMouseDirection@combatManager@@QAEXHHH@Z	1.000		795	795	od-od	54
identical	parity-gap	SOURCE/FINDPATH	?CalcTerrainCost@@YIHHHHHHH@Z	1.000		174	174	o2-od	54
identical	parity-gap	SOURCE/ADVMGR	?CompleteDraw@advManager@@QAEXHHHH@Z	1.000		644	644	od-od	50
identical	parity-gap	SOURCE/FLY	?CanFit@army@@QAEHHHPAH@Z	1.000		306	306	od-od	50
identical	parity-gap	SOURCE/wingraph	?WGInitializePalette@@YIXXZ	1.000		409	409	od-od	50
identical	parity-gap	BASE/INPUTMGR	?GetEvent@inputManager@@QAE?AUtag_message@@XZ	1.000		106	106	o2-od	49
identical	parity-gap	SOURCE/ARMY	?DamageEnemy@army@@QAEXPAV1@PAH1HH@Z	1.000		695	695	od-od	47
identical	parity-gap	BASE/INPUTMGR	?PeekEvent@inputManager@@QAE?AUtag_message@@XZ	1.000		105	105	o2-od	45
identical	parity-gap	SOURCE/PATH	?GetAdjacentCellIndex@army@@QAEHHH@Z	1.000		83	83	od-od	44
identical	parity-gap	SOURCE/DRAWING	?ResetLimitCreature@combatManager@@QAEXXZ	1.000		146	146	od-od	41
identical	parity-gap	SOURCE/GAME	?GetRandomArtifactId@game@@QAEHHH@Z	1.000		212	212	od-od	39
identical	parity-gap	SOURCE/EVENTS	?TownEvent@advManager@@QAEXPAVmapCell@@HH@Z	1.000		242	242	od-od	38
identical	parity-gap	SOURCE/GAME	?SetupAdjacentMons@game@@QAEXXZ	1.000		113	113	od-od	38
identical	parity-gap	SOURCE/PHILAI	?EvaluateGenericSite@philAI@@QAEHPAVmapCell@@@Z	1.000		376	376	od-od	38
identical	parity-gap	SOURCE/HISCORE	?Main@highScoreManager@@UAEHAAUtag_message@@@Z	1.000		322	322	od-od	37
identical	parity-gap	SOURCE/x_arena	?ArenaWindowHandler@@YIHAAUtag_message@@@Z	1.000		385	385	od-od	35
identical	parity-gap	BASE/TEXTWDGT	?Draw@textWidget@@UAEXXZ	1.000		55	55	o2-od	34
identical	parity-gap	SOURCE/EVENTS	?DoWhirlpool@advManager@@QAEXPAVhero@@@Z	1.000		216	216	od-od	34
identical	parity-gap	SOURCE/PHILAI	?CheckDoMain@@YIXHH@Z	1.000		194	194	od-od	33
identical	parity-gap	SOURCE/EVENTS	?RecruitSiteAIEvent@advManager@@QAEXPAVmapCell@@PAVhero@@@Z	1.000		260	260	od-od	31
identical	parity-gap	SOURCE/Newgame	?NGKPSetupDisplayString@game@@QAEXPADG@Z	1.000		130	130	od-od	31
identical	parity-gap	SOURCE/CMBTMGR	?LoadArmies@combatManager@@QAEXXZ	1.000		484	484	od-od	30
identical	parity-gap	SOURCE/CURSOR	?StopCursor@advManager@@QAEXH@Z	1.000		87	87	od-od	28
identical	parity-gap	SOURCE/EVENTS	?RecruitSiteEvent@advManager@@QAEXPAVmapCell@@PAVhero@@@Z	1.000		243	243	od-od	28
identical	parity-gap	SOURCE/ARMY	?MidX@army@@QAEHXZ	1.000		66	66	od-od	26
identical	parity-gap	SOURCE/REQUEST	?DoKnob@fileRequester@@QAEXXZ	1.000		354	354	od-od	26
identical	parity-gap	BASE/EXEC	?PrintManagerList@executive@@QAEXXZ	1.000		103	103	o2-od	25
identical	parity-gap	SOURCE/ARMY	?ModifyFrameInfo@@YIXPAUSMonFrameInfo@@H@Z	1.000		235	235	od-od	25
identical	parity-gap	SOURCE/CMBTMGR	?MakeCreaturesVanish@combatManager@@QAEXXZ	1.000		322	322	od-od	24
identical	parity-gap	SOURCE/COMMAND	?CheckWin@combatManager@@QAEHPAUtag_message@@@Z	1.000		280	280	od-od	24
identical	parity-gap	BASE/BORDER	?Read@border@@QAEXXZ	1.000		181	181	o2-od	23
identical	parity-gap	SOURCE/kbwin	?ResizeWindow@@YIXHHHH@Z	1.000		227	227	od-od	23
identical	parity-gap	SOURCE/HEXCELL	?DrawOccupant@hexcell@@QAEXHH@Z	1.000		111	111	od-od	22
identical	parity-gap	SOURCE/SPELLS	?TurnToStone@combatManager@@QAEXPAVarmy@@@Z	1.000		143	143	od-od	20
identical	parity-gap	SOURCE/SWAPMGR	?SwapMons@swapManager@@QAEXXZ	1.000		206	206	od-od	20
identical	parity-gap	SOURCE/ARMY	?RightX@army@@QAEHXZ	1.000		100	100	od-od	19
identical	parity-gap	SOURCE/PATH	?GetAttackMask@army@@QAEHHHH@Z	1.000		117	117	od-od	19
identical	parity-gap	SOURCE/PHILAI	?TownEvent@philAI@@QAEXPAVmapCell@@PAVhero@@HH@Z	1.000		305	305	od-od	19
identical	parity-gap	BASE/WINMGR	?RedrawScreen@heroWindowManager@@QAEXXZ	1.000		33	33	o2-od	18
identical	parity-gap	SOURCE/CURSOR	?StartCursor@advManager@@QAEXH@Z	1.000		131	131	od-od	18
identical	parity-gap	SOURCE/SPELLS	?AddBolt@combatManager@@QAEXPAUSBolt@@HHHHHHHHHHHH@Z	1.000		406	406	od-od	18
identical	parity-gap	SOURCE/ADVMGR	?SeedTo@advManager@@QAEXHH@Z	1.000		166	166	od-od	17
identical	parity-gap	SOURCE/PATH	?ValidAttack@army@@QAEHHHHHPAH@Z	1.000		315	315	od-od	17
identical	parity-gap	SOURCE/SWAPMGR	?Close@swapManager@@UAEXXZ	1.000		189	189	od-od	17
identical	parity-gap	BASE/WINMGR	?Main@heroWindowManager@@UAEHAAUtag_message@@@Z	1.000		61	61	o2-od	16
identical	parity-gap	SOURCE/ADVMGR	?CheckDimHero@advManager@@QAEXXZ	1.000		67	67	od-od	16
identical	parity-gap	BASE/WINMGR	?FadeScreen@heroWindowManager@@QAEXHHPAVpalette@@@Z	1.000		112	112	o2-od	15
identical	parity-gap	SOURCE/comwin	?add_node@@YIXPAUtag_Anchor@@PAUtag_Node@@@Z	1.000		78	78	od-od	15
identical	parity-gap	BASE/bmap2	?DimBitmapArea@@YIXPAVbitmap@@HHHHH@Z	1.000		103	103	o2-od	14
identical	parity-gap	BASE/INPUTMGR	?SetKeyCodeType@inputManager@@QAEXH@Z	1.000		24	24	o2-od	13
identical	parity-gap	BASE/Misc	?IsCycleColor@@YIHH@Z	1.000		57	57	o2-od	13
identical	parity-gap	BASE/soundmgr	?ConvertVolume@soundManager@@QAEHHH@Z	1.000		146	146	od-od	12
identical	parity-gap	SOURCE/KB	?WaitHandler@@YIHAAUtag_message@@@Z	1.000		305	305	od-od	12
identical	parity-gap	BASE/WINDOW	?RemoveWidget@heroWindow@@QAEXPAVwidget@@@Z	1.000		152	152	od-od	11
identical	parity-gap	BASE/droplist	?RestoreDropBackground@dropListWidget@@QAEXXZ	1.000		44	44	o2-od	11
identical	parity-gap	SOURCE/ADVMGR	?HideRoute@advManager@@QAEXHHH@Z	1.000		128	128	od-od	11
identical	parity-gap	SOURCE/KB	?QuickViewWait@@YIXXZ	1.000		81	81	od-od	11
identical	parity-gap	SOURCE/PHILAI	?SetupRelativeHeroStrengths@philAI@@QAEXXZ	1.000		103	103	od-od	11
identical	parity-gap	BASE/Misc	?GetIconEntry@@YIPAUIconEntry@@PAVicon@@H@Z	1.000		26	26	o2-od	10
identical	parity-gap	BASE/RESMGR	?GetSample@resourceManager@@QAEPAVsample@@PAD@Z	1.000		87	87	od-od	10
identical	parity-gap	SOURCE/ADVMGR	?CheckDimNextHeroBut@advManager@@QAEXXZ	1.000		53	53	od-od	10
identical	parity-gap	SOURCE/AI	?WalkTowardArmyFront@combatManager@@QAEHPAVarmy@@HH@Z	1.000		328	328	od-od	10
identical	parity-gap	SOURCE/ARMY	?ProcessDeath@army@@QAEXH@Z	1.000		495	495	od-od	10
identical	parity-gap	SOURCE/GAME	?CalcDifficultyRating@game@@QAEHXZ	1.000		122	122	od-od	10
identical	parity-gap	SOURCE/PHILAI	?EvaluateOneTimeCreaturePurchase@philAI@@QAEXHHHAAH00@Z	1.000		271	271	od-od	10
identical	parity-gap	BASE/ICONWDGT	?Read@iconWidget@@QAEXXZ	1.000		141	141	o2-od	9
identical	parity-gap	SOURCE/TOWNMGR	?MageGuildHandler@@YIHAAUtag_message@@@Z	1.000		305	305	od-od	8
identical	parity-gap	BASE/BUTTON	??0button@@QAE@FFFFPADFFFFFF@Z	1.000		106	106	o2-od	7
identical	parity-gap	BASE/Misc	?FindLastToken@@YIPADPADD@Z	1.000		53	53	o2-od	7
identical	parity-gap	SOURCE/ARMY	?SpellCastWorkChance@army@@QAEMH@Z	1.000		1124	1124	od-od	7
identical	parity-gap	SOURCE/GAME	?TurnOnAIMusic@game@@QAEXXZ	1.000		29	29	od-od	7
identical	parity-gap	SOURCE/PHILAI	?ComputeUpgradeValue@philAI@@QAEHHH@Z	1.000		103	103	od-od	6
identical	parity-gap	SOURCE/kbwin	?Process1WindowsMessage@@YIXXZ	1.000		121	121	od-od	6
identical	parity-gap	SOURCE/tradpost	?DoTradeKnob@@YIXUtag_message@@@Z	1.000		160	160	od-od	6
identical	parity-gap	BASE/EXEC	?CallManager@executive@@QAEXPAVbaseManager@@@Z	1.000		72	72	o2-od	5
identical	parity-gap	SOURCE/GAME	?TurnOffAIMusic@game@@QAEXXZ	1.000		15	15	od-od	5
identical	parity-gap	SOURCE/SPELLS	?DoLuck@combatManager@@QAEXHH@Z	1.000		262	262	od-od	5
identical	parity-gap	SOURCE/SWAPMGR	?DrawSelector@swapManager@@QAEXXZ	1.000		261	261	od-od	5
identical	parity-gap	SOURCE/ARMY	?Damage@army@@QAEHJH@Z	1.000		267	267	od-od	4
identical	parity-gap	SOURCE/DRAWING	?UpdateGrid@combatManager@@QAEHHH@Z	1.000		689	689	od-od	3
identical	parity-gap	SOURCE/ADVMGR	?TrimLoopingSounds@advManager@@QAEXH@Z	1.000		262	262	od-od	2
identical	parity-gap	SOURCE/ARMYGRP	?GetMorale@armyGroup@@QAEHPAVhero@@PAVtown@@PAV1@@Z	1.000		357	357	od-od	2
identical	parity-gap	SOURCE/CMBTMGR	?GetNextArmy@combatManager@@QAEHH@Z	1.000		442	442	od-od	2
identical	parity-gap	SOURCE/CURSOR	?ValidMove@advManager@@QAEHHH@Z	1.000		559	559	od-od	2
identical	parity-gap	SOURCE/HERO	?ApplyBattleWinTemps@hero@@QAEXXZ	1.000		274	274	od-od	2
identical	parity-gap	SOURCE/CMBTMGR	?GetGridIndex@combatManager@@QAEHHH@Z	1.000		256	256	od-od	1
identical	parity-gap	SOURCE/KB	?ShowLuckInfo@game@@QAEXPAVhero@@H@Z	1.000		575	575	od-od	1
identical	parity-gap	SOURCE/PATH	?ValidMove@army@@QAEHHH@Z	1.000		351	351	od-od	1
identical	parity-gap	SOURCE/kbwin	?SetMenus@@YIXPAXH@Z	1.000		202	202	od-od	1
identical	parity-gap	SOURCE/EVENTS	?StrEqNoCase@@YICPAD0@Z	1.000		123	123	od-od	0
identical	parity-gap	SOURCE/KB	?InitMainClasses@@YIXXZ	1.000		82	82	od-od	0
identical	parity-gap	SOURCE/KB	?TestDynamicWindow@@YIXHH@Z	1.000		143	143	od-od	0
formatting	parity-gap	SOURCE/EVENTS	?GiveTakeArtifactStat@@YIXPAVhero@@HH@Z	1.000		1202	1202	od-od	689
formatting	parity-gap	SOURCE/GAME	?ProcessRandomObjects@game@@QAEXXZ	1.000		964	964	od-od	321
formatting	parity-gap	SOURCE/EVENTS	?EraseObj@advManager@@QAEXPAVmapCell@@HH@Z	1.000		1131	1131	od-od	213
formatting	parity-gap	BASE/WINMGR	?CycleColors@@YIXH@Z	1.000		654	654	o2-od	197
formatting	parity-gap	SOURCE/GAME	?GenerateStandardFileName@@YIXPAD0@Z	1.000		171	171	od-od	162
formatting	parity-gap	SOURCE/TOWNMGR	?SetCommandAndText@townManager@@QAEXAAUtag_message@@@Z	1.000		746	746	od-od	143
formatting	parity-gap	SOURCE/TOWNMGR	?ChangeTown@townManager@@QAEXXZ	1.000		70	70	od-od	97
formatting	parity-gap	SOURCE/PHILAI	?ResetHeroRVs@@YIXHHH@Z	1.000		303	303	od-od	86
formatting	parity-gap	SOURCE/EVENTS	?CombatMonsterEvent@advManager@@QAEHPAVhero@@HHPAVmapCell@@HHHHHHHHHHH@Z	1.000		1031	1031	od-od	83
formatting	parity-gap	SOURCE/ADVMGR	?SetInitialMapOrigin@advManager@@QAEXXZ	1.000		306	306	od-od	71
formatting	parity-gap	SOURCE/EVENTS	?GenericSiteAIEvent@advManager@@QAEXPAVmapCell@@PAVhero@@@Z	1.000		572	572	od-od	70
formatting	parity-gap	SOURCE/GAME	?SetRandomHeroArmies@game@@QAEXHH@Z	1.000		508	508	od-od	70
formatting	parity-gap	SOURCE/HERO	?Deallocate@hero@@QAEXH@Z	1.000		680	680	od-od	69
formatting	parity-gap	SOURCE/ADVMGR	?SetHeroContext@advManager@@QAEXHH@Z	1.000		457	457	od-od	65
formatting	parity-gap	SOURCE/SPELLS	?ChainLightning@combatManager@@QAEXHH@Z	1.000		514	514	od-od	63
formatting	parity-gap	SOURCE/PHILAI	?GetGameAttentionValue@philAI@@QAEXH@Z	1.000		178	178	od-od	48
formatting	parity-gap	SOURCE/CMBTMGR	?Close@combatManager@@UAEXXZ	1.000		388	388	od-od	45
formatting	parity-gap	SOURCE/ADVMGR	?ShowRoute@advManager@@QAEXHHH@Z	1.000		707	707	od-od	44
formatting	parity-gap	SOURCE/COMMAND	?ValidHexToStandOn@combatManager@@QAEHH@Z	1.000		151	151	od-od	39
formatting	parity-gap	SOURCE/PHILAI	?ValueOfBuyingHero@philAI@@QAEXPAVtown@@PAVhero@@AAHAAM@Z	1.000		348	348	od-od	30
formatting	parity-gap	SOURCE/SPELLS	?BloodLustEffect@combatManager@@QAEXPAVarmy@@H@Z	1.000		232	232	od-od	28
formatting	parity-gap	SOURCE/PHILAI	?ChooseToFightForArtifact@philAI@@QAEHHHH@Z	1.000		169	169	od-od	26
formatting	parity-gap	SOURCE/ADVMGR	?UpdBottomView@advManager@@QAEXHHH@Z	1.000		207	207	od-od	25
formatting	parity-gap	SOURCE/GAME	?WaitForPlayer@game@@QAEXPADH@Z	1.000		154	154	od-od	23
formatting	parity-gap	SOURCE/Wsnetwin	?wsProcessMessages@@YIXXZ	1.000		130	130	od-od	21
formatting	parity-gap	SOURCE/TOWNMGR	?TavernHandler@@YIHAAUtag_message@@@Z	1.000		227	227	od-od	18
formatting	parity-gap	SOURCE/COMMAND	?GetCommand@combatManager@@QAEHH@Z	1.000		593	593	od-od	17
formatting	parity-gap	SOURCE/KB	?RecruitHeroHandler@@YIHAAUtag_message@@@Z	1.000		241	241	od-od	13
formatting	parity-gap	SOURCE/ADVMGR	?TownPortalHandler@@YIHAAUtag_message@@@Z	1.000		192	192	od-od	12
formatting	parity-gap	SOURCE/ADVMGR	?APanelHandler@@YIHAAUtag_message@@@Z	1.000		277	277	od-od	11
formatting	parity-gap	SOURCE/PHILAI	?ManaRefreshValue@philAI@@QAEHPAVhero@@H@Z	1.000		119	119	od-od	8
formatting	parity-gap	SOURCE/HERO	?CalcMobility@hero@@QAEHXZ	1.000		342	342	od-od	2
formatting	parity-gap	SOURCE/KB	?ShowMoraleInfo@game@@QAEXPAVhero@@H@Z	1.000		1005	1005	od-od	2
formatting	parity-gap	SOURCE/SPELLAI	?DoSpellAI@combatManager@@QAEHHH@Z	1.000		363	363	od-od	2
formatting	parity-gap	SOURCE/PHILAI	?EvaluateRecruitSite@philAI@@QAEHPAVmapCell@@@Z	1.000		168	168	od-od	1
formatting	parity-gap	SOURCE/COMMAND	?RightClick@combatManager@@QAEHH@Z	1.000		293	293	od-od	0
formatting	parity-gap	SOURCE/KB	?SetWinText@@YIXPAVheroWindow@@H@Z	1.000		144	144	od-od	0
formatting	parity-gap	SOURCE/PHILAI	?CombatMonsterEvent@philAI@@QAEHPAVhero@@HPAHPAVmapCell@@@Z	1.000		234	234	od-od	0
formatting	parity-gap	SOURCE/PHILAI	?DoDimensionDoor@philAI@@QAEHPAVhero@@@Z	1.000		229	229	od-od	0
formatting	parity-gap	SOURCE/PHILAI	?MaxBuyableCreatures@philAI@@QAEHH@Z	1.000		91	91	od-od	0
formatting	parity-gap	SOURCE/TOWNMGR	?SetArmyCommand@townManager@@QAEXH@Z	1.000		411	411	od-od	0
renames	parity-gap	SOURCE/Overview	?OverviewHandler@@YIHAAUtag_message@@@Z	1.000	quickView15=prevView15	758	758	od-od	287
renames	parity-gap	SOURCE/RECRUIT	?Main@recruitUnit@@UAEHAAUtag_message@@@Z	1.000	close=oldClose	500	500	od-od	12
renames	parity-gap	SOURCE/PATH	?GetMoveMask@army@@QAEHH@Z	1.000	directionBitFlag=directionFlag	61	61	od-od	3
renames	parity-gap	BASE/Bzip	?qsortFull@@YIXHH@Z	1.000	j12=j pivot3=pivot sp13=sp v3=v wuC0=wuC wuR1=wuR	464	464	od-od	2
renames	parity-gap	SOURCE/COMMAND	?ResetCyclingCreatures@combatManager@@QAEXXZ	1.000	currentArmy_p=currentArmy unusedCyclingWord6=unusedCyclingWord	316	316	od-od	2
renames	parity-gap	SOURCE/GAME	?CheckHeroConsistency@game@@QAEXXZ	1.000	cell1=cell consistent13=consistent mapHero3=mapHero occupiedTown9=occupiedTown player3=player slot1=slot total26=total	709	709	od-od	2
renames	parity-gap	SOURCE/AI	?AttemptAdjacentAttack@combatManager@@QAEHPAVarmy@@@Z	1.000	attackHexes5=attackHexes bit0=bit direction36=direction targetArmy15=targetArmy targetMask29=targetMask	206	206	od-od	1
renames	parity-gap	SOURCE/AI	?WalkTowardArmy@combatManager@@QAEHPAVarmy@@HH@Z	1.000	attackMask36=attackMask movement27=movement pathFound5=pathFound pathIndex14=pathIndex savedSpeed12=savedSpeed targetArmy6=targetArmy targetHex7=targetHex targetPtr9=targetPtr unusedPath8=unusedPath	357	357	od-od	1
renames	parity-gap	SOURCE/ARMY	?OtherArmyAdjacent@army@@QAEHHH@Z	1.000	otherArmy1=otherArmy otherHex1=otherHex	232	232	od-od	1
renames	parity-gap	SOURCE/ARMY	?SpellEffect@army@@QAEXHHH@Z	1.000	effectFileId_3=effectFileId entry_8=entry frameDelay_2=frameDelay frame_4=frame minimumYOffset_16=minimumYOffset powBaseY_14=powBaseY unusedSpellEffectWord_12=unusedSpellEffectWord	566	566	od-od	1
renames	parity-gap	SOURCE/COMMAND	?AddArmy@combatManager@@QAEXHHHHHH@Z	1.000	armyIndex_r=j index_g=index reusedArmy_m=reused	430	430	od-od	1
renames	parity-gap	SOURCE/PHILAI	?CheckBerserk@philAI@@QAEXXZ	1.000	column1=column row17=row	348	348	od-od	1
renames	parity-gap	SOURCE/SPELLS	?GetNextChainLightningTarget@combatManager@@QAEHPAVarmy@@H@Z	1.000	armyIndex_g=armyIndex candidate_p=candidate closestHex_f=closestHex deltaX_e=deltaX deltaY_n=deltaY	243	243	od-od	1
renames	parity-gap	SOURCE/EVENTS	?ExpansionRecruitEvent@advManager@@QAEXPAVhero@@HPAF@Z	1.000	dialogMessage2=dialogMessage	66	66	od-od	0
renames	parity-gap	SOURCE/EVENTS	?RecruitEvent@advManager@@QAEXPAVhero@@HPAVmapCell@@@Z	1.000	availableCount15=availableCount dialogMessage2=dialogMessage	94	94	od-od	0
renames	parity-gap	SOURCE/GAME	?RandomizeTown@game@@QAEXHHH@Z	1.000	castle0=castle race0=race townId0=townId unused6=unused	271	271	od-od	0
divergent	parity-gap	BASE/soundmgr	??0soundManager@@QAE@XZ	0.152		284	85	od-od	168
divergent	parity-gap	BASE/soundmgr	?AdjustMusicVolumes@soundManager@@QAEXXZ	0.228		72	130	od-od	10
divergent	parity-gap	BASE/FONT	?LineLength@font@@QAEHPADH@Z	0.365		120	231	od-od	6
divergent	parity-gap	BASE/soundmgr	?StopAllSamples@soundManager@@QAEXH@Z	0.369		74	159	od-od	3
divergent	parity-gap	BASE/soundmgr	?SetMusicQuality@soundManager@@QAEXH@Z	0.545		92	117	od-od	42
divergent	parity-gap	SOURCE/FINDPATH	?Init@searchArray@@QAEXXZ	0.566		36	77	o2-od	0
divergent	parity-gap	BASE/soundmgr	?PollSound@soundManager@@QAEXXZ	0.610		277	487	od-od	34
divergent	parity-gap	BASE/soundmgr	?MusicPlaying@soundManager@@QAEHXZ	0.637		172	327	od-od	13
divergent	parity-gap	SOURCE/GAME	?CompressTest2@@YIXXZ	0.651		213	291	od-od	1
divergent	parity-gap	SOURCE/EVENTS	?DoNetCombat@advManager@@QAEHPAD@Z	0.658		259	334	od-od	1
divergent	parity-gap	SOURCE/GAME	?CompressTest@@YIXXZ	0.684		324	465	od-od	1
divergent	parity-gap	SOURCE/GAME	?CreateJoinFile@@YIXPAD00@Z	0.701		504	683	od-od	1
divergent	parity-gap	BASE/soundmgr	?Open@soundManager@@UAEHH@Z	0.729		527	576	od-od	35
divergent	parity-gap	BASE/soundmgr	?SwitchAmbientMusic@soundManager@@QAEXH@Z	0.748		117	161	od-od	3
divergent	parity-gap	SOURCE/SPELLS	?ShowSpellCastFailure@combatManager@@QAEXPAVarmy@@H@Z	0.764		82	117	od-od	74
divergent	parity-gap	SOURCE/dpnetwin	?DPSD@@YIXHPADH@Z	0.786		576	889	od-od	703
divergent	parity-gap	SOURCE/COMMAND	?ViewBallista@combatManager@@QAEXH@Z	0.804		440	654	od-od	1
divergent	parity-gap	SOURCE/wingraph	?DDSD@@YIXHPADH@Z	0.810		447	657	od-od	627
divergent	parity-gap	BASE/SAMPLE	??0sample@@QAE@PADJJJ@Z	0.812		248	257	o2-od	1
divergent	parity-gap	SOURCE/KB	?InitVars@@YIXXZ	0.816		238	345	od-od	11
divergent	parity-gap	BASE/WINMGR	?DoDialog@heroWindowManager@@QAEHPAVheroWindow@@P6IHAAUtag_message@@@ZH@Z	0.817		276	380	o2-od	18
divergent	parity-gap	SOURCE/GAME	?CalcFileCRC@@YIHPAD@Z	0.821		94	130	od-od	0
divergent	parity-gap	SOURCE/SPELLS	?Resurrect@combatManager@@QAEXHHH@Z	0.823		818	839	od-od	3
divergent	parity-gap	SOURCE/ADVMGR	?SaveGame@@YIHXZ	0.827		288	358	od-od	1
divergent	parity-gap	BASE/Misc	?FileSize@@YIJPAD@Z	0.829		67	73	o2-od	6
divergent	parity-gap	SOURCE/Modem	?WriteModemPacket@@YIXPADH@Z	0.831		234	329	od-od	16
divergent	parity-gap	BASE/WIDGET	?Main@widget@@UAEHAAUtag_message@@@Z	0.841		555	575	o2-od	478
divergent	parity-gap	BASE/listbox	?DrawLBStuff@listBoxWidget@@QAEXH@Z	0.841		489	541	o2-od	279
divergent	parity-gap	SOURCE/GAME	?CountShrines@game@@QAEHH@Z	0.845		299	402	od-od	106
