source_file	source_enum	source_line	starting_members	retained_members	reused_or_moved_members	reason	members
include/BASE/baseManager.h	BaseManagerMessageMask	9	11	11	0	Manager masks are assigned per subsystem; no reader proves they are MessageType aliases. Do not equate them to event bits.	"[{""name"":""BASE_MANAGER_MESSAGE_MASK_ALL"",""retail"":-1,""strict"":-1},{""name"":""BASE_MANAGER_ACCEPT_MOUSE_MOVE"",""retail"":4,""strict"":4},{""name"":""BASE_MANAGER_ACCEPT_LEFT_BUTTON_UP"",""retail"":16,""strict"":16},{""name"":""BASE_MANAGER_ACCEPT_RIGHT_BUTTON_DOWN"",""retail"":32,""strict"":32},{""name"":""BASE_MANAGER_ACCEPT_RIGHT_BUTTON_UP"",""retail"":64,""strict"":64},{""name"":""BASE_MANAGER_ACCEPT_RESOURCE"",""retail"":128,""strict"":128},{""name"":""BASE_MANAGER_ACCEPT_SWAP"",""retail"":256,""strict"":256},{""name"":""BASE_MANAGER_ACCEPT_WIDGET"",""retail"":512,""strict"":512},{""name"":""BASE_MANAGER_ACCEPT_ADVENTURE"",""retail"":1024,""strict"":1024},{""name"":""BASE_MANAGER_ACCEPT_TOWN_EVENT"",""retail"":2048,""strict"":2048},{""name"":""BASE_MANAGER_ACCEPT_EXECUTIVE"",""retail"":16384,""strict"":16384}]"
include/BASE/baseManager.h	BaseManagerPriorityConstant	24	3	1	2	Share the manager priority sentinel; retain the manager-name storage extent.	"[{""name"":""BASE_MANAGER_PRIORITY_UNASSIGNED"",""retail"":-1,""strict"":-1},{""name"":""INPUT_MANAGER_PRIORITY"",""retail"":-1,""strict"":-1,""target"":{""file"":""include/BASE/baseManager.h"",""enum"":""BaseManagerPriorityConstant"",""name"":""BASE_MANAGER_PRIORITY_UNASSIGNED""},""reason"":""Same owner storage/index, selected asset, encoded field or gameplay rule: BASE_MANAGER_PRIORITY_UNASSIGNED.""},{""name"":""SOUND_MANAGER_PRIORITY"",""retail"":-1,""strict"":-1,""target"":{""file"":""include/BASE/baseManager.h"",""enum"":""BaseManagerPriorityConstant"",""name"":""BASE_MANAGER_PRIORITY_UNASSIGNED""},""reason"":""Same owner storage/index, selected asset, encoded field or gameplay rule: BASE_MANAGER_PRIORITY_UNASSIGNED.""}]"
include/BASE/baseManager.h	BaseManagerConstant	30	1	1	0	Share the manager priority sentinel; retain the manager-name storage extent.	"[{""name"":""BASE_MANAGER_NAME_CAPACITY"",""retail"":30,""strict"":30}]"
include/BASE/bitmap.h	BitmapType	7	3	2	1	Missile bitmaps use the existing memory-bitmap type without translation.	"[{""name"":""BITMAP_TYPE_NONE"",""retail"":0,""strict"":0},{""name"":""BITMAP_TYPE_MEMORY"",""retail"":33,""strict"":33},{""name"":""COMBAT_MISSILE_BITMAP_TYPE"",""retail"":33,""strict"":33,""target"":{""file"":""include/BASE/bitmap.h"",""enum"":""BitmapType"",""name"":""BITMAP_TYPE_MEMORY""},""reason"":""Same owner storage/index, selected asset, encoded field or gameplay rule: BITMAP_TYPE_MEMORY.""}]"
include/BASE/button.h	ButtonSelectMode	9	2	2	0	Selection mode, font glyphs, font color-table modes and alignment describe distinct contracts; combined alignment is meaningful.	"[{""name"":""BUTTON_SELECT_STANDARD"",""retail"":0,""strict"":0},{""name"":""BUTTON_SELECT_DIALOG_RESULT"",""retail"":1,""strict"":1}]"
include/BASE/font.h	FontGlyphConstant	9	2	2	0	Selection mode, font glyphs, font color-table modes and alignment describe distinct contracts; combined alignment is meaningful.	"[{""name"":""FONT_SPACER_CHAR"",""retail"":31,""strict"":31},{""name"":""FONT_GLYPH_FALLBACK"",""retail"":95,""strict"":95}]"
include/BASE/font.h	FontDrawMode	14	5	5	0	Selection mode, font glyphs, font color-table modes and alignment describe distinct contracts; combined alignment is meaningful.	"[{""name"":""FONT_DRAW_DARK_GRAY"",""retail"":0,""strict"":0},{""name"":""FONT_DRAW_DEFAULT"",""retail"":1,""strict"":1},{""name"":""FONT_DRAW_YELLOW"",""retail"":2,""strict"":2},{""name"":""FONT_DRAW_DIMMED"",""retail"":3,""strict"":3},{""name"":""FONT_DRAW_SCENARIO_WIN"",""retail"":4,""strict"":4}]"
include/BASE/font.h	FontAlignment	22	5	5	0	Selection mode, font glyphs, font color-table modes and alignment describe distinct contracts; combined alignment is meaningful.	"[{""name"":""FONT_ALIGN_LEFT"",""retail"":0,""strict"":0},{""name"":""FONT_ALIGN_CENTER"",""retail"":1,""strict"":1},{""name"":""FONT_ALIGN_RIGHT"",""retail"":2,""strict"":2},{""name"":""FONT_ALIGN_VERTICAL_CENTER"",""retail"":4,""strict"":4},{""name"":""FONT_ALIGN_CENTER_BOTH"",""retail"":5,""strict"":5}]"
include/BASE/heroWindow.h	WindowFlag	11	6	6	0	Window flags, draw-ID bounds and open state are different domains; 32767 is both a mask and an unrelated inclusive bound.	"[{""name"":""WINDOW_FLAG_NONE"",""retail"":0,""strict"":0},{""name"":""WINDOW_FLAG_FIXED_LAYER"",""retail"":1,""strict"":1},{""name"":""WINDOW_FLAG_SAVE_BACKGROUND"",""retail"":2,""strict"":2},{""name"":""WINDOW_FLAG_STRIP_WINDOW"",""retail"":8,""strict"":8},{""name"":""WINDOW_FLAG_OWNS_WIDGETS"",""retail"":16384,""strict"":16384},{""name"":""WINDOW_UPDATE_SUPPRESS_MASK"",""retail"":32767,""strict"":32767}]"
include/BASE/heroWindow.h	WindowDrawId	21	3	3	0	Window flags, draw-ID bounds and open state are different domains; 32767 is both a mask and an unrelated inclusive bound.	"[{""name"":""WINDOW_ALL_WIDGETS_LOW"",""retail"":-65535,""strict"":-65535},{""name"":""WINDOW_ALL_WIDGETS_HIGH"",""retail"":65535,""strict"":65535},{""name"":""WINDOW_DRAW_ID_LIMIT"",""retail"":32767,""strict"":32767}]"
include/BASE/heroWindow.h	WindowState	27	2	2	0	Window flags, draw-ID bounds and open state are different domains; 32767 is both a mask and an unrelated inclusive bound.	"[{""name"":""WINDOW_STATE_CLOSED"",""retail"":0,""strict"":0},{""name"":""WINDOW_STATE_OPEN"",""retail"":1,""strict"":1}]"
include/BASE/heroWindow.h	HeroWindowConstant	33	1	1	0	Hero-window name capacity, hover/result sentinels and fade direction retain their different roles.	"[{""name"":""HERO_WINDOW_NAME_CAPACITY"",""retail"":20,""strict"":20}]"
include/BASE/heroWindowManager.h	HeroWindowManagerConstant	14	2	2	0	Hero-window name capacity, hover/result sentinels and fade direction retain their different roles.	"[{""name"":""HERO_WINDOW_NO_HOVER_WIDGET"",""retail"":-1,""strict"":-1},{""name"":""HERO_WINDOW_NO_DIALOG_RESULT"",""retail"":-1,""strict"":-1}]"
include/BASE/heroWindowManager.h	WindowFadeMode	19	2	2	0	Hero-window name capacity, hover/result sentinels and fade direction retain their different roles.	"[{""name"":""FADE_IN"",""retail"":0,""strict"":0},{""name"":""FADE_OUT"",""retail"":1,""strict"":1}]"
include/BASE/inputManager.h	InputLogicalExtent	10	2	0	2	Input coordinate scaling uses the same logical framebuffer dimensions as drawing.	"[{""name"":""INPUT_GAME_WIDTH"",""retail"":640,""strict"":640,""target"":{""file"":""include/BASE/display.h"",""enum"":""LogicalScreenConstant"",""name"":""LOGICAL_SCREEN_WIDTH""},""reason"":""Input coordinate conversion uses the logical framebuffer width.""},{""name"":""INPUT_GAME_HEIGHT"",""retail"":480,""strict"":480,""target"":{""file"":""include/BASE/display.h"",""enum"":""LogicalScreenConstant"",""name"":""LOGICAL_SCREEN_HEIGHT""},""reason"":""Input coordinate conversion uses the logical framebuffer height.""}]"
include/BASE/inputManager.h	InputManagerKeyCodeType	19	2	2	0	ASCII-vs-scan discriminator, physical scan codes and input storage capacities are distinct; callers reuse physical codes.	"[{""name"":""INPUT_KEY_CODE_ASCII"",""retail"":0,""strict"":0},{""name"":""INPUT_KEY_CODE_SCAN"",""retail"":1,""strict"":1}]"
include/BASE/inputManager.h	InputManagerScanCode	24	89	89	0	ASCII-vs-scan discriminator, physical scan codes and input storage capacities are distinct; callers reuse physical codes.	"[{""name"":""INPUT_SCAN_NONE"",""retail"":0,""strict"":0},{""name"":""INPUT_SCAN_ESCAPE"",""retail"":1,""strict"":1},{""name"":""INPUT_SCAN_1"",""retail"":2,""strict"":2},{""name"":""INPUT_SCAN_2"",""retail"":3,""strict"":3},{""name"":""INPUT_SCAN_3"",""retail"":4,""strict"":4},{""name"":""INPUT_SCAN_4"",""retail"":5,""strict"":5},{""name"":""INPUT_SCAN_5"",""retail"":6,""strict"":6},{""name"":""INPUT_SCAN_6"",""retail"":7,""strict"":7},{""name"":""INPUT_SCAN_7"",""retail"":8,""strict"":8},{""name"":""INPUT_SCAN_8"",""retail"":9,""strict"":9},{""name"":""INPUT_SCAN_9"",""retail"":10,""strict"":10},{""name"":""INPUT_SCAN_0"",""retail"":11,""strict"":11},{""name"":""INPUT_SCAN_MINUS"",""retail"":12,""strict"":12},{""name"":""INPUT_SCAN_EQUALS"",""retail"":13,""strict"":13},{""name"":""INPUT_SCAN_BACKSPACE"",""retail"":14,""strict"":14},{""name"":""INPUT_SCAN_TAB"",""retail"":15,""strict"":15},{""name"":""INPUT_SCAN_Q"",""retail"":16,""strict"":16},{""name"":""INPUT_SCAN_W"",""retail"":17,""strict"":17},{""name"":""INPUT_SCAN_E"",""retail"":18,""strict"":18},{""name"":""INPUT_SCAN_R"",""retail"":19,""strict"":19},{""name"":""INPUT_SCAN_T"",""retail"":20,""strict"":20},{""name"":""INPUT_SCAN_Y"",""retail"":21,""strict"":21},{""name"":""INPUT_SCAN_U"",""retail"":22,""strict"":22},{""name"":""INPUT_SCAN_I"",""retail"":23,""strict"":23},{""name"":""INPUT_SCAN_O"",""retail"":24,""strict"":24},{""name"":""INPUT_SCAN_P"",""retail"":25,""strict"":25},{""name"":""INPUT_SCAN_LEFT_BRACKET"",""retail"":26,""strict"":26},{""name"":""INPUT_SCAN_RIGHT_BRACKET"",""retail"":27,""strict"":27},{""name"":""INPUT_SCAN_ENTER"",""retail"":28,""strict"":28},{""name"":""INPUT_SCAN_CONTROL"",""retail"":29,""strict"":29},{""name"":""INPUT_SCAN_A"",""retail"":30,""strict"":30},{""name"":""INPUT_SCAN_S"",""retail"":31,""strict"":31},{""name"":""INPUT_SCAN_D"",""retail"":32,""strict"":32},{""name"":""INPUT_SCAN_F"",""retail"":33,""strict"":33},{""name"":""INPUT_SCAN_G"",""retail"":34,""strict"":34},{""name"":""INPUT_SCAN_H"",""retail"":35,""strict"":35},{""name"":""INPUT_SCAN_J"",""retail"":36,""strict"":36},{""name"":""INPUT_SCAN_K"",""retail"":37,""strict"":37},{""name"":""INPUT_SCAN_L"",""retail"":38,""strict"":38},{""name"":""INPUT_SCAN_SEMICOLON"",""retail"":39,""strict"":39},{""name"":""INPUT_SCAN_APOSTROPHE"",""retail"":40,""strict"":40},{""name"":""INPUT_SCAN_GRAVE"",""retail"":41,""strict"":41},{""name"":""INPUT_SCAN_LEFT_SHIFT"",""retail"":42,""strict"":42},{""name"":""INPUT_SCAN_BACKSLASH"",""retail"":43,""strict"":43},{""name"":""INPUT_SCAN_Z"",""retail"":44,""strict"":44},{""name"":""INPUT_SCAN_X"",""retail"":45,""strict"":45},{""name"":""INPUT_SCAN_C"",""retail"":46,""strict"":46},{""name"":""INPUT_SCAN_V"",""retail"":47,""strict"":47},{""name"":""INPUT_SCAN_B"",""retail"":48,""strict"":48},{""name"":""INPUT_SCAN_N"",""retail"":49,""strict"":49},{""name"":""INPUT_SCAN_M"",""retail"":50,""strict"":50},{""name"":""INPUT_SCAN_COMMA"",""retail"":51,""strict"":51},{""name"":""INPUT_SCAN_PERIOD"",""retail"":52,""strict"":52},{""name"":""INPUT_SCAN_SLASH"",""retail"":53,""strict"":53},{""name"":""INPUT_SCAN_RIGHT_SHIFT"",""retail"":54,""strict"":54},{""name"":""INPUT_SCAN_NUMPAD_MULTIPLY"",""retail"":55,""strict"":55},{""name"":""INPUT_SCAN_ALT"",""retail"":56,""strict"":56},{""name"":""INPUT_SCAN_SPACE"",""retail"":57,""strict"":57},{""name"":""INPUT_SCAN_CAPS_LOCK"",""retail"":58,""strict"":58},{""name"":""INPUT_SCAN_F1"",""retail"":59,""strict"":59},{""name"":""INPUT_SCAN_F2"",""retail"":60,""strict"":60},{""name"":""INPUT_SCAN_F3"",""retail"":61,""strict"":61},{""name"":""INPUT_SCAN_F4"",""retail"":62,""strict"":62},{""name"":""INPUT_SCAN_F5"",""retail"":63,""strict"":63},{""name"":""INPUT_SCAN_F6"",""retail"":64,""strict"":64},{""name"":""INPUT_SCAN_F7"",""retail"":65,""strict"":65},{""name"":""INPUT_SCAN_F8"",""retail"":66,""strict"":66},{""name"":""INPUT_SCAN_F9"",""retail"":67,""strict"":67},{""name"":""INPUT_SCAN_F10"",""retail"":68,""strict"":68},{""name"":""INPUT_SCAN_NUM_LOCK"",""retail"":69,""strict"":69},{""name"":""INPUT_SCAN_SCROLL_LOCK"",""retail"":70,""strict"":70},{""name"":""INPUT_SCAN_NUMPAD_7"",""retail"":71,""strict"":71},{""name"":""INPUT_SCAN_NUMPAD_8"",""retail"":72,""strict"":72},{""name"":""INPUT_SCAN_NUMPAD_9"",""retail"":73,""strict"":73},{""name"":""INPUT_SCAN_NUMPAD_MINUS"",""retail"":74,""strict"":74},{""name"":""INPUT_SCAN_NUMPAD_4"",""retail"":75,""strict"":75},{""name"":""INPUT_SCAN_NUMPAD_5"",""retail"":76,""strict"":76},{""name"":""INPUT_SCAN_NUMPAD_6"",""retail"":77,""strict"":77},{""name"":""INPUT_SCAN_NUMPAD_PLUS"",""retail"":78,""strict"":78},{""name"":""INPUT_SCAN_NUMPAD_1"",""retail"":79,""strict"":79},{""name"":""INPUT_SCAN_NUMPAD_2"",""retail"":80,""strict"":80},{""name"":""INPUT_SCAN_NUMPAD_3"",""retail"":81,""strict"":81},{""name"":""INPUT_SCAN_NUMPAD_0"",""retail"":82,""strict"":82},{""name"":""INPUT_SCAN_NUMPAD_DELETE"",""retail"":83,""strict"":83},{""name"":""INPUT_SCAN_SYSREQ"",""retail"":84,""strict"":84},{""name"":""INPUT_SCAN_RESERVED_55"",""retail"":85,""strict"":85},{""name"":""INPUT_SCAN_ISO_BACKSLASH"",""retail"":86,""strict"":86},{""name"":""INPUT_SCAN_F11"",""retail"":87,""strict"":87},{""name"":""INPUT_SCAN_F12"",""retail"":88,""strict"":88}]"
include/BASE/inputManager.h	InputManagerCapacity	116	2	2	0	ASCII-vs-scan discriminator, physical scan codes and input storage capacities are distinct; callers reuse physical codes.	"[{""name"":""INPUT_EVENT_RING_CAPACITY"",""retail"":64,""strict"":64},{""name"":""INPUT_SCAN_CODE_CAPACITY"",""retail"":128,""strict"":128}]"
include/BASE/message.h	MessageDispatchResult	8	3	3	0	Message result, message type, widget command, modifiers and executive command are separate payload domains with shared canonical members.	"[{""name"":""MESSAGE_DISPATCH_CONTINUE"",""retail"":0,""strict"":0},{""name"":""MESSAGE_DISPATCH_CONSUME"",""retail"":1,""strict"":1},{""name"":""MESSAGE_DISPATCH_FORWARD"",""retail"":2,""strict"":2}]"
include/BASE/message.h	MessageType	16	10	10	0	Message result, message type, widget command, modifiers and executive command are separate payload domains with shared canonical members.	"[{""name"":""MESSAGE_NONE"",""retail"":0,""strict"":0},{""name"":""MESSAGE_KEY_DOWN"",""retail"":1,""strict"":1},{""name"":""MESSAGE_KEY_UP"",""retail"":2,""strict"":2},{""name"":""MESSAGE_MOUSE_MOVE"",""retail"":4,""strict"":4},{""name"":""MESSAGE_LEFT_BUTTON_DOWN"",""retail"":8,""strict"":8},{""name"":""MESSAGE_LEFT_BUTTON_UP"",""retail"":16,""strict"":16},{""name"":""MESSAGE_RIGHT_BUTTON_DOWN"",""retail"":32,""strict"":32},{""name"":""MESSAGE_RIGHT_BUTTON_UP"",""retail"":64,""strict"":64},{""name"":""MESSAGE_WIDGET"",""retail"":512,""strict"":512},{""name"":""MESSAGE_EXECUTIVE"",""retail"":16384,""strict"":16384}]"
include/BASE/message.h	BaseWidgetCommand	30	24	24	0	Message result, message type, widget command, modifiers and executive command are separate payload domains with shared canonical members.	"[{""name"":""WIDGET_COMMAND_DRAW"",""retail"":2,""strict"":2},{""name"":""WIDGET_COMMAND_SET_TEXT"",""retail"":3,""strict"":3},{""name"":""WIDGET_COMMAND_SET_FRAME"",""retail"":4,""strict"":4},{""name"":""WIDGET_COMMAND_SET_FLAGS"",""retail"":5,""strict"":5},{""name"":""WIDGET_COMMAND_CLEAR_FLAGS"",""retail"":6,""strict"":6},{""name"":""WIDGET_COMMAND_GET_TEXT"",""retail"":7,""strict"":7},{""name"":""WIDGET_COMMAND_SET_FILL_COLOR"",""retail"":8,""strict"":8},{""name"":""WIDGET_COMMAND_SET_ICON"",""retail"":9,""strict"":9},{""name"":""WIDGET_COMMAND_DIALOG_SELECT"",""retail"":10,""strict"":10},{""name"":""WIDGET_COMMAND_SELECT"",""retail"":12,""strict"":12},{""name"":""WIDGET_COMMAND_DESELECT"",""retail"":13,""strict"":13},{""name"":""WIDGET_COMMAND_ALTERNATE_SELECT"",""retail"":14,""strict"":14},{""name"":""WIDGET_COMMAND_REMOTE_WAIT_EXIT"",""retail"":16,""strict"":16},{""name"":""WIDGET_COMMAND_SET_MAX_LENGTH"",""retail"":51,""strict"":51},{""name"":""WIDGET_COMMAND_SET_X"",""retail"":52,""strict"":52},{""name"":""WIDGET_COMMAND_SET_Y"",""retail"":53,""strict"":53},{""name"":""WIDGET_COMMAND_SET_SELECTION"",""retail"":54,""strict"":54},{""name"":""WIDGET_COMMAND_GET_SELECTION"",""retail"":55,""strict"":55},{""name"":""WIDGET_COMMAND_APPEND_ITEM"",""retail"":56,""strict"":56},{""name"":""WIDGET_COMMAND_REPLACE_ITEM"",""retail"":57,""strict"":57},{""name"":""WIDGET_COMMAND_DELETE_ITEM"",""retail"":58,""strict"":58},{""name"":""WIDGET_COMMAND_CLEAR_ITEMS"",""retail"":59,""strict"":59},{""name"":""WIDGET_COMMAND_REPLACE_ICON"",""retail"":60,""strict"":60},{""name"":""WIDGET_COMMAND_SET_WIDTH"",""retail"":61,""strict"":61}]"
include/BASE/message.h	MessageModifier	61	14	14	0	Message result, message type, widget command, modifiers and executive command are separate payload domains with shared canonical members.	"[{""name"":""MESSAGE_MODIFIER_NONE"",""retail"":0,""strict"":0},{""name"":""MESSAGE_MODIFIER_RIGHT_SHIFT"",""retail"":1,""strict"":1},{""name"":""MESSAGE_MODIFIER_LEFT_SHIFT"",""retail"":2,""strict"":2},{""name"":""MESSAGE_MODIFIER_SHIFT_KEYS"",""retail"":3,""strict"":3},{""name"":""MESSAGE_MODIFIER_CONTROL"",""retail"":4,""strict"":4},{""name"":""MESSAGE_MODIFIER_ALT"",""retail"":32,""strict"":32},{""name"":""MESSAGE_MODIFIER_CONTROL_KEYS"",""retail"":12,""strict"":12},{""name"":""MESSAGE_MODIFIER_CLEAR_CONTROL_MASK"",""retail"":65531,""strict"":65531},{""name"":""MESSAGE_MODIFIER_CLEAR_LEFT_SHIFT_MASK"",""retail"":65533,""strict"":65533},{""name"":""MESSAGE_MODIFIER_CLEAR_RIGHT_SHIFT_MASK"",""retail"":65534,""strict"":65534},{""name"":""MESSAGE_MODIFIER_CLEAR_ALT_MASK"",""retail"":65503,""strict"":65503},{""name"":""MESSAGE_MODIFIER_LEFT_BUTTON"",""retail"":256,""strict"":256},{""name"":""MESSAGE_MODIFIER_RIGHT_BUTTON"",""retail"":512,""strict"":512},{""name"":""MESSAGE_MODIFIER_BUTTON_MASK"",""retail"":768,""strict"":768}]"
include/BASE/message.h	ExecutiveCommand	131	3	3	0	Message result, message type, widget command, modifiers and executive command are separate payload domains with shared canonical members.	"[{""name"":""EXECUTIVE_COMMAND_TERMINATE_LOOP"",""retail"":1,""strict"":1},{""name"":""EXECUTIVE_COMMAND_REMOVE_MANAGER"",""retail"":2,""strict"":2},{""name"":""EXECUTIVE_COMMAND_RETURN_RESULT"",""retail"":4,""strict"":4}]"
