id	master_path	casts	address	outside	reviewed_file_sha256	evidence
src/BASE/Bzip.cpp:SETFIRST16(Int32 a,UInt32 w)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/Bzip.cpp:SETFOURTH(Int32 a,UChar c)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/Bzip.cpp:SETREST(Int32 a,UInt32 w)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/Bzip.cpp:SETREST16(Int32 a,UInt32 w)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/Bzip.cpp:allocateCompressStructures(void)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/Bzip.cpp:arithCodeSymbol(BitStream * bs,Model * m,Int32 symbol)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/Bzip.cpp:bsClose(BitStream * bs)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/Bzip.cpp:bsOpenReadStream(FILE * f)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/Bzip.cpp:bsOpenWriteStream(FILE * f)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/Bzip.cpp:doReversibleTransformation(void)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/Bzip.cpp:getAndMoveToFrontDecode(BitStream * inStream)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/Bzip.cpp:getInt32(BitStream * bs)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/Bzip.cpp:getUInt32(BitStream * bs)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/Bzip.cpp:initBogusModel(void)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/Bzip.cpp:initModels(void)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/Bzip.cpp:putUChar(BitStream * bs,UChar c)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/Bzip.cpp:sendMTFVal(BitStream * bs,Int32 n)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/Bzip.cpp:setDecompressStructureSizes(Int32 newSize100k)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/Bzip.cpp:sortIt(void)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/Bzip.cpp:spotBlock(Bool weAreCompressing)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/Bzip.cpp:uncompressStream(FILE * zStream,FILE * stream)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/FONT.cpp:font::ExtractLine(char * text,char * line,i32 * position,i32 maxWidth,i32 * lineWidth,u8 lastLine)#1	src/BASE/FONT.cpp	-	-	fixed	40122e5adc604c505fa692b81c0bb1daacdddbbd73db1fd012ae7019939eda87	Master already replaced negative-index backtracking with a bounded UTF-8 character vector. All three current callers use input-length+2 vectors, proving room for copied suffix, hyphen and terminator. This PR normalizes negative width to zero before an empty word can reach word[fallback]. Public raw-buffer API retains caller capacity/position preconditions.
src/BASE/Icon2b.cpp:IconToBitmap(class icon * srcIcon,class bitmap * dest,i32 x,i32 y,i32 frame,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH,i32 color)#1	src/BASE/Icon2b.cpp	covered-pr	covered-pr	covered-pr	49bac5bd64dd560daa29b856effc3d7c566f5d3b7620a63bf928ad06ccdb4e7a	PR37 (06e2055e0) replaces this decoder with the shared span-bounded ImageDecode walker: byte wire reads, signed integer cursor until clipped, real nested palette indexing. Depends on PR33; not merged into master and not part of PR61's test result.
src/BASE/Icond2b.cpp:DimIconToBitmap(class icon * srcIcon,class bitmap * dest,i32 x,i32 y,i32 frame,i32 color,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH)#1	src/BASE/Icond2b.cpp	-	-	covered-pr	ccadad5c35d802db45858152b86b11bf4268335f742ad96d7dcc26dcb502eae4	PR37 (06e2055e0) uses shared checked mask-dim decoder with legal nested palette indexing; still open.
src/BASE/Icondf2b.cpp:FlipDimIconToBitmap(class icon * srcIcon,class bitmap * dest,i32 x,i32 y,i32 frame,i32 color,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH)#1	src/BASE/Icondf2b.cpp	-	-	covered-pr	31bd0603eb58f86134d0f6020163360a667a35ebf2384c62422ba22516ca9a07	PR37 (06e2055e0) uses shared checked mirrored mask-dim decoder with legal nested palette indexing; still open.
src/BASE/Iconf2b.cpp:FlipIconToBitmap(class icon * srcIcon,class bitmap * dest,i32 x,i32 y,i32 frame,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH,i32 color)#1	src/BASE/Iconf2b.cpp	covered-pr	covered-pr	covered-pr	2192185e03d3cdc31442157c77f75ae676be16ca1cdf2cb44fd685835fceca31	PR37 (06e2055e0) replaces mirrored decoder with ImageDecode: byte wire reads, integer mirrored cursor, clipping before pixel pointers, real nested palette indexing. Depends on PR33; still open.
src/BASE/Iconm2b.cpp:MonoIconToBitmap(class icon * srcIcon,class bitmap * dest,i32 x,i32 y,i32 frame,i32 color,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH)#1	src/BASE/Iconm2b.cpp	-	-	covered-pr	72f2ae747e16573a3f19b218a6743733097f56e48e409151b4b5d76cc92e3064	PR37 (06e2055e0) uses shared checked mask-fill decoder; still open.
src/BASE/Iconmf2b.cpp:FlipMonoIconToBitmap(class icon * srcIcon,class bitmap * dest,i32 x,i32 y,i32 frame,i32 color,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH)#1	src/BASE/Iconmf2b.cpp	-	-	covered-pr	4c91726b36b1470985f6efdcef1beeac7f4a96acb610e95ab237c05cbd140415	PR37 (06e2055e0) uses shared checked mirrored mask-fill decoder; still open.
src/BASE/Misc.cpp:ReadPrefsFromRegistry(void)#1	src/BASE/Misc.cpp	-	-	replaced	6df0ec9c59b95154a2a966ab1e75b6ded1b3819fbd3267fc5aa6bf78beb41db1	Complete body only delegates to ReadPrefsFromFile; old registry buffer accesses are gone. File implementation uses bounded configuration storage and short-read default handling. No registry owner remains.
src/BASE/Misc.cpp:WritePrefsToRegistry(void)#1	src/BASE/Misc.cpp	-	-	replaced	6df0ec9c59b95154a2a966ab1e75b6ded1b3819fbd3267fc5aa6bf78beb41db1	Complete body only delegates to WritePrefsToFile, whose FileWriteExact operates on the full configuration prefix. Old registry buffer accesses are gone.
src/BASE/Ripple.cpp:DoRipple(bitmap * source,bitmap * destination,i32 height,i32 strength)#1	src/BASE/Ripple.cpp	-	-	fixed	b0979c4c5705f2c30ed9125231d04a59a1d22f562493488ac4f7ab242b1a2d8c	Validates both actual 640-wide bitmap owners, height and displacement before drawing; skips empty displaced column before forming its source pointer. Existing final-iteration break prevents a beyond-end pointer increment. Valid strength/height rendering unchanged.
src/BASE/TILE.asm:TileToBitmap#1	src/BASE/TILE.cpp	-	-	covered-pr	6ddaaac6fbbfbf4468fece44080fb5cb77a5d08ea1d34815587358af82f8ced5	PR40 (6b29b3bbc) validates tile count/byte extent and clips in signed widened coordinates before forming row pointers. Read complete replacement. Depends on PR37; still open.
src/BASE/bmap2.cpp:BlitBitmap(class bitmap * src,i32 sx,i32 sy,i32 w,i32 h,class bitmap * dst,i32 dx,i32 dy)#1	src/BASE/bmap2.cpp	-	-	covered-pr	8a7271fee928dd0d58100d549a2b488c3bca35676fe27c82e9bab3a1a215e3ee	PR40 (6b29b3bbc) clips source/destination rectangles with widened coordinates, forms only in-range row pointers, handles overlap, and uses real nested dim palettes. Read complete replacement functions. Depends on PR37; still open.
src/BASE/bmap2.cpp:DimBitmapArea(class bitmap * bmp,i32 x,i32 y,i32 w,i32 h,i32 level)#1	src/BASE/bmap2.cpp	-	-	covered-pr	8a7271fee928dd0d58100d549a2b488c3bca35676fe27c82e9bab3a1a215e3ee	PR40 (6b29b3bbc) clips source/destination rectangles with widened coordinates, forms only in-range row pointers, handles overlap, and uses real nested dim palettes. Read complete replacement functions. Depends on PR37; still open.
src/BASE/bmap2.cpp:FillBitmapArea(class bitmap * bmp,i32 x,i32 y,i32 w,i32 h,i32 color)#1	src/BASE/bmap2.cpp	-	-	covered-pr	8a7271fee928dd0d58100d549a2b488c3bca35676fe27c82e9bab3a1a215e3ee	PR40 (6b29b3bbc) clips source/destination rectangles with widened coordinates, forms only in-range row pointers, handles overlap, and uses real nested dim palettes. Read complete replacement functions. Depends on PR37; still open.
src/BASE/icon2bc.cpp:IconToBitmapColorTable(class icon * srcIcon,class bitmap * dest,i32 x,i32 y,i32 frame,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH,i32 color,u8 * colorTable,i32 dimGate)#1	src/BASE/icon2bc.cpp	covered-pr	covered-pr	covered-pr	7153fc2b24ce29652269c3156b32a7b212fe55e9b924989085ad74c34bad2202	PR37 (06e2055e0) routes color-table drawing through span-bounded ImageDecode; no biased destination base, cross-row palette lookup or packed-word decode. Still open, not a merged fix.
src/BASE/icon2bs.cpp:IconToBitmapScale(class icon * srcIcon,class bitmap * dest,i32 destX,i32 destY,i32 frame,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH,i32 scale)#1	src/BASE/icon2bs.cpp	-	-	covered-pr	b4850d1ce3d8d963885a499fc05ebb1182148289d9a76b8a639b49fddfb2ac00	PR37 (06e2055e0) replaces raw scaled decoder with validated intermediate drawing; inspect scaled geometry regression coverage before merge. Still open.
src/BASE/icon2by.cpp:IconToBitmapYModify(class icon * srcIcon,class bitmap * dest,i32 x,i32 y,i32 frame,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH,i32 color,i8 * shear)#1	src/BASE/icon2by.cpp	covered-pr	covered-pr	covered-pr	a6958c8697b569fdec19daecfad18f918021d5cde117f8b95ee844f4db0b6188	PR37 (06e2055e0) routes sheared drawing through ImageDecode; shear span checked by row, stream checked and pixel pointer formed only after clipping. Still open.
src/BASE/iconf2bc.cpp:FlipIconToBitmapColorTable(class icon * srcIcon,class bitmap * dest,i32 x,i32 y,i32 frame,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH,i32 color,u8 * colorTable)#1	src/BASE/iconf2bc.cpp	covered-pr	covered-pr	covered-pr	d90fd6a228b12e6e16cea364ad8c52c76125d2a4dd661e2a9051f7cba9e7f3ad	PR37 (06e2055e0) routes mirrored color-table drawing through ImageDecode; clipped integer cursor and span-bounded stream. Still open.
src/BASE/iconf2by.cpp:FlipIconToBitmapYModify(class icon * srcIcon,class bitmap * dest,i32 x,i32 y,i32 frame,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH,i32 color,i8 * shear)#1	src/BASE/iconf2by.cpp	covered-pr	covered-pr	covered-pr	8bfdca4e07e7beecb9ce424df18936c9d42a4493a391ca07474ddc775762cbaf	PR37 (06e2055e0) routes mirrored sheared drawing through ImageDecode with integer cursor, bounded shear span and clipping. Still open.
src/SOURCE/ADVMGR.cpp:ComputeAdvNetControl(void)#1	src/SOURCE/ADVMGR.cpp	-	-	fixed	4fd3308627574efaffe78e7ab3bce4dff6ecfe37cccb21d3ba059ec548a2c50b	Dead-player loop now advances; selected=-1 never indexes local-human array. Existing second-loop ordering deliberately retained. Source-reviewed legacy transport fix, not a multiplayer execution claim.
src/SOURCE/ADVMGR.cpp:GetHeroSlot(i32 i)#1	src/SOURCE/ADVMGR.cpp	-	-	fixed	4fd3308627574efaffe78e7ab3bce4dff6ecfe37cccb21d3ba059ec548a2c50b	Only current caller is ProcessSearch; it now rejects currentHero outside [0,GAME_HERO_COUNT) before accessor/pointer formation. Genuine flat hero-record owner unchanged.
src/SOURCE/ADVMGR.cpp:MapExtraPosAndAdjacentsSet(i32 x,i32 y,u8 mask)#1	src/SOURCE/ADVMGR.cpp	-	-	fixed	4fd3308627574efaffe78e7ab3bce4dff6ecfe37cccb21d3ba059ec548a2c50b	Starting x/y guard now precedes initial map-extra lookup; existing per-neighbor guards remain.
src/SOURCE/ADVMGR.cpp:SystemOptionsHandler(struct tag_message & message)#1	src/SOURCE/ADVMGR.cpp	required	-	-	4fd3308627574efaffe78e7ab3bce4dff6ecfe37cccb21d3ba059ec548a2c50b	Remaining FromCode calls decode widget IDs; opera toggle converts numeric complement back to the configuration enum. These are genuine tagged UI/config boundaries, not incidental scalar materialization.
src/SOURCE/ADVMGR.cpp:UpdateSystemOptions(i32 initialDraw)#1	src/SOURCE/ADVMGR.cpp	fixed	-	-	4fd3308627574efaffe78e7ab3bce4dff6ecfe37cccb21d3ba059ec548a2c50b	Removed three Boolean-to-i32 materialization casts; integer addition promotes Boolean values itself. Remaining enum/widget boundaries preserved.
src/SOURCE/ADVMGR.cpp:advManager::CheckHandleNet(void)#1	src/SOURCE/ADVMGR.cpp	fixed	-	-	4fd3308627574efaffe78e7ab3bce4dff6ecfe37cccb21d3ba059ec548a2c50b	Copies queue bytes into a live RemoteMessage; save and exit payloads copied into real command-specific objects. Removed undersized16-byte generic payload overlay and duplicate exit byte cast. Pass-through/combat paths still return/use original packetBytes, not a local pointer; chat/map-change consumers synchronously copy their input. Protocol validation is not claimed complete.
src/SOURCE/ADVMGR.cpp:advManager::ComboDraw(i32 originX,i32 originY,i32 animate)#1	src/SOURCE/ADVMGR.cpp	-	-	fixed	4fd3308627574efaffe78e7ab3bce4dff6ecfe37cccb21d3ba059ec548a2c50b	Complete 18x18 reset via sizeof; both hero/boat far-left marks require x>=2. Monster x>0 guard already on master. Remaining neighbor offsets fit actual18x18 owner for viewport0..14; advManager::GetCell maps invalid world coordinates to cell0,0.
src/SOURCE/ADVMGR.cpp:advManager::ProcessDeSelect(struct tag_message * message,i32 * result,class mapCell ** eventCell)#1	src/SOURCE/ADVMGR.cpp	replaced	-	-	4fd3308627574efaffe78e7ab3bce4dff6ecfe37cccb21d3ba059ec548a2c50b	Master already passes occupied-town pointer != nullptr for Boolean HeroView option; no pointer-to-integer reconstruction conversion remains.
src/SOURCE/ADVMGR.cpp:advManager::QuickInfo(i32 cellX,i32 cellY)#1	src/SOURCE/ADVMGR.cpp	replaced	-	-	4fd3308627574efaffe78e7ab3bce4dff6ecfe37cccb21d3ba059ec548a2c50b	Signed-byte toupper conversion replaced on master by UTF-8 UppercaseFirst. Remaining ObjectTileset-to-i32 is diagnostic formatting, not text decoding or owner recovery.
src/SOURCE/ADVMGR.cpp:advManager::UpdBottomViewEnemyTurn(void)#1	src/SOURCE/ADVMGR.cpp	replaced	-	-	4fd3308627574efaffe78e7ab3bce4dff6ecfe37cccb21d3ba059ec548a2c50b	Current body uses direct current-player indices/color calls; old char(giCurPlayer) round trip absent.
src/SOURCE/ADVMGR.cpp:advManager::UpdBottomViewHero(void)#1	src/SOURCE/ADVMGR.cpp	fixed	-	-	4fd3308627574efaffe78e7ab3bce4dff6ecfe37cccb21d3ba059ec548a2c50b	Replaced duplicate raw byte-stride IconEntry reinterpretation with existing GetIconEntry accessor. Allocation cast still represents H2_ALLOC's void-pointer API; not a fabricated owner.
src/SOURCE/ADVMGR.cpp:advManager::UpdateRadar(i32 updateScreen,i32 partial)#1	src/SOURCE/ADVMGR.cpp	-	-	fixed	4fd3308627574efaffe78e7ab3bce4dff6ecfe37cccb21d3ba059ec548a2c50b	Added right-neighbor x+1<MAP_WIDTH guard before direct fullMap lookup. Screen144x144 rendering and existing left-neighbor guards unchanged; malformed map metadata remains separate input contract.
src/SOURCE/ARMY.cpp:BuildTempWalkSeq(struct SMonFrameInfo * frameInfo,i32 finishStanding,i32 skipDrawing)#1	src/SOURCE/WalkSequence.cpp	-	-	fixed	d4c26eb38faaf884ed55dad94251a7137554d5a557d9e7c0a7d5416e8aef0802	Moved actual implementation to testable TU; bounded append copies at most remaining capacity of real 16-byte frame/offset destinations. Exhaustive four mode combinations and counts -1,0,1,5,6,16,17,127 verify sequence order and unchanged neighboring fields in walk_sequence CTest.
src/SOURCE/ARMY.cpp:army::CancelIndividualSpell(ArmySpellInfluence influence)#1	src/SOURCE/ARMY.cpp	fixed	-	-	38ca8add6d929d362649a9c4414f8f87e5e80d3673b47a019e8be0e9c95275d7	Speed restore uses its actual i8 destination without duplicate cast.
src/SOURCE/ARMY.cpp:army::Damage(i32l damage,SpellType spell)#1	src/SOURCE/ARMY.cpp	replaced	-	-	38ca8add6d929d362649a9c4414f8f87e5e80d3673b47a019e8be0e9c95275d7	Current master uses OppositeArmyFacing instead of integer/enum arithmetic; no explicit cast remains in this body.
src/SOURCE/ARMY.cpp:army::DoHydraAttack(i32)#1	src/SOURCE/ARMY.cpp	fixed	-	-	38ca8add6d929d362649a9c4414f8f87e5e80d3673b47a019e8be0e9c95275d7	Removed both redundant i16 casts: actual i16 attackMask destination performs the same conversion.
