# Buka VA claim queue, harvested from branch decomp-gold-2.1-buka-attempt-1 (its NEW_VA markers).
# Every row is a remap CLAIM from the previous attempt: the function's
# PoL-line reconstruction (pol_va) was located at buka_rva in this image.
# inventory compares against config/retail_functions.csv byte_size:
#   exact = Ghidra agrees on entry+size; size-differs:<n> = entry agrees,
#   size does not; absent = Ghidra lists no function at that entry.
# Claim a row by porting the body and marking it VA(0x<va>, 0x<size>).
unit	buka_rva	size	inventory	pol_va	signature
BASE/BUTTON	0xd34e0	0x63	exact	0x004dd440	button::button(void) : widget(0, 0, 0, 0, 0, WIDGET_KIND_NONE)
BASE/BUTTON	0xd3580	0xb6	exact	0x004dd4c0	button::button(
BASE/BUTTON	0xd3640	0xc7	exact	0x004dd530	button::button(
BASE/BUTTON	0xd3710	0x115	exact	0x004dd5b0	void button::Read(void)
BASE/BUTTON	0xd3830	0x5b	exact	0x004dd6a0	inline button::~button()
BASE/BUTTON	0xd3890	0x4d8	exact	0x004dd6d0	MessageDispatchResult button::Main(tag_message& msg)
BASE/BUTTON	0xd3d70	0xe9	exact	0x004ddc70	H2_ENUM_RETURN(MessageDispatchResult, i16) button::Select(struct tag_message& msg)
BASE/BUTTON	0xd3e60	0xb7	exact	0x004ddd10	H2_ENUM_RETURN(MessageDispatchResult, i16) button::Deselect(struct tag_message& msg)
BASE/BUTTON	0xd3f20	0x91	exact	0x004ddda0	void button::Draw(void)
BASE/Blur	0xcba60	0xa22	exact	0x004d28e0	void DoBlur(
BASE/Bzip	0xc6ea0	0xf	exact	0x004d4050	void initialiseCRC(void)
BASE/Bzip	0xc6eb0	0xc	exact	0x004d4070	u32 getFinalCRC(void)
BASE/Bzip	0xc6ec0	0xa	exact	0x004d4090	u32 getGlobalCRC(void)
BASE/Bzip	0xc6ed0	0x13	exact	0x004d40b0	void setGlobalCRC(u32 newCrc)
BASE/Bzip	0xc6ef0	0x57	exact	0x004d40d0	BitStream* bsOpenReadStream(FILE* f)
BASE/Bzip	0xc6f50	0x57	exact	0x004d4140	BitStream* bsOpenWriteStream(FILE* f)
BASE/Bzip	0xc6fb0	0x8a	exact	0x004d41b0	void bsPutBit(BitStream* bs, i32 bit)
BASE/Bzip	0xc7040	0x81	exact	0x004d4240	i32 bsGetBit(BitStream* bs)
BASE/Bzip	0xc70d0	0x45	exact	0x004d42e0	u8 bsGetUChar(BitStream* bs)
BASE/Bzip	0xc7120	0x43	exact	0x004d4330	void bsPutUChar(BitStream* bs, u8 c)
BASE/Bzip	0xc7170	0xde	exact	0x004d4380	void bsClose(BitStream* bs)
BASE/Bzip	0xc7250	0x20	exact	0x004d4470	u32 minUInt32(u32 a, u32 b)
BASE/Bzip	0xc7270	0x43	exact	0x004d44b0	void arithCodeBitPlusFollow(BitStream* bs, UInt32 bit)
BASE/Bzip	0xc72c0	0x29	exact	0x004d4500	void arithCodeStartEncoding(BitStream* bs)
BASE/Bzip	0xc72f0	0x40	exact	0x004d4540	void arithCodeDoneEncoding(BitStream* bs)
BASE/Bzip	0xc7330	0x5c	exact	0x004d4590	void arithCodeStartDecoding(BitStream* bs)
BASE/Bzip	0xc7390	0xb	exact	0x004d4600	void arithCodeDoneDecoding(BitStream* bs)
BASE/Bzip	0xc73a0	0xa5	exact	0x004d4620	void arithCodeRenormalise_Encode(BitStream* bs)
BASE/Bzip	0xc7450	0xcb	exact	0x004d46c0	void arithCodeSymbol(BitStream* bs, Model* m, Int32 symbol)
BASE/Bzip	0xc7520	0xf8	exact	0x004d47a0	Int32 arithDecodeSymbol(BitStream* bs, Model* m)
BASE/Bzip	0xc7620	0xc8	exact	0x004d48a0	void initModel(
BASE/Bzip	0xc76f0	0x34	exact	0x004d4980	void dumpModelStats(Model* m)
BASE/Bzip	0xc7730	0xaf	exact	0x004d49c0	void updateModel(Model* m, Int32 symbol)
BASE/Bzip	0xc77e0	0x2c	exact	0x004d4a60	void putSymbol(Model* m, Int32 symbol, BitStream* bs)
BASE/Bzip	0xc7810	0x2c	exact	0x004d4aa0	Int32 getSymbol(Model* m, BitStream* bs)
BASE/Bzip	0xc7840	0x20	exact	0x004d4ae0	void initBogusModel(void)
BASE/Bzip	0xc7860	0x2a	exact	0x004d4b10	void putUChar(BitStream* bs, UChar c)
BASE/Bzip	0xc7890	0x5d	exact	0x004d4b40	void putInt32(BitStream* bs, Int32 i)
BASE/Bzip	0xc78f0	0x5d	exact	0x004d4bb0	void putUInt32(BitStream* bs, UInt32 i)
BASE/Bzip	0xc7950	0x1b	exact	0x004d4c20	UChar getUChar(BitStream* bs)
BASE/Bzip	0xc7970	0x74	exact	0x004d4c50	Int32 getInt32(BitStream* bs)
BASE/Bzip	0xc79f0	0x74	exact	0x004d4cc0	UInt32 getUInt32(BitStream* bs)
BASE/Bzip	0xc7a70	0xc8	exact	0x004d4d30	void initModels(void)
BASE/Bzip	0xc7b40	0x5f	exact	0x004d4e10	void dumpAllModelStats(void)
BASE/Bzip	0xc7ba0	0xfe	exact	0x004d4e90	Int32 getMTFVal(BitStream* bs)
BASE/Bzip	0xc7cd0	0x220	exact	0x004d4ff0	void sendMTFVal(BitStream* bs, Int32 n)
BASE/Bzip	0xc7ef0	0x81	exact	0x004d5270	void FreeCompressStructures(void)
BASE/Bzip	0xc7f80	0xab	exact	0x004d5310	void allocateCompressStructures(void)
BASE/Bzip	0xc8030	0x81	exact	0x004d53e0	void FreeDecompressStructures(void)
BASE/Bzip	0xc80c0	0xc3	exact	0x004d5480	void setDecompressStructureSizes(Int32 newSize100k)
BASE/Bzip	0xc8190	0x17	exact	0x004d5570	UInt32 GETALL(Int32 a)
BASE/Bzip	0xc81b0	0x37	exact	0x004d55a0	void SETREST16(Int32 a, UInt32 w)
BASE/Bzip	0xc81f0	0x35	exact	0x004d55f0	void SETFIRST16(Int32 a, UInt32 w)
BASE/Bzip	0xc8230	0x37	exact	0x004d5630	void SETREST(Int32 a, UInt32 w)
BASE/Bzip	0xc8270	0x3a	exact	0x004d5680	void SETFIRST(Int32 a, UChar c)
BASE/Bzip	0xc82b0	0x3a	exact	0x004d56c0	void SETSECOND(Int32 a, UChar c)
BASE/Bzip	0xc82f0	0x37	exact	0x004d5700	void SETTHIRD(Int32 a, UChar c)
BASE/Bzip	0xc8330	0x34	exact	0x004d5740	void SETFOURTH(Int32 a, UChar c)
BASE/Bzip	0xc8370	0x49	exact	0x004d5780	Int32 NORMALISE(Int32 p)
BASE/Bzip	0xc83c0	0x2f	exact	0x004d57d0	Int32 NORMALISEHI(Int32 p)
BASE/Bzip	0xc83f0	0x2a	exact	0x004d5810	Int32 NORMALISELO(Int32 p)
BASE/Bzip	0xc8420	0x2b	exact	0x004d5850	Int32 STRONG_NORMALISE(Int32 p)
BASE/Bzip	0xc8450	0xa7	exact	0x004d5890	void sendZeroes(BitStream* outStream, Int32 zeroesPending)
BASE/Bzip	0xc8500	0x1c0	exact	0x004d5930	void moveToFrontCodeAndSend(BitStream* outStream, Bool thisIsTheLastBlock)
BASE/Bzip	0xc86c0	0x331	exact	0x004d5ac0	Bool getAndMoveToFrontDecode(BitStream* inStream)
BASE/Bzip	0xc8a00	0x81	exact	0x004d5da0	void stripe(void)
BASE/Bzip	0xc8a90	0x42	exact	0x004d5e30	void copyOffsetWords(void)
BASE/Bzip	0xc8ae0	0x13f	exact	0x004d5e80	Bool fullGt(Int32 i1, Int32 i2)
BASE/Bzip	0xc8c20	0x53c	exact	0x004d6000	void qsortFull(Int32 left, Int32 right)
BASE/Bzip	0xc9160	0xb9	exact	0x004d6550	Bool trivialGt(Int32 i1, Int32 i2)
BASE/Bzip	0xc9220	0xf4	exact	0x004d6610	void shellTrivial(void)
BASE/Bzip	0xc9320	0x40e	exact	0x004d6720	void sortIt(void)
BASE/Bzip	0xc9750	0x87	exact	0x004d6b60	void doReversibleTransformation(void)
BASE/Bzip	0xc97e0	0x1b2	exact	0x004d6c10	void undoReversibleTransformation(void)
BASE/Bzip	0xc99a0	0x14f	exact	0x004d6d70	void spotBlock(Bool weAreCompressing)
BASE/Bzip	0xc9b20	0x134	exact	0x004d6f40	Int32 getRLEpair(FILE* src)
BASE/Bzip	0xc9c60	0x20c	exact	0x004d70a0	Bool loadAndRLEsource(FILE* src)
BASE/Bzip	0xc9e70	0x176	exact	0x004d7290	void unRLEandDump(FILE* dst, Bool thisIsTheLastBlock)
BASE/Bzip	0xc9ff0	0x257	exact	0x004d7420	void compressStream(FILE* stream, FILE* zStream)
BASE/Bzip	0xca250	0x233	exact	0x004d7710	Bool uncompressStream(FILE* zStream, FILE* stream)
BASE/Bzip	0xca490	0x5	exact	0x004d7980	void showFileNames(void) {}
BASE/Bzip	0xca4a0	0x5	exact	0x004d7990	void cleanUpAndFail(void) {}
BASE/Bzip	0xca4b0	0xb	exact	0x004d79a0	void panic(char* s) {}
BASE/Bzip	0xca4c0	0x45	exact	0x004d79c0	void crcError(UInt32 crcStored, UInt32 crcComputed)
BASE/Bzip	0xca510	0x40	exact	0x004d7a10	void compressedStreamEOF(void)
BASE/Bzip	0xca550	0x40	exact	0x004d7a60	void ioError(void)
BASE/Bzip	0xca590	0x31	exact	0x004d7ab0	void blockOverrun(void)
BASE/Bzip	0xca5d0	0x31	exact	0x004d7af0	void unblockError(void)
BASE/Bzip	0xca610	0x31	exact	0x004d7b30	void bitStreamEOF(void)
BASE/Bzip	0xca650	0x2c	exact	0x004d7b70	void __cdecl mySignalCatcher(IntNative* n)
BASE/Bzip	0xca680	0x65	exact	0x004d7bb0	void mySIGSEGVorSIGBUScatcher(IntNative* n)
BASE/Bzip	0xca6f0	0x45	exact	0x004d7c30	void uncompressOutOfMemory(Int32 draw, Int32 blockSize)
BASE/Bzip	0xca740	0x45	exact	0x004d7c80	void compressOutOfMemory(Int32 draw, Int32 blockSize)
BASE/Bzip	0xca790	0x66	exact	0x004d7cd0	Bool endsInBz(Char* name)
BASE/Bzip	0xca800	0xa4	exact	0x004d7d60	void compress(Char* name)
BASE/Bzip	0xca8b0	0xc2	exact	0x004d7e50	void uncompress(Char* name)
BASE/Bzip	0xca980	0x259	exact	0x004d7f60	i32l EncodeData(char* dst, char* src, u32l srcLen)
BASE/Bzip	0xcabe0	0x266	exact	0x004d8240	i32l DecodeData(char* dst, char* src, u32l srcLen)
BASE/DIMMER	0xd32f0	0x12	exact	0x004dd330	dimmerWidget::dimmerWidget(void) : widget(0, 0, 0, 0, 0, WIDGET_KIND_NONE) {}
BASE/DIMMER	0xd3340	0x3f	exact	0x004dd350	dimmerWidget::dimmerWidget(
BASE/DIMMER	0xd3380	0x77	exact	0x004dd390	void dimmerWidget::Read(void)
BASE/DIMMER	0xd3400	0x19	exact	0x004dd3f0	MessageDispatchResult dimmerWidget::Main(struct tag_message& msg)
BASE/DIMMER	0xd3420	0x13	exact	0x004dd400	void dimmerWidget::Draw(void)
BASE/EXEC	0xc4f20	0x35	exact	0x004d1610	executive::executive(void)
BASE/EXEC	0xc4f60	0xb0	exact	0x004d1620	i32 executive::InitSystem(void)
BASE/EXEC	0xc5010	0xb8	exact	0x004d16c0	void executive::ShutDownSystem(void)
BASE/EXEC	0xc50d0	0x170	exact	0x004d1750	i32 executive::DoDialog(class baseManager* manager)
BASE/EXEC	0xc5240	0xac	exact	0x004d1850	void executive::PrintManagerList(void)
BASE/EXEC	0xc52f0	0x13c	exact	0x004d18e0	i32 executive::AddManager(class baseManager* mgr, i32 priority)
BASE/EXEC	0xc5430	0xc3	exact	0x004d19b0	void executive::RemoveManager(class baseManager* mgr)
BASE/EXEC	0xc5500	0x7c	exact	0x004d1a30	void executive::CallManager(class baseManager* mgr)
BASE/EXEC	0xc5580	0x179	exact	0x004d1a90	void executive::MainLoop(void)
BASE/EXEC	0xc5700	0x15	exact	0x004d1b90	void executive::Terminate(void)
BASE/FONT	0xc3620	0xe5	exact	0x004c6fd0	font::font(u32l id) : resource(RESOURCE_CATEGORY_FONT, id, RESOURCE_REFERENCE_INITIAL, NULL)
BASE/FONT	0xc3740	0x5b	exact	0x004c70e0	font::~font()
BASE/FONT	0xc3800	0x222	exact	0x004c7120	void font::DrawStringExecute(
BASE/FONT	0xc3a30	0x3d	exact	0x004c7370	void font::DrawString(char* s, i32 x, i32 y, FontDrawMode mode)
BASE/FONT	0xc3a70	0xa8	exact	0x004c73c0	i32 font::GetCharacterWidth(u8 c)
BASE/FONT	0xc4b70	0x1f8	exact	0x004c7470	void font::DrawBoundedString(
BASE/FONT	0xc4d70	0xc7	exact	0x004c7790	i32 font::LineLength(char* str, i32 maxW)
BASE/FONT	0xc4e40	0x8b	exact	0x004c7950	i32 font::LineWidth(char* str)
BASE/ICON	0xc26f0	0xb7	exact	0x004c7a20	icon::icon(u32l id) : resource(RESOURCE_CATEGORY_ICON, id, RESOURCE_REFERENCE_INITIAL, NULL)
BASE/ICON	0xc27e0	0x33	exact	0x004c7ad0	inline icon::~icon()
BASE/ICON	0xc2820	0x72	exact	0x004c7b00	void icon::DrawToBuffer(
BASE/ICON	0xc28a0	0x3fc	exact	0x004c7b50	IconDrawResult icon::CombatClipDrawToBuffer(
BASE/ICON	0xc2ca0	0x40	exact	0x004c7e10	void icon::ClipFillToBuffer(
BASE/ICON	0xc2ce0	0x13d	exact	0x004c7e50	void icon::FillToBuffer(
BASE/ICON	0xc2e20	0x66	exact	0x004c7f60	void icon::DimToBuffer(
BASE/ICONWDGT	0xbb670	0x58	exact	0x004d0a60	iconWidget::iconWidget(void) : widget(0, 0, 0, 0, 0, WIDGET_KIND_NONE)
BASE/ICONWDGT	0xbb700	0xb4	exact	0x004d0ad0	iconWidget::iconWidget(
BASE/ICONWDGT	0xbb7c0	0xc5	exact	0x004d0b40	iconWidget::iconWidget(
BASE/ICONWDGT	0xbb890	0x113	exact	0x004d0bc0	void iconWidget::Read(void)
BASE/ICONWDGT	0xbb9b0	0x5b	exact	0x004d0ca0	inline iconWidget::~iconWidget()
BASE/ICONWDGT	0xbba10	0x308	exact	0x004d0cd0	MessageDispatchResult iconWidget::Main(tag_message& msg)
BASE/ICONWDGT	0xbbd70	0x175	exact	0x004d0f70	void iconWidget::Draw(void)
BASE/INPUTMGR	0xbbf40	0x3ec	exact	0x004cdb50	i32 KeyboardMessageHandler(void*, u32 message, u32, i32l messageData)
BASE/INPUTMGR	0xbc390	0x367	exact	0x004cde60	i32 MouseMessageHandler(void*, u32 message, u32, i32l messageData)
BASE/INPUTMGR	0xbc720	0x9e	exact	0x004ce1d0	inputManager::inputManager(void) : baseManager()
BASE/INPUTMGR	0xbc7c0	0x92	exact	0x004ce230	i32 inputManager::Open(i32 priority)
BASE/INPUTMGR	0xbc860	0x47	exact	0x004ce2b0	void inputManager::Close(void)
BASE/INPUTMGR	0xbc8b0	0xf	exact	0x004ce2d0	MessageDispatchResult inputManager::Main(struct tag_message&)
BASE/INPUTMGR	0xbc8c0	0x25	exact	0x004ce2e0	void inputManager::Flush(void)
BASE/INPUTMGR	0xbc8f0	0xd2	exact	0x004ce2f0	tag_message inputManager::GetEvent(void)
BASE/INPUTMGR	0xbc9d0	0xbd	exact	0x004ce3a0	tag_message inputManager::PeekEvent(void)
BASE/INPUTMGR	0xbca90	0xd	exact	0x004ce450	void inputManager::SetMouseCoords(i32, i32) {}
BASE/INPUTMGR	0xbcaa0	0x21	exact	0x004ce460	void inputManager::SetKeyCodeType(
BASE/INPUTMGR	0xbcad0	0x33	exact		static void TranslatePolishInputCharacter(tag_message& event)
BASE/INPUTMGR	0xbcb10	0x1f3	exact	0x004ce480	void inputManager::AsciiConvert(tag_message& event)
BASE/INPUTMGR	0xbcd90	0x46a	exact	0x004ce650	void inputManager::MakeScanCodeTable(void)
BASE/INPUTMGR	0xbd200	0xfe	exact	0x004ce990	void CheckChangeCursor(i32 x, i32 y, i32 force)
BASE/INPUTMGR	0xbd300	0x151	exact	0x004cea80	void inputManager::ForceMouseMove(void)
BASE/Icon2b	0xc14c0	0x750	exact	0x004d0570	void IconToBitmap(
BASE/Icond2b	0xc6af0	0x357	exact	0x004cfd50	void DimIconToBitmap(
BASE/Icondf2b	0xd64b0	0x3c3	exact	0x004daa20	void FlipDimIconToBitmap(
BASE/Iconf2b	0xc1c60	0x8a2	exact	0x004d1ba0	void FlipIconToBitmap(
BASE/Iconm2b	0xc67b0	0x2e8	exact	0x004cfae0	void MonoIconToBitmap(
BASE/Iconmf2b	0xd6130	0x32f	exact	0x004da800	void FlipMonoIconToBitmap(
BASE/MOUSEMGR	0xb9050	0x12e	exact	0x004c9270	mouseManager::mouseManager(void) : baseManager()
BASE/MOUSEMGR	0xb9180	0x116	exact	0x004c9350	i32 mouseManager::Open(i32 priority)
BASE/MOUSEMGR	0xb92a0	0x17f	exact	0x004c93f0	void mouseManager::Close(void)
BASE/MOUSEMGR	0xb9420	0xf	exact	0x004c94e0	MessageDispatchResult mouseManager::Main(struct tag_message&)
BASE/MOUSEMGR	0xb9430	0x1a2	exact	0x004c94f0	void mouseManager::SetPointer(char* name, i32 frame, MouseCursorType cursorType)
BASE/MOUSEMGR	0xb95e0	0x560	exact	0x004c9630	void mouseManager::SetPointer(i32 frame)
BASE/MOUSEMGR	0xb9b40	0x5b8	exact	0x004c9a40	void mouseManager::NewUpdate(i32 force)
BASE/MOUSEMGR	0xba100	0x57	exact	0x004c9ec0	void mouseManager::MouseCoords(i32& x, i32& y)
BASE/MOUSEMGR	0xba160	0x105	exact	0x004c9f20	void mouseManager::SaveAndDraw(void)
BASE/MOUSEMGR	0xba270	0x40	exact	0x004c9fd0	void mouseManager::RestoreUnderlying(void)
BASE/MOUSEMGR	0xba2b0	0x26	exact	0x004ca000	void mouseManager::ReallyHidePointer(void)
BASE/MOUSEMGR	0xba2e0	0x26	exact	0x004ca030	void mouseManager::ReallyShowPointer(void)
BASE/MOUSEMGR	0xba310	0x36	exact	0x004ca0f0	void mouseManager::HideColorPointer(void)
BASE/MOUSEMGR	0xba350	0x66	exact	0x004ca110	void mouseManager::ShowColorPointer(void)
BASE/MOUSEMGR	0xba3c0	0x1c	exact	0x004ca1b0	i32 mouseManager::IsVis(void)
BASE/MOUSEMGR	0xba3e0	0x73	exact	0x004ca1c0	void mouseManager::CheckUpdateMousePos(void)
BASE/MOUSEMGR	0xba460	0x106	exact	0x004ca230	void mouseManager::SetColorMice(i32 enabled)
BASE/Midi	0xc57d0	0x51	exact	0x004d3850	void soundManager::MIDIStartup(void)
BASE/Midi	0xc5830	0xf0	exact	0x004d3910	void soundManager::MIDIShutdown(void)
BASE/Midi	0xc5920	0x17b	exact	0x004d3ac0	void soundManager::MIDIPlay(i32 midiTrack)
BASE/Midi	0xc5aa0	0xe7	exact	0x004d3e70	inline void soundManager::MIDIStop(void)
BASE/Midi	0xc5b90	0x56	exact	0x004d3f80	inline i32 soundManager::MIDIIsPlaying(void)
BASE/Midi	0xc5bf0	0x8f	exact	0x004d3fd0	inline void soundManager::MIDISetVolume(void)
BASE/MilesSound	0xcdb30	0x57	exact		void StartupMilesSamples(struct _DIG_DRIVER* driver)
BASE/MilesSound	0xcdb90	0x67	exact		void StopMilesSampleHandle(struct _SAMPLE* sampleHandle)
BASE/MilesSound	0xcdc00	0x5b	exact		void AllocateMilesSampleHandles(struct _DIG_DRIVER* driver)
BASE/MilesSound	0xcdc60	0x8c	exact		void SetMilesSampleHandleVolume(struct _SAMPLE* sampleHandle, i32 volume)
BASE/MilesSound	0xcdcf0	0x79	exact		void StopAllMilesSamples(void)
BASE/MilesSound	0xcdd70	0x1c	exact		void StopMilesSample(class sample* sampleResource)
BASE/MilesSound	0xcdd90	0x24	exact		void SetMilesSampleVolume(class sample* sampleResource, i32 volume)
BASE/MilesSound	0xcddc0	0x2c	exact		bool MilesSamplePlaying(class sample* sampleResource)
BASE/MilesSound	0xcddf0	0x1cb	exact		void PlayMilesSample(class sample* sampleResource)
BASE/MilesSound	0xcdfc0	0xb	exact		void ServiceMilesSamples(void)
BASE/MilesSound	0xcdfd0	0x6d	exact		void AdjustMilesSampleVolumes(void)
BASE/Misc	0xbd4b0	0x75	exact	0x004c3d10	void InitMemEntry(void)
BASE/Misc	0xbd530	0x113	exact	0x004c3d70	void* BaseAlloc(u32 size, char* originalFile, i32 originalLine)
BASE/Misc	0xbd650	0x154	exact	0x004c3f80	void BaseFree(void* ptr, char* originalFile, i32 originalLine)
BASE/Misc	0xbd7b0	0xe7	exact	0x004c4310	void PrintMemoryLeaks(void)
BASE/Misc	0xbd8a0	0x35	exact	0x004c4450	void ShowMemoryStatus(void)
BASE/Misc	0xbd8e0	0x10a	exact	0x004c44f0	u32l MAKEFILEID(char* text)
BASE/Misc	0xbd9f0	0xe7	exact	0x004c4540	i32 FindIndex(struct indexArray* entries, i32 low, i32 high, i32 key)
BASE/Misc	0xbdae0	0x1af	exact	0x004c45e0	void FadeIn(i32 increment)
BASE/Misc	0xbdc90	0x1b2	exact	0x004c46d0	void FadeOut(i32 increment)
BASE/Misc	0xbde50	0x40	exact	0x004c47c0	i32 Random(i32 low, i32 high)
BASE/Misc	0xbde90	0x74	exact	0x004c47f0	void ProcessAssert(i32 condition, char* file, i32 line)
BASE/Misc	0xbdf10	0x75	exact	0x004c4850	char* FindStringInString(char* text, char* pattern)
BASE/Misc	0xbdf90	0x56	exact	0x004c48c0	char* FindToken(char* text, char token)
BASE/Misc	0xbdff0	0x56	exact	0x004c4900	char* FindLastToken(char* text, char token)
BASE/Misc	0xbe050	0x47	exact	0x004c4930	void SetInstallDefaults(void)
BASE/Misc	0xbe0a0	0x29d	exact	0x004c49a0	void SetGameDefaults(void)
BASE/Misc	0xbe340	0xcb	exact	0x004c4b60	void ReadPrefsFromFile(void)
BASE/Misc	0xbe410	0x89f	exact	0x004c4ca0	void ReadPrefsFromRegistry(void)
BASE/Misc	0xbecb0	0xa8	exact	0x004c5450	void ReadPrefs(void)
BASE/Misc	0xbed60	0x63	exact	0x004c5500	void WritePrefsToFile(void)
BASE/Misc	0xbedd0	0x4cb	exact	0x004c5570	void WritePrefsToRegistry(void)
BASE/Misc	0xbf2a0	0xf	exact	0x004c5a10	void WritePrefs(void)
BASE/Misc	0xbf2b0	0x3f	exact	0x004c5a20	i32 IsCDDrive(i32 driveIndex)
BASE/Misc	0xbf2f0	0x7b	exact		bool DriveSupportsFreeSpaceQuery(char driveLetter)
BASE/Misc	0xbf370	0x35f	exact	0x004c5a60	H2_ENUM_RETURN(CDRomSetupResult, i32) SetupCDDrive(void)
BASE/Misc	0xbf6d0	0x2b	exact	0x004c5e50	void BitmapToScreen(class bitmap* bmp)
BASE/Misc	0xbf700	0x5b	exact	0x004c5e70	void SetPalette(i8* paletteData, i32 updateDisplay)
BASE/Misc	0xbf760	0x36	exact	0x004c5eb0	void BlitBitmapToScreenNoMouseCheck(
BASE/Misc	0xbf7a0	0x1e4	exact	0x004c5ee0	void BlitBitmapToScreen(
BASE/Misc	0xbf990	0x91	exact	0x004c6070	void LogTruncate(void)
BASE/Misc	0xbfa30	0x9a	exact	0x004c6120	void LogStr(char* text)
BASE/Misc	0xbfad0	0x1b6	exact	0x004c61c0	void LogInt(
BASE/Misc	0xbfc90	0x76	exact	0x004c63f0	void AiPrint(char* text)
BASE/Misc	0xbfd10	0x30	exact	0x004c6460	void AbsAiPrint(char* text)
BASE/Misc	0xbfd40	0x19c	exact	0x004c64e0	void FadeTo(u8* source, u8* destination, i32 increment)
BASE/Misc	0xbfee0	0x163	exact	0x004c65e0	void FadeToColorTable(u8* colorTable, i32 increment)
