case	unit	flags	changed_surface	base_file_sha256	variant_file_sha256	function	base_source_sha	variant_source_sha	base_size	variant_size	base_text_sha16	variant_text_sha16	base_relocs	variant_relocs	effect
accessor_body_icon	BASE/icon2bc	O2	unused member declaration -> in-class body	0dde32d0bc082976e3eb9d4c14931778780ca5aca99b3960e2d5841956f07e79	56048ba3a400edfc2d8719c09409523f5cbe3fc8a8158f366d41103579131b61	IconToBitmapColorTable	8f342a9ecf6d	8f342a9ecf6d	1302	1302	f8240eebb0bbd80c	764593ccac915690	88	88	body presence changes bytes
include_swap_icon	BASE/icon2bc	O2	swap adjacent Misc/dimPalette includes	a4ef252950c4c83c22c7b69a8a423cbaa02317a0e0b5157294609485a791ba90	b14ff6b4fd8e253648b65848e1effab9f4bad8fdd43b2f7c3b1d10993f184345	IconToBitmapColorTable	8f342a9ecf6d	8f342a9ecf6d	1368	1368	7857fbb3cf9e1100	7857fbb3cf9e1100	89	89	raw neutral in this state
direct_owner_icon	BASE/icon2bc	O2	unused broad Misc include -> direct IconEntry include	a4ef252950c4c83c22c7b69a8a423cbaa02317a0e0b5157294609485a791ba90	8b0ab675a61fb111c1578adb38db5c1d78b7bc1a34f496823ff3480a5e68637b	IconToBitmapColorTable	8f342a9ecf6d	8f342a9ecf6d	1368	1368	7857fbb3cf9e1100	2ccf31457e5fe328	89	89	transitive header surface changes function
empty_guard_widget	BASE/WIDGET	O2	add same empty guarded header include	8b7186adb5f487559348f915d2db48c2db2819d53b7eb748c2a881236a511c77	3e41b0731671b9f5c1cd50523107c43a5eb18a49a87798f8b4b394d16e9c96c8	widget::Main	4268fa7f7b57	4268fa7f7b57	752	752	3289fd9444fd4a35	3289fd9444fd4a35	17	17	raw neutral unlike icon2bc
enum_widget	BASE/WIDGET	O2	empty probe -> unused 3-value typedef enum	8099cdc3b7a111ebcf6768c1da1ef69382cc4b966c1bdfb11de792f749765272	1f719bb5867a6ac22ec5426118ef526d92d6815edc3dcc91dcd7cb064c4ece0f	widget::Main	4268fa7f7b57	4268fa7f7b57	752	756	3289fd9444fd4a35	2a2cd3b10f9b102d	17	17	Main only; exact siblings unchanged
enum_add_value_widget	BASE/WIDGET	O2	add one unused negative enumerator	1f719bb5867a6ac22ec5426118ef526d92d6815edc3dcc91dcd7cb064c4ece0f	af078b787cbb3d9d3fccc81204ea0bfd9f3d2896447f32243dc74f6d137a57f2	widget::Main	4268fa7f7b57	4268fa7f7b57	756	756	2a2cd3b10f9b102d	d582a45ef7d294a4	17	17	unused value changes same-size Main
enum_constant_use_widget	BASE/WIDGET	O2	-1 -> equal PROBE_NEGATIVE with declaration fixed	3e41b0731671b9f5c1cd50523107c43a5eb18a49a87798f8b4b394d16e9c96c8	b1ec5ba49c84d346c35a6a2f5eddc08ce63dfa9facc939c587bb38c55296d6f9	widget six-arg ctor	3aeef951453e	0afaf6394e2d	90	90	08bd821e6d23b248	08bd821e6d23b248	1	1	active equal constant is locally raw neutral
exact_predecessor_widget	BASE/WIDGET	O2	six parameter aliases in preceding exact ctor	8b7186adb5f487559348f915d2db48c2db2819d53b7eb748c2a881236a511c77	225dbc3086a00be98ec2a1ee06bf0faa19c0ca1eb7d0c60a7d04829b8a1a5ec3	widget six-arg ctor	3aeef951453e	2a98fbe10b4b	90	90	08bd821e6d23b248	08bd821e6d23b248	1	1	predecessor remains raw exact
exact_predecessor_downstream	BASE/WIDGET	O2	same six parameter aliases; observe later function	8b7186adb5f487559348f915d2db48c2db2819d53b7eb748c2a881236a511c77	225dbc3086a00be98ec2a1ee06bf0faa19c0ca1eb7d0c60a7d04829b8a1a5ec3	widget::Main	4268fa7f7b57	4268fa7f7b57	752	756	3289fd9444fd4a35	d582a45ef7d294a4	17	17	downstream changed; own source unchanged
signed_promotion_widget	BASE/WIDGET	O2	m_flags short -> unsigned short same width/offset	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	e8b3c163fa51c2c01fecc4ea7570008db57033a3ee69fad210f3ad4b4ae9d2e3	widget::Main	4268fa7f7b57	4268fa7f7b57	752	756	3289fd9444fd4a35	1330daa5b9d408d0	17	17	promotion effect; layout unchanged
enum_storage_widget	BASE/WIDGET	O2	packed m_kind short -> WidgetKind plus explicit cast	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	50371dbfbaf9055f2be1c4d07cadcd263060029915e30f51ecdd93e1606078f3	widget::Dim	211e0b051b88	211e0b051b88	72	71	2b2a8a353860bc91	d2224e41d20920e2	2	2	ABI/layout change; enum is 4 bytes
empty_guard_font	BASE/FONT	Od_Oi	add same empty guarded header include	eb2a261f8ca61fb951361779298892e996fa09f640d7f044969e47ab8e9d4d64	d6b212b783c673ed67e790c7dca00ecf708f838608a793b40abd80592876aafd	font::GetCharacterWidth	b27a06bb4b2f	b27a06bb4b2f	175	175	8d61d4c42768ccbe	8d61d4c42768ccbe	0	0	raw neutral
enum_font_getwidth	BASE/FONT	Od_Oi	empty probe -> unused 3-value typedef enum	8099cdc3b7a111ebcf6768c1da1ef69382cc4b966c1bdfb11de792f749765272	1f719bb5867a6ac22ec5426118ef526d92d6815edc3dcc91dcd7cb064c4ece0f	font::GetCharacterWidth	b27a06bb4b2f	b27a06bb4b2f	175	175	8d61d4c42768ccbe	d87e35881b5e7211	0	0	22 raw bytes differ
enum_font_bounded	BASE/FONT	Od_Oi	same unused enum	8099cdc3b7a111ebcf6768c1da1ef69382cc4b966c1bdfb11de792f749765272	1f719bb5867a6ac22ec5426118ef526d92d6815edc3dcc91dcd7cb064c4ece0f	font::DrawBoundedString	e0d21d3d84cc	e0d21d3d84cc	787	787	c320616cb77b5077	58e202d8ef1fde2a	5	5	11 raw bytes differ
enum_font_linelen	BASE/FONT	Od_Oi	same unused enum	8099cdc3b7a111ebcf6768c1da1ef69382cc4b966c1bdfb11de792f749765272	1f719bb5867a6ac22ec5426118ef526d92d6815edc3dcc91dcd7cb064c4ece0f	font::LineLength	899d56b8089e	899d56b8089e	435	435	e3771680f12cdad5	00a1a7ac1cfa8996	3	3	3 raw bytes differ
enum_font_linewidth	BASE/FONT	Od_Oi	same unused enum	8099cdc3b7a111ebcf6768c1da1ef69382cc4b966c1bdfb11de792f749765272	1f719bb5867a6ac22ec5426118ef526d92d6815edc3dcc91dcd7cb064c4ece0f	font::LineWidth	af9d30875267	af9d30875267	196	196	c73fa220c50d7ea4	b4b2e000070899ee	1	1	2 raw bytes differ
local_hash_font	BASE/FONT	Od_Oi	used local pos bucket14 -> p bucket0	d6b212b783c673ed67e790c7dca00ecf708f838608a793b40abd80592876aafd	2c64b68436fd5cb166b6c62de500af02169c96c1c1aa14f16a27685732c155aa	font::DrawStringExecute	bb27b6a3fdcd	8d85335f6329	586	586	2fd8b12d347c5fd0	48e5b25d38d521eb	13	13	28 raw bytes; current function only
parameter_name_font	BASE/FONT	Od_Oi	parameter s -> text plus uses	d6b212b783c673ed67e790c7dca00ecf708f838608a793b40abd80592876aafd	b48e8c0ffb126b4b0333bbe606d2af3a62e3a18bc7948a02dd94adf5bc85cbb	font::DrawString	9c9349c5622f	9c9349c5622f	72	72	602fcfe56c7276b0	602fcfe56c7276b0	1	1	normalized hash and bytes neutral
accessor_decl_font	BASE/FONT	Od_Oi	empty probe -> unused class/member declaration	8099cdc3b7a111ebcf6768c1da1ef69382cc4b966c1bdfb11de792f749765272	e71b745e4a1d4fef521461e83ad5c780c72aa5195b684a0f83609bc0f735e05a	font::DrawStringExecute	bb27b6a3fdcd	bb27b6a3fdcd	586	586	2fd8b12d347c5fd0	fd8e5cef5bf85a2a	13	13	4 raw bytes; declaration only
accessor_body_font	BASE/FONT	Od_Oi	unused declaration -> in-class body	e71b745e4a1d4fef521461e83ad5c780c72aa5195b684a0f83609bc0f735e05a	3c974950226588c406b672ac2854a18756dcfd588bbdfd9a045bf628f7a17574	font::DrawBoundedString	e0d21d3d84cc	e0d21d3d84cc	787	787	c8ea4726c53f4ea5	c1e8b1da473ac5a1	5	5	4 raw bytes; body presence only
macro_direct_bitmap	BASE/BITMAP	O2	H2_ALLOC explicit args -> direct BaseAlloc same args	b1d432d208b6577360c1546f46aa358a0d05746bc52d6e5d05e7a6cc2d54ef62	42042d82a6f8d40b31a5de055b8b611595572d29994eb3b7f8dd27838a6ff61b	bitmap(short,short,short)	b39db1089cec	57a017bee53a	83	83	75f4e5aadb31128f	75f4e5aadb31128f	4	4	transparent macro; whole TU raw-identical
macro_file_bitmap	BASE/BITMAP	O2	explicit original file/line -> __FILE__/__LINE__	b1d432d208b6577360c1546f46aa358a0d05746bc52d6e5d05e7a6cc2d54ef62	a91eb17f0babdfd06a7d9c43b7a2e5ffafdc7da6ac48827b8f57868004bc6441	bitmap(short,short,short)	b39db1089cec	d5835a309b19	83	83	75f4e5aadb31128f	75f4e5aadb31128f	4	4	code same; filename relocation target differs
macro_file_downstream	BASE/BITMAP	O2	same __FILE__/__LINE__ change; observe later function	b1d432d208b6577360c1546f46aa358a0d05746bc52d6e5d05e7a6cc2d54ef62	a91eb17f0babdfd06a7d9c43b7a2e5ffafdc7da6ac48827b8f57868004bc6441	bitmap::CopyToCareful	e4f5184f80e8	e4f5184f80e8	101	101	13c626680335fbeb	883a57d4dd02be09	0	0	2 downstream raw bytes differ
