path	audit_sha256	applied_sha256	review
src/BASE/Misc.cpp	0cea1d4c617a67daef0cb845c95c9fb80fe91f16b9fd9c1dc4c760272346a434	f49dea7dd3e10fdd00069757fcc4374567c3aa7fe0c45a2b80a84ab42d2cb4ee	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/RESMGR.cpp	90e3bca084190f6899a3564a1e5c1330ff2abcb7335766f1575fc0b6c1c4e682	2ddf131b2aa26901a64425b91c93b29394733ab6b72aac3455a30f4fa1c02fdd	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/TEXTWDGT.cpp	d1dbb376c504c7c5d8c7bd301326b699f083b15998b04842f1be8f9a60a8227b	cb4cb0c0c983e2bd3d769fc6790fe3ea0d29e34c3b05312c566164efbfd2a568	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/Textntry.cpp	6cf272cadffe29a7d941b2e0cb0cb888a3e26c3d395b54a5b306cc898a915161	9edc9c6447a78cd96f208ee1d056f3c5b45e855024b8e4c030f8e26c7741f0ee	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/WIDGET.cpp	05b5c3a6558559d17b1c9b2e475c0a223a7f3cc512b15534245beb603d654842	981cffb7ec2078fd1b77cc3ebcdc90856409080e8090770c9f4e78cc2bc3a40a	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/droplist.cpp	d8f839f8c70e389ac59d6ff7a61d4c9d39e31fd8dc1154af5d75a618772335ab	1a8f52439bdf0f9a692e0a8c63cb78521851d3aa995f141f8545433872bf60b3	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/icon2bc.cpp	ca93186adf5deb223cfb483727d1376c3c74df4d6c8934160b11ec3113c156db	b189f1a76dc4c321e67ba8a6dcb0e17b949a62edcb6517815a0683c200466c3a	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/iconf2bc.cpp	231940cad308a90e3f681be1411b5bb2e41c8f228d6596b514a4a29ace8693bb	53f45cc4fc37ca76865cd79833ade3486d4a9cfe3c0db7f4f68e635977e3b0c7	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/listbox.cpp	08c4e9385dd8785a2d5e4ec8272b17fe91e1264ae7f9b3ec78e2db15f4f660dc	f5e29f9ed69edb01e31862c34eeabe0740d079cc239d97eaaf22a476bf41dd0d	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/miscwin.cpp	14d866b4c87c49c46eb75011803c8cfbc14b146d711c408f930f1fc65a6bff0e	ba32ca3355caefd7385f151ec7ecac983de29702ab453e2adee6e4d03f2d431e	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/EDITOR/mapcell.cpp	11b81e769b3dec0a107ab95f9d75e7eebabc1b2ac352d8aceb155b3d4108d33f	20bb6b1272e8dff865525214d6d64777862a7f92a39188e461507c2a1263d65b	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/ADVMGR.cpp	07da270722ada59c233a8fbf9567d07e2753ba0362924e4eb125f2203b93cc7c	73acdfbc0bef8f8cc41860e6a99e47c32f87cfc02abcd64c6ac63d5dabc4f23f	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/AI.cpp	e1f8672e44f987d575de14ae592345b6cfdb07d22107cc019c6842e248bea14d	6f847b6eabd79f243c58591931d16d383a36f76f646ded4f20b91bfaa9ad3dd3	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/ARMY.cpp	5653eee7093d2efcf72493adcd5e376eed1507dd54326d707a2ff55e6e297bf6	9d8f0546d362c9ec1a734b2a692693afcb9e39592688eb4831bdb9e33f465ef6	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/ARMYGRP.cpp	a07f6e863a42914a706bbbfeeface6cbbef0954a33a8e573587c9822175adee6	bf749d316278d453e38004455a06144b1c4e203911cc6957fd25f8180ebcc977	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/CMBTMGR.cpp	c6830fbba94e6a8da5c7564e4b9775d6485a668f54b63b851ff1d03ec7a26ab7	063f380b52a6a343c67fe308302f6331db581425ecbb54c6ecd63f6d20edf4a1	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/COMMAND.cpp	0415faf2879b028df320eb313adafefad2ecf24fcafa211feb986427312f670b	05ab72cdc1c57e5e855833f4b60fbc4740c644229217152804f4129aeed59b07	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/CURSOR.cpp	9640b4070918a09eb3b6b964b4a1c3b7bb6b9da952b77f43e76586b393573251	6839c383fc1f9ae5afa5b08ff4378cfd33b9253211cad7fc2bbbf99672bef681	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/Campaign.cpp	9bace5d261c51e3cc6930bae7485969b4e001408c5f44626f824221c932242c3	7f53f37661503e77e6d8079680ca3cb6e9b17ec62bd18a77fc23cd19bd05ae47	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/Castle.cpp	9b224b9cf52512e737df8b570eee82e4d9c0f68d4cd2207987d9643d0deb88fb	f7cecb408a79ca05796238da9f903c817aaf5747238cb4cb5a60f6bb8da384f8	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/DRAWING.cpp	7937a64778bf5e55c878cb1f2c3eac6cd943b4adca8a69b60136e403aac1d23c	b86695ffd9ce4e615e2f9be188c532294c76fce28c6bfa3ac6b7db9494f3ad74	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/EVENTS.cpp	6f4b6007b9a64974ff4791c131495be3bb06d6b7c2d7b16a5512801ca40ca1a5	cf7a27a661fd077c8b459ec7b1804a152c73f173162d21bf37e6cfcec0f7430f	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/FINDPATH.cpp	97adb74b82448236772fe96fb9c82fc224fabeb4be314a35f1f78e306fe87c52	2468f2c9fe874cf896aabe30882f55e425ea8f9a0df8372673e27a6932821ace	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/FLY.cpp	119bad9ab6fdf5f1a43490feb68d0e1ce25e9acf134e39679c6cddcd28656fbf	c80c579c03b952114a36fe68d301eea114546c509c1156e7cc12effb16af7773	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/GAME.cpp	e78a08b9b2fdc8ed202f8d5485c6aec6ff07630136ce9cb5257cc649bce616fb	e5728d5460efdf2abd376c78dbdf323a51790caf8c5f31fff207b1a3b9f74aa0	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/HERO.cpp	9901faf80369650289fa0c1e8d71db53994044a0bc5e3d205dfb00fc4b066fb9	c655000037bbafc8df571a78a23499fb02ad411ed740e5ab5cc25ee57fe7951a	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/HEXCELL.cpp	af8e4915ec3fec698e22e584947eca636521f2be022e5cf6e102909127942720	47507d823aee4ea3bfb5c965ad7f00600c649eac7cb3918d4c7efe2fd0a0f84c	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/HISCORE.cpp	a93911b2e501b938d39c1c7a60b666885d3e7eb63c681d0667240a46be7f689b	790ff299505e7a2152f731dd9bf7488d41d5f220544a7e9a6336638313de6205	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/KB.cpp	bc4aa441a7a83468b067b484548f50725aa879540872c7d348bd128d1be964e4	4d8d116408849f2924166a00b0dfde91a6cf645c3798920726023c8f4cfc6264	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/Modem.cpp	0f54ae68a192f37429c53437d53c213c651574b72e8f921dde1da25c6f412d9f	b77e534caa4abb3185662228256574acc197c868a1ea4b721b8bff0e1437d4d9	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/Netbios.cpp	0a880bda101394c0299eef93e8f5c073fdd63c63f2314f40429b55d35e2a5c52	cb5013d6ffa740b76add44c24a58fd6940447a1f514730ef4173322d5dd8d9bf	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/Newgame.cpp	0a462978001a3348debdfaa6bbeb2d264aee172236817e930731839906ce6cfe	07a486ba1450cb1e5757852d1ef850630b255808998d6510a3137f229377ed54	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/Overview.cpp	451e8ec6412d9c885a9c4cc9c4cca15d9ea95a1b688d83aacd3f53c5f9fa4e14	d4ef5ecc158c957c4d6ba07d08d5d5af7ee7c308faf0e73991532003bda31f61	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/PATH.cpp	4adf75e500c06c8b8644f2c954570578b72fdd4fd1c9c2fb55de21b977e823e8	6d1c164009bd08f4316684d212dcfeacd6e56d932f85fe89fbc0bdca79f0f38f	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/PHILAI.cpp	b6fe8a3fc9270d659da0859e8651d18cb104a1626112761fefa002a0acd90ac1	2f8c9cdd92908ee160dac246b439a2f0a0215976a6dbbfd0e8a0c002130527df	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/RECRUIT.cpp	801b298faf802f09b349ffbe24f8ad67ab90598ec19fbc99c8c902866f3adae2	4f1c86b3b4d4f955face8d8889907cd23d1a3491cb6c70de60f602800692d9a2	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/REMOTE.cpp	4f0b9890b7b485716fc3a1bb200bf7f7614ae3ef75345e0867b340d22f03f30e	fef4f5f826b2033e7701bad5cb500f142265de3a373d086336703b473278eeb1	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/REQUEST.cpp	98e7c3eaf83bdcf2243c626472133899853a5dd9b53aa32b4775a0d96d5651ff	1a6c3dcd7c9f26d50e860e667b84fc99d42502e01e2218753f635d88279c6df4	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/SEARCH.cpp	377a8a734f66a97d602f4a134060e81ec90f16bfd32941403eb76ae9de1f0868	594df5055128741979b45905bdc81927717f5d7b8c64f5460670a2339381e69f	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/SETUP.cpp	7441ca86d3515fdfa5ee7c31f83f265b7c584aedd7fee313fc89c465f6b0e962	2a1226ebf4ddd7e7a9aad3a87f939d65e0f503918d68d9836b976845c58df71d	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/SMACKMGR.cpp	a1eb2af13ac68e181d71fda6de78f61da3742d2e8bec5a82bb437c26c00c88c6	020e53de67546a84da57588f406ed90515a3ee683462cad2635a2ff795d19bc5	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/SPELLAI.cpp	40c0bdeadb581158ae48cee719cec4c7c3d6e5090cf9efa371e9ba941bc7d0a5	fe2b5821c24e27e4f8f13e77273ad6b7bc94ef7590e5f59cefeb0be7d8b7355a	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/SPELLS.cpp	b339f7e92d3169ddcb1f10cffbd9b24a8ee69fc453a70c02403bb4e3dc94a85b	c064a17c042c3c75717c285889af49b3cb58f2151c2a2c63d2dd89dcaf5e7bf2	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/SWAPMGR.cpp	ec7358b6d718a55c9e553b5dddd03c6cc54043eea7cb126a2d6bb58153662473	5b08fbc5e6a2bbb57d27a88bc6620d5aa77e70279a3ef1979f3b9b1b287e6e5a	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/TOWN.cpp	02549ee9cb7ea6a2360bbb612b089138609f9ce240f1e2f498211a233e87934c	800178b638433912582f82934a6b5dc451667e65d02b3f68198dc88b0bf2eb80	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/TOWNMGR.cpp	ed4ea7444bee3fd99fdc889b9f6fe85b5ae687a31f1a3c3b0618e10df56b351e	6e8b6d426bb33e36711081dd41a7f0d0f23be57ff292bc9126734e834afffbdb	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/VIEW.cpp	0ec26d1a25706f8707c29dea7d18d697f2b6e1cb7e622a03bda688efc6a39436	a689b8566cebf439844ac9ab2d86d04a50fe32c8b74789c19f495dd9e1f6e682	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/Viewwrld.cpp	ecb65df904c39239a8742341302fee5271ae3f2b357525b54a356e9443eb5b4f	73cb2c6218131d5b65d61d4e9e19d95bf1e64482fa14473b8b3e397a640a0e8a	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/Wsnetwin.cpp	6b7c68d77cfdf3b9f95b3c22b776400868011fe8d65c6d0b1816649ceff8ea69	9d9c986f25fbbdedeeb8c04725da258db5b9922859902497940647f24297332a	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/X_CAMPGN.cpp	785cadb46cc272005050458eaf293ae3a82666051eaab30101fa672e603432e3	144d1601a4a55cb6b20ce7d973604e693bfbd2bd7821fcfacbbddccd4cff5269	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/comwin.cpp	ce48214d518eac196d6d5508d9e0f42fd401871edfe2f017e83428572adaddd1	e98f857d70763aa9f7ac173358bb00b8ef4770ddeeb56f3c0847f6f20820fa35	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/dpnetwin.cpp	2d2cf7b372bbf431f4facb3e4eb5c4ac2830322ef1ac16649dc754435ba9af10	3a347b49ce7a51bc07c2931fcf080eb4e9b2c13a2f10f988674d1352aa260aa5	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/kbwin.cpp	8e359c2475ae2ad626c8128d608cdfbc062e99a11cfa26169b0b56a633672c0d	7ed5191ba9a5db3d7138d882aace38ce940d8cbd0768b2155d92006675f828c8	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/netwin.cpp	31333e549092a2916b64da38a7d21c2402d5e67ce32b786bf56b0be33d4832d1	43697e8dab520d28ef756be6e5ac520d745a234920c0c3a74235b0476664d043	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/tradpost.cpp	b0b69f9a7db5333ace20349089c95f9d74aaa66f12df9b34bf953ad131daac01	1ccf621448851ac226f1c7c1e37549bb0ea52b7cf2296e45ecc06f6286464a80	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/wingraph.cpp	3960bf1ce30f3c7d8a6d920b3586ab667e98f2ff964689bc8df38ed9446db6f9	7d74e02ef8cbf13b9d765348a30eba55cbbe40de0f8a45846fa148a97f646474	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/SOURCE/x_arena.cpp	198b5d6ed5fecba7ee4a12087a65a3a4f3d10c0f0e4a45aebd4b4081d217cd3a	26374cda3c9bc2d49703953be885f1033bc9ab974797f15ce3ffbc6a7b34d023	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
