path	line	end	name	status	body_sha256	review
include/BASE/IconMonoRle.h	2	2	HOMM2_BASE_ICONMONORLE_H	read	1860b80b54e966447a844ce6a4a4b8c2154e031aef4a7e18de6abea07d6b86f4	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/IconRle.h	2	2	HOMM2_BASE_ICONRLE_H	read	6ca3501322382d5aba11b82c8450bf212b62079cc626fe5f355c8e2849719423	B05: complete command domains and ReadIconRleByte inline; H12
include/BASE/IconShear.h	2	2	HOMM2_BASE_ICONSHEAR_H	read	baa4e8d49c3702e4ad58be41e81cbd176366c08aa2e0c9deb54c18603cb9c78b	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/Icond2b.h	2	2	HOMM2_ICOND2B_H	read	39ac656a2bfdb9d427fb89aaa2075b8e00ded92e411ac342dd20b4e1e8d0a192	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/Icondf2b.h	2	2	HOMM2_ICONDF2B_H	read	11eb4559b65049be273de0e7aee7cc0fca0d35fe0e7e4fd8aa7c19c2785aefb0	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/Iconf2b.h	2	2	HOMM2_ICONF2B_H	read	1d3e1f1c1b3228959d99a5ba98288e646d183ed9dc500787287f05b3d38f8aa5	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/Iconm2b.h	2	2	HOMM2_ICONM2B_H	read	63c172b8a37f8ccfff8374ea30a3dafa116f16774563564cf9d224a8223de48c	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/Iconmf2b.h	2	2	HOMM2_ICONMF2B_H	read	0b4b923aa6ea96e553208e1e8c2f86c69c0b1a8e45bc4819aabc4cfa24db763e	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/MIDIWrap.h	2	2	HOMM2_BASE_MIDIWRAP_H	read	7292feb10412ba9399bab685efece0096e474dba55d9b64deb2e907a93c55e6b	B06: complete audio resource/format/sequence/flag declarations; no bodies
include/BASE/Midi.h	2	2	HOMM2_BASE_MIDI_H	read	baf55c7015ad76e5573af0924d3db597e81a6bd2ce17f1a1ffa2ac98415f2835	B06: complete audio resource/format/sequence/flag declarations; no bodies
include/BASE/Misc.h	2	2	HOMM2_MISC_H	read	482518d4ab0a10c69eb4959e8e1684d910373ad4bfe401a1fee5092317b5e913	B08: complete utility/layout/allocator contracts and strict LogInt template body; H05/H06; R10
include/BASE/Misc.h	51	51	HOMM2_BASE_ICONENTRY_NO_SIZE	read	65650d10e7333d43a78c5090935b6b2668df70794cca8f15bbc53dc26575c303	B08: complete utility/layout/allocator contracts and strict LogInt template body; H05/H06; R10
include/BASE/Misc.h	82	82	H2_ALLOC	read	4eebded6306a9d59611b5a623c64c7c4174214beb9cf975e0fec2f27af476429	B08: complete utility/layout/allocator contracts and strict LogInt template body; H05/H06; R10
include/BASE/Misc.h	83	83	H2_FREE	read	8153c6b7ad591c33ba99675aae231e166b320ac4aa4b34b265961a0740f1cd00	B08: complete utility/layout/allocator contracts and strict LogInt template body; H05/H06; R10
include/BASE/Misc.h	84	85	H2_ASSERT	read	e366186a24f5f161f6f8cba4195b5adec4c778a3fd528575ccdb35491079cfde	B08: complete utility/layout/allocator contracts and strict LogInt template body; H05/H06; R10
include/BASE/MiscEnums.h	2	2	HOMM2_MISC_ENUMS_H	read	7e1db33c33726ac3f207393ebcd1c3e3d6fb4377f2e8e334c74bef8441d60bdf	B08: complete CD setup result domain; no bodies
include/BASE/MiscGraphicsConstants.h	2	2	HOMM2_BASE_MISC_GRAPHICS_CONSTANTS_H	read	0e388cd58ace005f5cb76bb45f60378269392c476a925a119258416c5b2aa087	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/MusicFlags.h	2	2	HOMM2_BASE_MUSICFLAGS_H	read	f5447db12870e1030695dd0706fe83b2d8e8310142d864537dce906f9ded5da4	B06: complete audio resource/format/sequence/flag declarations; no bodies
include/BASE/Ripple.h	2	2	HOMM2_RIPPLE_H	read	78d43eb9107e1f6adcf67e2b4dbcb7389eeec782ce8a5cc90fb38e48c517a9e5	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/TILE.h	2	2	HOMM2_TILE_H	read	d895e09064aea8f85cee4507bd7f1dd8997476f534a620e09591a8576d1038cc	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/WINMGR.h	2	2	HOMM2_WINMGR_H	read	6a3aece4e93c8b12803b38c6ab4b1f11f8ed9efb6e94a974febfbbc127721f9f	B03: complete manager contracts, flags, state and declarations; no bodies
include/BASE/baseManager.h	2	2	HOMM2_BASE_BASEMANAGER_H	read	1c40d4a820b44ced6ad672a65c2d21efb0441d028fcf900f9229b8f6ef164e42	B03: complete layout/interface; Activate inline reconciled
include/BASE/bitmap.h	2	2	HOMM2_BASE_BITMAP_H	read	8e55da07d8b76739c533f7b890af005bb3c5c85daabf4f1821bbd714bb5dbfcc	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/bmap2.h	2	2	HOMM2_BMAP2_H	read	c01b0e05a2450d10e9061fcca3a381cde77b87cff995765887d552fa33b08b27	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/border.h	2	2	HOMM2_BASE_BORDER_H	read	63851865aadcaaf65f376faa426e6cb5a507a65fe0012a5f637d8231b42be235	B02: complete declarations/layout; no bodies
include/BASE/button.h	2	2	HOMM2_BASE_BUTTON_H	read	6f6150727e71eb611cb4040b7f7f1c4d850315a1370ad59f7ec066070487c9dd	B01: layout, signatures, selection mode; no function bodies
include/BASE/dimmerWidget.h	2	2	HOMM2_BASE_DIMMERWIDGET_H	read	56a1c3b11be0511ab2359b85394bf9d65528125e6c92a6bb4fba457fcb04c7da	B02: complete declarations/layout; no bodies
include/BASE/dropListWidget.h	2	2	HOMM2_BASE_DROPLISTWIDGET_H	read	5fbd356fad8b6fc0a858b88cc5803f7e65789d3c27fe185cd4e96aacfa9fbcb6	B02: complete declarations/layout and popup state; no bodies
include/BASE/executive.h	2	2	HOMM2_BASE_EXECUTIVE_H	read	47274605e8ffa4cf36d8ec6a7766c534480fbf0bcdb820900995bc13e9081168	B03: complete manager contracts, flags, state and declarations; no bodies
include/BASE/font.h	2	2	HOMM2_BASE_FONT_H	read	8a84986b82789298a4bb1ec5cd5430768c18067907fad0539293141fc1424801	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/heroWindow.h	2	2	HOMM2_BASE_HEROWINDOW_H	read	5c65e1e3bef2397646455ee6e2f4958312ddd5d7328617fd865f01e0fca88a1f	B02: flags/state and widget ownership/draw APIs; no bodies
include/BASE/heroWindowManager.h	2	2	HOMM2_BASE_HEROWINDOWMANAGER_H	read	d02e8e3ac08212a3791f0dc5f5e525526daa02aae927e65ae2c4e9dd92c29b14	B03: complete manager contracts, flags, state and declarations; no bodies
include/BASE/icon.h	2	2	HOMM2_BASE_ICON_H	read	bf135f534ce1ab949662a870844f888455a2eba00d45b6a4e02e20057114a5fd	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/icon2bc.h	2	2	HOMM2_ICON2BC_H	read	c5ca6914a07966ce8497aa9aee0ba95075c43306d8f62f8c763f529701bc7500	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/icon2bs.h	2	2	HOMM2_ICON2BS_H	read	e1a94043b14927d6686a8e5c0aa8b7a65482eb41308972ab0876c4e2d7c658f2	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/icon2by.h	2	2	HOMM2_ICON2BY_H	read	ebb1bef98a1c6a50aae69efc195ccf9d291f9720da71086f80564c57ae1d2903	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/iconWidget.h	2	2	HOMM2_BASE_ICONWIDGET_H	read	eed3b1656650dbb7bbb7bc86cfc109da44f61b3d871e7c4be1ca5c1c13db0964	B01: frame/orientation storage and resource overloads; no function bodies
include/BASE/iconf2bc.h	2	2	HOMM2_ICONF2BC_H	read	89239c5a8233b7c807d45032cf353bd045eb8a1f9a1cfea77d0d71976e6534f0	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/iconf2by.h	2	2	HOMM2_ICONF2BY_H	read	269c46cb6fe4463eda01c65b0c72589d82e08661787bb1c4bf090192717fc74b	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/inputManager.h	2	2	HOMM2_BASE_INPUTMANAGER_H	read	e32f0d1dfccdf7bfe6627b8828cf364d41debf558eeaba963e5c82b44e3063de	B07: complete input/cursor layouts, scan domain and declarations; no bodies
include/BASE/listBoxWidget.h	2	2	HOMM2_BASE_LISTBOXWIDGET_H	read	b86aae0b39461534461f2c9343c31990a0f5aba27c2a56aa3e443b5f971296ce	B02: complete declarations/layout and i16/i32 state boundaries; no bodies
include/BASE/message.h	2	2	HOMM2_BASE_MESSAGE_H	read	4301aad8f47d9d9969410759cfa841e94e2bda23eba2f84cf1be77206dd52969	B01: complete enum/union protocol; H01 owner; no function bodies
include/BASE/miscwin.h	2	2	HOMM2_MISCWIN_H	read	43018e8b3a21588db3e2608677823bbdd9eec62e1f88defc3f84bc9b47c120f3	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/mouseManager.h	2	2	HOMM2_BASE_MOUSEMANAGER_H	read	5dfd189955c70d5c487afed334630de899c2cc41d1f08901cac6885337d36062	B07: complete input/cursor layouts, scan domain and declarations; no bodies
include/BASE/palette.h	2	2	HOMM2_BASE_PALETTE_H	read	2aa81f5979af92c9d0bedfc7d73b1ede99342b85951b070085c31ef04fa5a54b	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/resource.h	2	2	HOMM2_BASE_RESOURCE_H	read	8e440a2f26fe85a8f2969cfbceba7c7415f4463fccbd2a7d7bcf6d0a56f85be9	B02: categories, refcount sentinels and intrusive next link; no bodies
include/BASE/resourceManager.h	2	2	HOMM2_BASE_RESOURCEMANAGER_H	read	e78b83d64f20474324fcebc42185bfde9871b89ec010c2b9462c3b9b1d8eb0f9	B02: aggregate layout, typed cache API and global save-position stack; no bodies
include/BASE/sample.h	2	2	HOMM2_BASE_SAMPLE_H	read	454b82c68db458be6783ab1082e2d72b2c5a5be1214a644c8db2e1c8150d04ed	B06: complete audio resource/format/sequence/flag declarations; no bodies
include/BASE/sampleData.h	2	2	HOMM2_BASE_SAMPLEDATA_H	read	93fdd84d70c4c57ca5e0f6596f96bc04e9e3aa4b24706690be800b5da20a364d	B06: complete audio resource/format/sequence/flag declarations; no bodies
include/BASE/soundBackends.h	2	2	HOMM2_BASE_SOUNDBACKENDS_H	read	96715784d419fcf1479a452791d926fcb97b709545570413ec688f5f5213cb6a	B06: complete backend contracts and AudiereSampleNode constructor body; R08
include/BASE/soundManager.h	2	2	HOMM2_BASE_SOUNDMANAGER_H	read	84e1abf512cf6f932f7fba85e00fa42540489014d5afb0f7aefd26a0efd1f9b5	B06: complete layout/flags and five readiness/save/restore inlines; R08
include/BASE/textEntryWidget.h	2	2	HOMM2_BASE_TEXTENTRYWIDGET_H	read	6bef1c47e2c930c1527a65a44783c4fb25146ae49285905006237684db824fff	B02: complete declarations/layout/read modes; no bodies
include/BASE/textWidget.h	2	2	HOMM2_BASE_TEXTWIDGET_H	read	0f6880e5473fd6443558e268f62fef3061f66578d3f327f13d4e9e1c61519d05	B01: layout, color/alignment storage, setters; no function bodies
include/BASE/tileset.h	2	2	HOMM2_BASE_TILESET_H	read	16984211cdba4d5f870f0b01c595754a2d9f4dbca2e1089a2d5ff685eb222d51	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/widget.h	2	2	HOMM2_BASE_WIDGET_H	read	af1de48736575a95c7bc1e62d828931dc8dbdc59462c35bea7bb373249a063e2	B01: flags and i16 geometry; H02/H03 owner; no function bodies
include/BASE/widgetKind.h	2	2	HOMM2_BASE_WIDGET_KIND_H	read	dba4c4f57187ea160116561d44b1fc93a03bac069b7f5359b2251059eda83cb4	B01: full widget kind domain; no function bodies
include/EDITOR/fullMap.h	2	2	HOMM2_EDITOR_FULLMAP_H	read	498588c1cf0b2087926d7d1fa7e3d8837f9c2fcbf8aa3c31233ab9dbdb2075b3	B12: complete owner layout/API and six existing cell/extra accessors; R14
include/EDITOR/mapcell.h	2	2	HOMM2_EDITOR_MAPCELL_H	read	30645a29c30c492f858bb553cf8239320770baa3afeec2edfac48b689a828ff7	B12: full tileset/bitfield/old-record layouts and HasFlag inline; R14
include/Ints.h	2	2	HOMM2_INTS_H	read	289844971d4a830da01d796de396f043e16d69d4ec951db4d68ed5472c67e22a	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	7	7	H2_STRICT_ENUMS	read	aa3585a4b4c7f4d67b0038dcd4d1e146ffa476b14dec4033ea3b21770152b04e	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	8	8	H2_FINAL	read	bccebc0025ac1c1e12cbfe56690a50aaf3e760a317bd4cfa3be9b04f40801561	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	9	9	H2_CONST	read	de783843fb870e338a298cb169f1ba95cb03e43a947a0b3f4041e61cfaef88b5	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	10	10	H2_UNUSED	read	8b907ee23a52be31ffcfb5a144e180d427eeea3ec4a896684676ac4224affb00	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	11	11	H2_RETAIL_INLINE	read	88ebf762af763ceea7fab858a16bd69ca286b8ccec85679d7dcbc27ff1f62520	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	12	12	H2_ZERO_INIT	read	5692088604af361f82cca00f3c477dde5652c70a8805f198324902db4ddfb9f2	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	14	14	H2_STRICT_ENUMS	read	5362c7776edf6e48f6aad8f4b8ec1dc9044567d6cdf8bb46732b41016c2da7f2	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	15	15	H2_FINAL	read	6f46c5be007711cd097aca75f2123b0009821d2687d43ac560a890319175e59f	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	16	16	H2_CONST	read	0d6b806c93eba102b79e5c425e841f264ab48c4cae6f37b472baf0754599c1aa	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	17	17	H2_UNUSED	read	acda9366b426827e1d839f640a632e2f507d139f5b84cca74cd8f18275c06370	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	18	18	H2_RETAIL_INLINE	read	6f71cf696589e7a8fa5fdeb116eb3849ec375fb1f12f078bcfb47d749954dd08	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	19	19	H2_ZERO_INIT	read	dff4b0dae585affaf5e74fd2fe3dd742daa0afd7afaec41caa379a42b606a539	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	34	34	NULL	read	e9c4c7ecf2529875eba5693306dc97e7abe3461a11c5308807dcfa02d100064d	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	49	49	H2_ENUM_BEGIN	read	d0ce65a2023ef81e59065f61bff126ac35a955dac75bde1375b1e800606c842d	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	50	52	H2_ENUM_END	read	1d5ed9e269bd0a4149bf772e6da1ac8e6d8803b0826225e10ce2f830f3014032	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	53	53	H2_ENUM_CLASS_BEGIN	read	fa508e970d8000c8ba03a300a5f73728d21d176da0aa7c9d0b7b0ec81085abd6	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	54	54	H2_ENUM_CLASS_FORWARD	read	250fafc1ce38126812b3801ec343743b9255b28cf8d89cf07d74854a1bc7a832	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	55	55	H2_ENUM_CLASS_FORWARD_SPLIT	read	81240b5a6feb963b4cfef5d0c95d7ea00749b8eef6e850cde718abf4d338d2c2	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	56	59	H2_ENUM_CLASS_END	read	1b37606437a6d1ca5d7791f4823ae29197c1d8dc6a8cc4c2d8491c8f66dca08b	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	60	60	H2_ENUM_CLASS_BEGIN_T	read	a2be0bfa98e77fe80d9826267f746a1a8ca659437a0edbfabfe66c54b80b5588	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	61	64	H2_ENUM_CLASS_END_T	read	07d8adca6cc3d45e5cc6244948f4ff8ea41fdb57477a3cfc2e5f085d62a77b2a	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	66	66	H2_ENUM_CLASS_BEGIN_SPLIT	read	ea6e9745d67f9b27b37b8b7c737a489da616f4b6524207159a419091aeec38e9	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	67	70	H2_ENUM_CLASS_END_SPLIT	read	9d7783a8d990bc1b560266844e92f898710966e1c2a3f1c94369a440b04c5af5	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	332	332	H2_ENUM_STORAGE	read	63d13f1e4be1c9d2336bd64e762211811dd82e984ad30667c86e68cf76894de6	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	333	333	H2_ENUM_STORAGE_STEPPED	read	e7bcc5a54da483bc8a6ddc3e11436012982958f034188a894c0f31ce6dc9a2ec	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	334	334	H2_OPEN_CODE_STORAGE	read	5f5a61cc00cc257a63efce9c373764e0c5d8cf4848c50603f4f000a1010759a3	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	335	335	H2_ENUM_BITFIELD	read	11930db9a5b535b896c12a75a5782cbf694c9d3d1e11d62203e2a7244f55694b	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	336	336	H2_ENUM_PARAM	read	1bd61f8940fc74d696242c0edfe1c6b543e8361969505898fa95804afcb7c138	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	337	337	H2_ENUM_RETURN	read	0161123e90888f1d336de5a4de701cadde14ca6d072e432935990d544f04d5b1	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	338	338	H2_OPEN_CODE_PARAM	read	46f0cf579c3fad2e04cb3419d58e37dd3a0de77071f31c464d06001077b625f6	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	339	369	H2_ENUM_FLAGS	read	820e6bf449e2e1a37f0b2321bb08a18ff86e50daa25250bf24cde7633e6150d0	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	371	371	H2_ENUM_BEGIN	read	2eb68347424e403a27220db52bd3e6edf0e425ecad64c705f2a7118820990f08	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	372	375	H2_ENUM_END	read	648e9a302b12e078fe4ff4a2a92bf3123b1d8eeb0ed6a7d0114637685b393411	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	376	376	H2_ENUM_CLASS_BEGIN	read	06f2dba529dce577888435af4a7e0170d1feac36995a652a4fb1dd91ccdef0d8	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	377	377	H2_ENUM_CLASS_FORWARD	read	b37d68c7d833207247a1d0e4381be2c2336855678644392e3a31c54383099301	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	378	378	H2_ENUM_CLASS_FORWARD_SPLIT	read	ba5adf9e3eb748772c733d00a80bc2dc7957fdfdf3726b64822315aae8a2be8d	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	379	382	H2_ENUM_CLASS_END	read	f0612bc54fceb469250fbcb61ae33eb67aa7ac057ee4d03cfbd5414ca925804c	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	383	383	H2_ENUM_CLASS_BEGIN_T	read	35f904caab8bf8c5b2a9d86492523dd366c18ffcfccd3cb9631533b60c207d49	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	384	387	H2_ENUM_CLASS_END_T	read	354040b2259a95cc9536da3dfeb01d82c65aebef4dbebd65284537ad92dc9453	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	389	389	H2_ENUM_CLASS_BEGIN_SPLIT	read	f3c0a3549376439c2dc4f506e4cede175d91be8cbdecd024721f2e3624dc2124	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	390	393	H2_ENUM_CLASS_END_SPLIT	read	c8b2d32ff0e909c0188bae3146452662626d896b9a87de828f07448245885846	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	394	394	H2_ENUM_STORAGE	read	7280720d5e6b4c779169f9e035bb0606045186ab3ce6534b41ff6973c6b5ab0f	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	395	395	H2_ENUM_STORAGE_STEPPED	read	48c1931021f52a61f97dca2996740f1a8f2b87d3e736921bd23bf9272bdd8144	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	396	396	H2_OPEN_CODE_STORAGE	read	c1bf2d953839a41ff198e0a53ac48168af7bd67279788544a0569ba63f409ad5	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	397	397	H2_ENUM_BITFIELD	read	0ba92a07c9dd7bd773f7fc050bd1075ae1c020bb6dd8288956c39bb3b99e9fa0	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	398	398	H2_ENUM_PARAM	read	0a4476ac2d98339c95aa6a3ef49351141e6fb50b1131e07b982856b613cf2215	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	399	399	H2_ENUM_RETURN	read	239a8cc662ca234e150a7fad9b4b2124ed7aca95722c113acd3661d269e5b03e	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	400	400	H2_OPEN_CODE_PARAM	read	f09d7d8e6c0b8f8d35765793f725b2d15236d1447518cc6b2054d1676c87576f	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	401	401	H2_ENUM_FLAGS	read	d0df62ae87ea2fb82bf1b043abfe0da0c905da25f413a4275380449e7b57e640	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	408	415	H2_ENUM_ASSIGN_CHAIN_5	read	9623eee66abb97810726b9150d27e2f6261b50e61fc9a85f75e71e6035a14721	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	417	417	H2_ENUM_ASSIGN_CHAIN_5	read	5001fa5719df0b10cb23285ebff397ab70d5c0c25787c3a7927d70d9e113e025	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	423	426	H2_ENUM_DECODE_MASKED	read	bc4dfb83be972b4e39f78a3d7d519bdc3b3dedc878981ee505bb88ea873ee48b	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	428	432	H2_ENUM_DECODE_MASKED	read	ba63dab6c893e6c9f3171c3698b9664c9a23332eb5d5e3fb5746e316571be09c	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	438	438	H2_ENUM_RAW	read	ff1505cdddae36d668995329d981504c33f546291b75a8cff7284f7ce9c4173d	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	440	440	H2_ENUM_RAW	read	f351a4f6061f9c7f0985897915560f77aa651aca9678692ed0f81bcb1d5ce4d6	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
