path	lines	functions	macros	status	sha256	review
include/BASE/Ripple.h	10	0	1	read	0430f46c11b75b02bd0165a0b2cca6c25683175b0e8766feb45e6f0dd9e9c526	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/TILE.h	17	0	1	read	7a5369246d69b240706a0fb437b3f2d0c80bf899fddde8dda3ace8373e7638dc	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/WINMGR.h	22	0	1	read	07afad47fcc3583da119db7093aee81ef0193c9058346fd5d8e0d558e071611c	B03: complete manager contracts, flags, state and declarations; no bodies
include/BASE/baseManager.h	53	1	1	read	1eab30ccd89463a3f9f654257dd3dcfa8d730e2f8d716dab353c3d0361e94baa	B03: complete layout/interface; Activate inline reconciled
include/BASE/bitmap.h	51	0	1	read	02da19395546e378f2c7a55eb53b605d226dc92029aa362f3ff3a57856f44cb3	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/bmap2.h	33	0	1	read	195e2118d3d44d97efdba40edf5e0f471b554fbf06267d57bcd8ee2a407289f9	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/border.h	35	0	1	read	5103ec9851c71e0185e436e449cc53b84555b4426d55cccadd0568aae157f505	B02: complete declarations/layout; no bodies
include/BASE/button.h	61	0	1	read	1d0ce609d2ba19b02430854d5ad185f268bf15d98757d6ce2d7b3319124afa37	B01: layout, signatures, selection mode; no function bodies
include/BASE/dimmerWidget.h	28	0	1	read	ad38b443d5f1b7569d272ac4b06a9dcfed296b11f05dd7908f788071972ba849	B02: complete declarations/layout; no bodies
include/BASE/dropListWidget.h	101	0	1	read	1b8eb0cdac10302fd7d88184583df41591f6771bdd082b08bcb374fd6c763f3a	B02: complete declarations/layout and popup state; no bodies
include/BASE/executive.h	29	0	1	read	30f4ae7614c533c323428327233fd37be3cf9a9a1fe5ce75ce0d58da558c0dae	B03: complete manager contracts, flags, state and declarations; no bodies
include/BASE/font.h	55	0	1	read	a3d3f9ae7f519fbb6f3b3c7c6e5e158b47395dc5619e48aef980dbb71291bf61	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/heroWindow.h	70	0	1	read	6c07e5d463fb134951ac52f42737be2487eda3499e3e7b2955a4c49b355c9990	B02: flags/state and widget ownership/draw APIs; no bodies
include/BASE/heroWindowManager.h	67	0	1	read	5e6cfde404b01ee82e9a95dab785ea6277f81ac9a57a4f340b1ae6219c61ed06	B03: complete manager contracts, flags, state and declarations; no bodies
include/BASE/icon.h	61	0	1	read	b3c7de6c7c58d6448630790fc5f84e783899cd287b0b23ed04702cf59fb65e71	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/icon2bc.h	25	0	1	read	27be2881451fe5cacc671210ba0ed79d31058bae3253afe94c305c22af6646bb	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/icon2bs.h	23	0	1	read	df406be7009f2d8a9994d8a4f24a81de67ab38870aa41940e5f7b7dbdb54a875	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/icon2by.h	24	0	1	read	9b1ff4f72329cd7f9ae53362aab4478bd944f430652e9ff968fbb535c2e2d8f0	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/iconWidget.h	51	0	1	read	676e06cc42cdb205e07b90e4485419d686be95fb70b685b8b3b2f3984573a2c6	B01: frame/orientation storage and resource overloads; no function bodies
include/BASE/iconf2bc.h	24	0	1	read	53bc0de213b2d72f232b50a046f138cb7038ac45e91b12c59026931ea9c5b44c	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/iconf2by.h	28	0	1	read	127e45cb9b3a6958573d18bccab0f40b092cdf4f6163409a3efb9a165d8ebbbe	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/inputManager.h	151	0	1	read	e764ea765e3cf449d8d3475fd7842b8acc51ead42233a9815eb8612925e0b3bf	B07: complete input/cursor layouts, scan domain and declarations; no bodies
include/BASE/listBoxWidget.h	81	0	1	read	566915a460dbb5c61e68022b4c26cd96cfda668f242c772c771a5a861456b5da	B02: complete declarations/layout and i16/i32 state boundaries; no bodies
include/BASE/message.h	284	0	1	read	26336389fe4806de61933691de2d73aaeb1dc4684ec1ed6e5996490e59c3e860	B01: complete enum/union protocol; H01 owner; no function bodies
include/BASE/miscwin.h	14	0	1	read	170685792af3e1f291e28ccbbd8b863f78e0c83e8c4dc4442522a4b518324686	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/mouseManager.h	106	0	1	read	ced722d60d2253b37f9d4601539f6f3ea8826795b08604f8ae3544db95bee402	B07: complete input/cursor layouts, scan domain and declarations; no bodies
include/BASE/palette.h	29	0	1	read	3d4a3cc89afc30f03031743c24fffa7bb311becc2c6f4855aa1ede8ee56d98d7	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/resource.h	33	0	1	read	4abe8b725aa764c1b65ae5337664d0341fdf59864a1ec435756b2fafc26de4f5	B02: categories, refcount sentinels and intrusive next link; no bodies
include/BASE/resourceManager.h	81	0	1	read	28dba74a6538cb031e0901adc46f43ce9a0efa277df925b3194d98a1309d48f5	B02: aggregate layout, typed cache API and global save-position stack; no bodies
include/BASE/sample.h	17	0	1	read	0a15d616bf66e82d517f40f9a13baa569368333c3fc5755452f45e517a642586	B06: complete audio resource/format/sequence/flag declarations; no bodies
include/BASE/sampleData.h	35	0	1	read	e7344b129f8a0bfe9926240ea216c254a46b2efa2438d46a6c0545b0bf3b156e	B06: complete audio resource/format/sequence/flag declarations; no bodies
include/BASE/soundBackends.h	66	1	1	read	e04ba3728a9bba7be049ba0974e4a4a4be2cadee65306c1766389e7ad16d401f	B06: complete backend contracts and AudiereSampleNode constructor body; R08
include/BASE/soundManager.h	138	5	1	read	5882906f4461821515ff1722aaf84bd2b8d24911dcc3ea5d6f8dcef5d809911d	B06: complete layout/flags and five readiness/save/restore inlines; R08
include/BASE/textEntryWidget.h	71	0	1	read	459e275aea85a3c324699da4771308483cef7d6a05dd56e953e22d2b7f232720	B02: complete declarations/layout/read modes; no bodies
include/BASE/textWidget.h	42	0	1	read	5cc4ec66e3315739d76c89d0c90c05f1394f86c8d8f6b65138687c66a6c11454	B01: layout, color/alignment storage, setters; no function bodies
include/BASE/tileset.h	19	0	1	read	cf04107eb476ff6e2236f174a8149e83d3bcb988342298617baafa3b69a55948	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/widget.h	58	0	1	read	734055c1622691e5c519195e6359fb9a3922624ae7ddd43ce868ad5b9719acc6	B01: flags and i16 geometry; H02/H03 owner; no function bodies
include/BASE/widgetKind.h	22	0	1	read	6e08cf446d6a74e76f4679751de59802bab547086de80e5dc555c908d6e08323	B01: full widget kind domain; no function bodies
include/EDITOR/fullMap.h	58	6	1	read	8d6b1d48cca513d44f22889844464ac49a2ec52809cff0943664cfa5ed9b452a	B12: complete owner layout/API and six existing cell/extra accessors; R14
include/EDITOR/mapcell.h	149	1	1	read	c2aa8f2d2c3dae60671da97867fb09fd971afdd2915f6dedc645f63a282b6e11	B12: full tileset/bitfield/old-record layouts and HasFlag inline; R14
include/Ints.h	539	53	68	read	6fd249695ef01cdc160942d87e37d0bc9af2958788205727702a2ed611acf87a	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/SOURCE/ADVMGR.h	149	0	1	read	7b9777229ae53954e735bd38d318f1392596f3e187b1279251d6f151c13af7c7	B14: complete remote/sound/command/draw/options domains and global declarations; no bodies
include/SOURCE/ADVMGR_TYPES.h	23	0	1	read	6a06b6a52b2e2d0463956f6831813a88f15f2e37f5cfa97e92068613cb05c931	B25: complete packed adventure save/player-exit/raw-byte remote payload union and size contract; no bodies
include/SOURCE/ARMY.h	166	0	1	read	882dcfd1c9b2b3be1698c4e86f290255dc8081c28a729630d5e4203c51787658	B13: complete animation/sample/spell/frame domains and packed SMonFrameInfo; no bodies
include/SOURCE/CMBTMGR.h	18	0	1	read	9e2fc82b267ab2b69708140660f3ae6998f60f1ddfb2b4c14dbce6aaa2f9f43e	B14: complete combat tower origin/ValidHex/options API; no bodies
include/SOURCE/COMMAND.h	44	0	1	read	a852441f65690400de7c81809b11723e54e194f1f80ec79c4215b22ce04fea8c	B22: complete combat action domain, packed 25-byte remote packet and handler declarations; no bodies; H53
include/SOURCE/CONFIG_TYPES.h	130	0	1	read	6e7d153b19fdfcca7482bc695055903705181a631665c210794e9b0bfd2bed5f	B10: complete packed graphics/config records and enum/storage contracts; H15; no bodies
include/SOURCE/CURSOR.h	110	0	1	read	8a860e4c4ad156bea50126061020e3b973f9f442621433dbf2b55ac31e875916	B22: complete cursor/movement/change domains, packed 11-byte SMapChange union and SendMapChange declaration; no bodies
include/SOURCE/Campaign.h	78	0	1	read	8a7319524638d3c37b993b2aa5cba6e0e22bdbd28ce366e7e29db18c5892eabc	B25: complete campaign message/award domains and declarations; no bodies; implementation covered B40
include/SOURCE/Castle.h	22	0	1	read	f83a261d82228e300376c669b6dc7995c79b5cb52d52b3ebac6a1284999cb510	B30: complete castle slot/upgrade domains, slot arrays and handler declarations; no bodies; R30
include/SOURCE/EVENTS.h	331	0	3	read	aa48042c559abec23312bf2709282ddcdbb1fcc4113360570182f8e556860cc0	B23: complete event/object/resource domains and packed map-extra event/hero/town layouts, macros and declarations; no bodies; implementation covered B42
include/SOURCE/EVENTS_TYPES.h	43	0	1	read	33ad4e93fb77eeed235a8f5b40cf6a24eaa21e70143ba7321ae2dc71d6780210	B36: complete packed combat-result/army/town and separate hero-fragment layouts and size contracts; no bodies; implementation covered B42; R35
include/SOURCE/ExpCampaign.h	153	0	1	read	96f9d7cdb3e1bb99fe3bb93377ab8389c1531b9f0ddfbff680fee339863fbe24	B25: complete expansion campaign IDs/maps/awards and packed state/interface; no bodies; implementation covered B41
include/SOURCE/FINDPATH.h	16	0	1	read	7387c8ce7ed5e1a9dc76085f750b81c00099338fd73d2124c2fa5f0d980a7665	B14: complete terrain cost declaration; no bodies
include/SOURCE/GAME.h	170	0	1	read	709a70b0dc6ba179c5c2b91004570adfa562d610a96b206a94e3cbcb1aea3185	B13: complete calendar/serialization/player/random/weekly domains and free APIs; no bodies
include/SOURCE/HERO.h	17	0	1	read	40ee910ba74e3b4b02e83b16d8ad1e32ab7df9c062116efbd20c17c4cfe190d6	B13: complete hero UI declarations; no bodies
include/SOURCE/KB.h	723	2	3	read	21654a35af91dfe2840997047e9afef5ffcf7f1a236bead70d8691006d801462	B10: complete declarations/domains and two inline bodies; map-extra operand contracts; implementation covered B43; H15/R12
include/SOURCE/KB_TYPES.h	969	26	11	read	3bbe6eb9d162180d149d88c8a085aa540a8e0af6b37539a8d82c457d55b06e02	B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/Modem.h	91	1	1	read	1c1968bba64b613c7f902180b8f899ae81593310ab8ade378c6f4b6eff82794d	B26: complete modem framing/state/queue/interface declarations and TruncateModemResponse inline body; implementation covered in B28
include/SOURCE/NOOPT.h	10	0	1	read	91ae61a14f9a9043729bf0eec76302e1bbf619d4a6a2ae62739ee5c1448058ed	B10: complete pointer/value delay API declarations; R10; no bodies
include/SOURCE/Netbios.h	32	0	1	read	2c468edde0d18b58224064925a9ad5ee338fd5a3b8e41f2f63b9eb6793afde9b	B26: complete setup/wait states, narrow storage and interface declarations; no bodies; implementation covered in B28
include/SOURCE/Newgame.h	50	0	1	read	b67f046c7caa54d7411991e09d9d1c5aa0fd6d5a6a699e37508ac53fed5890c6	B36: complete new-game UI domains, packed remote packet prefix and handler declaration; no bodies; implementation covered B38; R35
include/SOURCE/Overview.h	42	0	1	read	905d7828d5ecc61e7f20193918f42a66cb1e2bac0328dd805a6de7bb5cfa92fe	B34: complete overview type/return/layout domains, row aliases and handler declarations; no bodies; R33
include/SOURCE/PATH.h	9	0	1	read	c94723316a5de56876d63f392bf761b7bb34cf1147cf95cd5b6f011d6f2793e2	B14: complete combat adjacency/opposite-direction declarations; no bodies
include/SOURCE/PHILAI.h	115	0	2	read	dc6bcb30461c9928091627e5df6b84d18ecbf7cb1ffd72567b9e53f25fa9fc18	B21: complete purchase/battle/site domains and AI globals/declarations; no bodies; implementation covered B44
include/SOURCE/RECRUIT.h	20	0	1	read	0e6b7d0d7dcab749f87f636589e86fe4ac25b6a37aeac061968ad01147c7ad3e	B31: complete recruitment window/quick-view declarations; no bodies
include/SOURCE/REMOTE.h	117	0	1	read	9795233ab9900b17af92062ef3f40724d2090b23e460feccc5eab67e85cd6656	B23: complete packed packet/message records, transport/buffer/retry domains and all remote declarations; no bodies; REMOTE implementation unread
include/SOURCE/REMOTE_TYPES.h	68	0	1	read	a65ca956345182b9a3d1dc281a9d1a0d5a764b894f6cd494add7545cbd4dbd70	B22: complete network/remote/protocol domains and packed 34-byte player-info record; no bodies; implementations still unread
include/SOURCE/REQUEST.h	83	0	1	read	00c943f66afb99d21c10a6551a5f868c5b2e6451653602618df3870dc6bd44f8	B36: complete packed 420-byte map header, dimensions/victory/loss domains and reader/filter declarations; no bodies; implementation covered B37; R35
include/SOURCE/SETUP.h	26	0	1	read	6a8f719b3872fe5308b3ebaf5720cec82ba22f8a232d6285269d1935327b4b1b	B36: complete setup/campaign/network/modem handler declarations and modem-config global; no bodies; implementation covered B39; R35
include/SOURCE/SMACKMGR.h	71	0	1	read	21f31e0a990f7458884ae34c4b4352e1c449564018be5e88f5dae35200275e20	B35: complete packed movie options/rectangle/Miles adapter, SDK size/interface and playback-global contracts; no bodies; R34
include/SOURCE/SPELLS.h	184	0	2	read	d5f13d801bf1a1a0c35e1f6a68586a013e43d73f32c4b647fa0107000201c04f	B16: complete spell/effect/bolt/ripple domains, parameters and two macros; no function bodies; R18
include/SOURCE/TOWNMGR.h	167	0	1	read	e762e09a5558928796741abbdbf76ff69c100481d0ad51d1757d9a067bdedac2	B29: complete building record/masks, UI/resource/thieves-guild domains and declarations; no bodies; implementation covered in B30
include/SOURCE/VIEW.h	13	0	1	read	8e459aa39c3876943f546880ee5d78ec865b74ad517d45b2ca3b693d3e81b57d	B33: complete general-handler and viewed-side declarations; no bodies; R32
include/SOURCE/Viewwrld.h	17	0	1	read	7427ad75fdd258c1bd32e7d27a8d9d3eeccd9f8c4e2161b7205f741220ded139	B34: complete world scale domain and dialog-handler declaration; no bodies; R33
include/SOURCE/Wsnetwin.h	56	0	1	read	daec58a9e1baf1dd90665c03ef5034d49eec9b26e681109c2e64b50606f4bf40	B26: complete Winsock transport constants, packed startup, globals and interface; no bodies; H64/H65
include/SOURCE/X_GLOBAL.h	631	1	1	read	63df8fcc145e8228ef77a5929328a17ec65c2b8e40f9fb713871574881f0b40d	B10: complete globals/table dimensions and NextSpellEffectDisplayType inline; H15/R12
include/SOURCE/advManager.h	441	2	1	read	fc8aede10196333113009e10721bb7aca6e9fa27b322f933b718b9ca12d3b147	B14: complete 441-line adventure owner, unions, cursor/map/remote/event/sound API; two target accessors
include/SOURCE/army.h	160	1	1	read	1835685f63e1be6e7fda6b84f9f21523291070d9a09ddd0cd459072b67f70202	B13: complete combat-army layout/lifetime/path/spell API and IsAlive inline; H21 distinguishes group presence
include/SOURCE/armyGroup.h	55	0	1	read	b31953182adb7d15b142c85bcff5d06951542f612bcfe4d25f989da543fde1e6	B12: complete packed signed/unsigned army aliases and domains; no bodies
include/SOURCE/bankBox.h	22	0	1	read	348a91f4e253c554e9bcae2b55c8fb2b872ba1885286b58e88d4287e17d704c8	B31: complete packed bank owner/interface; no bodies; R30
include/SOURCE/combatManager.h	868	0	1	read	11172778e68a861a77db959957215f5df6c99f7ac613d6c938f0684326ce4304	B13: complete 868-line combat owner/header, side/army/hex/extent state and constants; no bodies
include/SOURCE/combatTypes.h	119	8	8	read	4cd3766ce7192a3952a2a8b8ea30a7949509f787ea9148508a3cd083babb9d0d	B10: complete side/result/facing/direction contracts and eight strict helper bodies; R12
include/SOURCE/comwin.h	62	0	1	read	951abf270e85390fc2a14bd37cd690ebc2e4102dbdbd9349962aff251e650512	B26: complete serial baud/port domains, shared node/anchor payload union, saved driver state and interface; no bodies; H66/H67
include/SOURCE/dimPalette.h	14	0	1	read	bbebfa76143453b5a65687189a368b5e436756e073c5d2504703d46c4dabc945	B05: complete decoder/encoding/palette contract declarations; no bodies
include/SOURCE/dpnetwin.h	103	0	1	read	ed4e337cf85139cf1ea816c6668120be372acf6c045a536d1fed768ede2d87b1	B26: complete DirectPlay transport constants, packed startup, states/interfaces and shared receive storage; no bodies; H64/H65
include/SOURCE/fileRequester.h	122	0	1	read	77531e764a0450d54d51c6228c22d91a49ae24a0c1f117ef3d5227442a4c909b	B25: complete filename/extension domains, packed requester/window layout and interface; no bodies; implementation covered B37
include/SOURCE/game.h	356	5	1	read	fcaa4554262de8c324295e02c4f11a1b2f37453dafcc3710adda23bc68961924	B13: complete game/boat/mine/campaign/save/runtime layouts and API; five existing owner accessors
include/SOURCE/hero.h	239	1	1	read	b18f61633fc21a8d1127f7d074458ea3521c06026c79aa5542922ccce878b986	B13: complete packed runtime/serialized hero/flag/skill domains; IsEmbarked inline; H22/R15
include/SOURCE/hexcell.h	45	0	1	read	bfe0987d16b524132036ca432b704d1a953dec37894ca5bba638ec3a247cb4a5	B12: complete packed occupant/corpse/path/clipping layout and declarations; no bodies
include/SOURCE/highScoreManager.h	64	0	1	read	05f6eef027b0c761877a950c49ca0263fb6e280e2bd1abe660883dfe4577c44c	B33: complete score display/animation/file/UI constants, packed manager layout and interface; no bodies; R32
include/SOURCE/kbwin.h	86	0	1	read	d9c21ecb187f8bb5ce23e06c23fdef5f36cb747e6453869632a3549e8f09c561	B10: complete Windows lifecycle/display/palette declarations and shared types; no bodies
include/SOURCE/netwin.h	136	0	1	read	1e4b2e8b122c6c7bb90f6e0fb5b6c57b681b67d4393ba4fa3708514a53919b27	B26: complete NetBIOS command/result/session domains, packed NCB and payload/event layouts, calling conventions and interfaces; no bodies
include/SOURCE/netwin_private.h	22	0	1	read	335aca7d29b57036f5ee956b6265a8acf21e61872a182ad0013e653f4ef03f11	B26: complete private NetBIOS callback/session/name declarations and external Netbios ABI; no bodies
include/SOURCE/philAI.h	138	0	1	read	3dfe0766ad4abed31d7d16f1059a9aa40a285e92578ab86520c0072d9fbdab6c	B21: complete philAI interface including FightValueOfStack and battle/interaction APIs; no bodies; implementation covered B44
include/SOURCE/playerData.h	109	8	1	read	95fbf9b9517844c3a72b20f0f6fd44ddee9a406e094737359abc43a4ff0c0449	B13: complete player/AI layout, signed id lists and eight accessors; H23; implementation in GAME still unread
include/SOURCE/recruitUnit.h	51	0	1	read	6dab57b99e98b2016f906fa395c175a204d046b1c25105928f5107203c66deb0	B31: complete packed recruitment-manager fields, source domain and interface; no bodies; R30
include/SOURCE/searchArray.h	174	4	1	read	ad483f65ac7f0acc70696aa75651bb381b8494aa04b5f38756c2edf3870a981a	B14: complete queue/searchCell/searchNode/path union layouts and four existing accessors; H27/R16
include/SOURCE/strip.h	70	0	1	read	b4fbf46a032218178fa314e17a20b66f00c779259d81b3c7b294dbde69eba083	B31: complete packed strip icon/cache/slot/border owner and drawing interface; no bodies; R30
include/SOURCE/swapManager.h	53	0	1	read	141d126adeacf2020671e37bf28f93cc502dc9f870456fab82fa63ef120002bf	B32: complete packed exchange-manager layout, side/item domains and interface; no bodies; R31
include/SOURCE/town.h	121	1	1	read	152a21d536099dc905cd861822fec1a0c9b8bf097993b95a34d50853786f289b	B12: complete building masks, faction aliases, packed spell/count union; OccupyingHero inline; H20
include/SOURCE/townManager.h	98	1	1	read	89bcabd8f217478b2a86a8ddcc475f0880562616cd25cf2e755040ae102f71cc	B29: complete packed town-manager layout/interface and SetTown inline; pointer assignment is not context activation; implementation covered in B30
include/SOURCE/townObject.h	25	0	1	read	4e0c90cbc973c613dd5b9e0b6a8dbcc4241fb97b77ef9488228c8149e16574fb	B12: complete animation/building/icon/border owner declarations; no bodies
include/SOURCE/tradpost.h	53	0	1	read	34d17846b2639df62bb33313e1e0c627f2f272275baf0c27bbe44c3dce94e484	B31: complete trade ratio/efficiency globals, UI geometry domains and interface; no bodies; R30
include/SOURCE/wingraph.h	112	0	1	read	0c7cc0eb4873701adea4820ade1ce2876e6c5cab80aae5e545e02f4e121a759f	B10: complete Windows lifecycle/display/palette declarations and shared types; no bodies
include/SOURCE/x_arena.h	17	0	1	read	af5b3824ca42955c116b48031643086cbf8abfb2bcabd80ad371f005ac18cd02	B33: complete arena handler/update interface and choice/widget/window globals; no bodies; R32
include/va.h	55	0	23	read	613ae23bdf9a6f3e6d0b74217e62c4bd1008b2661ae0cdc861d253246bcb3278	B10: complete annotation/metadata conditional macros; no function bodies; R12
src/BASE/AudiereEffects.cpp	203	13	0	read	66050a61dac3b326c25705b7d704df52e28304179d2aad2093f59baa36dd1d2b	B06: 13 bodies incl empty node destructor; full list/iteration/stream lifecycle; R08
src/BASE/AudiereMusic.cpp	168	7	0	read	736b9ab782b1c3998cefdb9802b9341715da92c5c8b010e9b7fff1b98c5ebb4f	B06: 7 bodies; stream ownership, reset/play/position/fade contracts; H07/R08
src/BASE/BASEMGR.cpp	17	1	0	read	32679850d68b15eb2e4d52448e034b6ffffdf71c7f08182dbb9a216107dc18ef	B03: 1 body; manager inactive/link initialization
src/BASE/BITMAP.cpp	210	15	0	read	f1d46829ea5d3250f54d31ca5f21e3b5f2e4bfd2c7e1301948fd31f9302ae84a	B04: 15 bodies including 3 unannotated accessors; allocation, blit/careful clipping; H09/H10
src/BASE/BITS.asm	73	3	0	read	845c0d23d2ef13de5c06d9306831bb219cadb9feaa38eb5d496d077ebca14c9b	B04: 3 assembly bodies; declarations and targeted packed-bit callers reconciled; R06
src/BASE/BORDER.cpp	156	6	0	read	5c0b83d58e3b4649741f3ecbd1a9148761ce0acdd09d1138e6482fc40068b5f9	B02: 6 bodies; H01-H04; bitmap/icon lifetime and optional backdrop draw
src/BASE/BUTTON.cpp	277	9	1	read	84d1851364959cca552944e87741757cc23c0d18d23ad623f75a59dd56d6b275	B01: 9 bodies; H01-H04; selection/modifier ordering retained; R01
src/BASE/Blur.cpp	139	1	1	read	ff002ecaca34ee740e4f0fe2e244d25af515f098e8d879a162f8191d8796ab53	B04: 1 body; tap-sum macro, channel remap, signed narrow then upper/lower clamp; H07/R07
src/BASE/Bzip.cpp	2061	88	46	read	755f9e00d4091c6e472dfc1366cf919a01086d671a0bdb76cae1bafa233fa6d9	B09: all 88 bodies plus local macros; full compression/decompression, CRC, sort, MTF/RLE and file wrappers; R11
src/BASE/DIMMER.cpp	43	6	0	read	3c1d3913f68139f13037a4311226dc90930383e28c95c5cb9ee973cd73a4a74a	B02: 6 bodies; H03; thin dispatch/draw wrappers need no new abstraction
src/BASE/EXEC.cpp	271	10	1	read	283b7943ab658836555d12a197ee281c3bf1d8c1e753dae2915a37fcce0ee990	B03: 10 bodies; manager priority/list lifecycle and complete modal/main dispatch; R04/R05
src/BASE/FONT.cpp	426	12	0	read	f4e3c3a0d3fbb7a0944d55e596a2bbcbff6ccda1ad22e283d8dd3279b09cd5dd	B04: 12 bodies; full line measurement/wrapping/draw and private helpers; H05/H06; R07
src/BASE/ICON.cpp	359	7	0	read	91b528cc10abcda6e92939362385e0b44985d8bde649e3fe86152f9748185ba4	B04: 7 bodies; resource lifetime and full drawing/extent dispatch; H06; R06
