path	line	end	name	signature	kind	properties	va	status	body_sha256	review
include/Ints.h	147	148	H2OpenCodeStorage::H2OpenCodeStorage	(Code value)	cpp	constexpr		read	f447339805cdbce0db076b270246cfd3e77a5aeb1e3230966be9e08b6cf87df8	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	149	149	H2OpenCodeStorage::H2OpenCodeStorage	(Storage value)	cpp	constexpr		read	c1a60ca2e383c968dcb3fe5342ca72615d42f0ccd52a4afd36e6fe51f655a0e1	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	152	153	H2OpenCodeStorage::H2OpenCodeStorage	(H2OpenCodeStorage<Code,OtherStorage> value)	cpp	constexpr		read	c96edb3e45ddf1d139095ebb43af3303d37a63ba1421e3716f41dba637f09804	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	155	155	H2OpenCodeStorage::operator Code	() const	cpp	const,constexpr		read	4516e481dd3d0a6c74cec2df1ee1f76b37ea05d62ba05cb74546ac7040446133	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	156	156	H2OpenCodeStorage::operator i32	() const	cpp	const,constexpr		read	095abf282cb530d9a7ba220a2aa9862afca149399a93f2c06306772f91bbd4aa	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	157	157	H2OpenCodeStorage::value	() const	cpp	const,constexpr		read	bb99d4f3721fab81b81b13abd5d5c70d6e6d5f576bb5dd28397cfec9eb156763	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	159	162	H2OpenCodeStorage::operator =	(Code value)	cpp			read	f9edab9da8e612250fa620499103f431c4e7175aa6a03591699d63cf899ceef6	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	164	167	H2OpenCodeStorage::operator =	(Storage value)	cpp			read	91627f41857ad4ae4113427970bf46accb9ef4d09a78cfacb60814dc91171ae8	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	170	173	H2OpenCodeStorage::operator =	(H2OpenCodeStorage<Code,OtherStorage> value)	cpp			read	2b8adec6e9d801b228423763f91be52f02d5af7e4f9eb179a47bfa84c3a66322	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	180	182	operator ==	(H2OpenCodeStorage<Code,Storage> lhs,Code rhs)	cpp	constexpr		read	8a31850921e9ccabf87690e08dd196edeaf00d0209729efcd19a93cf84d5b879	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	185	187	operator ==	(Code lhs,H2OpenCodeStorage<Code,Storage> rhs)	cpp	constexpr		read	b5f19af3a03bf4c66eb05eb953717a81e6f6b7537c88eb17226c5eccc31546aa	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	190	192	operator !=	(H2OpenCodeStorage<Code,Storage> lhs,Code rhs)	cpp	constexpr		read	9c65c5da99087ec59a2927f5ea2245a3be2cc0339ed2e49526ed29f680fc8e34	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	195	197	operator !=	(Code lhs,H2OpenCodeStorage<Code,Storage> rhs)	cpp	constexpr		read	735044d9e28384879b7466961fbc011d79ea7cfef436658dc6c62a1a05468829	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	200	204	operator ==	(H2OpenCodeStorage<Code,LeftStorage> lhs,H2OpenCodeStorage<Code,RightStorage> rhs)	cpp	constexpr		read	d18dd26ea04a7a947ba7d743fc8fea12952ccf56a31f7b98267e64765c3e2c20	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	207	211	operator !=	(H2OpenCodeStorage<Code,LeftStorage> lhs,H2OpenCodeStorage<Code,RightStorage> rhs)	cpp	constexpr		read	3e44b70204a7286a1faee3bb27cf0c6a4bf1948f661116eefb8286d077e8c499	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	214	216	operator ==	(H2EnumStorage<Enum,Storage> lhs,Enum rhs)	cpp	constexpr		read	ff57a30213e0afd2357028356af8b4cd187086ad34064803db83f44ffdae0991	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	219	221	operator ==	(Enum lhs,H2EnumStorage<Enum,Storage> rhs)	cpp	constexpr		read	8c06a9d1b658d7cbce7cfdbf342d748e252b3ce9a754086e2626a51d249c8c38	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	224	226	operator !=	(H2EnumStorage<Enum,Storage> lhs,Enum rhs)	cpp	constexpr		read	c0c2d8b7b49b6014bb485668022d7b60596f550a9275031b6d9b0763a036bdcf	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	229	231	operator !=	(Enum lhs,H2EnumStorage<Enum,Storage> rhs)	cpp	constexpr		read	cb3f69d01c0605b718c3ee96ff5848c39ec4e331a4076db2d11a13ff48a60770	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	234	238	operator ==	(H2EnumStorage<Enum,LeftStorage> lhs,H2EnumStorage<Enum,RightStorage> rhs)	cpp	constexpr		read	8fa5975b1a15d43af9b1fefca4e1a16d7db82957ad5b3e37b4c9bd8eb8ac3efa	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	241	245	operator !=	(H2EnumStorage<Enum,LeftStorage> lhs,H2EnumStorage<Enum,RightStorage> rhs)	cpp	constexpr		read	87ac9cb03a920d62d22fb5ec53301ab3437f45fa45bc7855c525a2e27a77d1b6	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	248	250	operator <	(H2EnumStorage<Enum,Storage> lhs,Enum rhs)	cpp	constexpr		read	5326e20669f172d967bb481ba147f8d1d54de6a7e7043fdef6be44a94c3679b6	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	253	255	operator >=	(H2EnumStorage<Enum,Storage> lhs,Enum rhs)	cpp	constexpr		read	c8b3a77d6f2582db243d34320765371939bcd22ff92ab753c9e1dcba99553ec4	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	260	260	H2SteppedEnumStorage::H2SteppedEnumStorage	()	cpp-default-or-delete	default		read	d1f7165b1114a01d7f0f54655a020123df348d5173d3be77fbd86ad11294aad4	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	261	261	H2SteppedEnumStorage::H2SteppedEnumStorage	(Enum value)	cpp	constexpr		read	e9964d6c7ab8e6e69489fd793a527086e3d2b0e1ef45c703863b93e9c7ec4a7d	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	263	263	H2SteppedEnumStorage::operator Enum	() const	cpp	const,constexpr		read	82bc47c7c7eb6286cc989314b2f33d17ada08a491cafa4f29ee2bca7b0dc0742	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	267	269	H2SteppedEnumStorage::operator Integer	() const	cpp	const,explicit,constexpr		read	ed81f9c57116e8c30c96c538be5339f876b199c8606dedb1a74060662892cdf2	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	271	274	H2SteppedEnumStorage::operator =	(Enum value)	cpp			read	12c680cd74cdbbe0652608a80616f8ffcd544ee2f662aca5cc8d21e56b2ff5ca	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	276	279	H2SteppedEnumStorage::operator =	(Storage value)	cpp			read	da43bafdf9a6ba7b4481022fe4d5b39994febe094380f9f07af13cdc5587fd84	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	281	284	H2SteppedEnumStorage::operator ++	()	cpp			read	af25c2c683ffc5deb9ff487350378a645d3180f1cbfb97ce940a1aabf8b282eb	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	286	290	H2SteppedEnumStorage::operator ++	(i32)	cpp			read	af1ffbda7225a1b70974464eb0ac180c81fc0235cfd4c12c92ae52a53237d555	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	292	295	H2SteppedEnumStorage::operator --	()	cpp			read	e6b884b173277d291cca87b68847965bff2e4e4cff9fc7b25d6556beeaf9d97b	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	297	301	H2SteppedEnumStorage::operator --	(i32)	cpp			read	7add92227d37c4447f7654eba85a91da9929f96a264b5efbbcab2b2f7b890b16	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	303	306	H2SteppedEnumStorage::operator +=	(i32 amount)	cpp			read	fa5f0792256d105047e39b6a000d2049d3ec29d7deccaa5e997d42bb5fba667e	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	308	311	H2SteppedEnumStorage::operator -=	(i32 amount)	cpp			read	5a6bb7217edc74e24f9657223e594e9b0e19722805be5c9600fa105e3424ee6f	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	318	320	H2EnumIndex	(H2EnumStorage<Enum,Storage> value)	cpp	constexpr		read	2084188a61a4300d7501b7f58a7276502ad82f70f846b9868222f6b249ad58ef	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	323	325	H2EnumIndex	(H2SteppedEnumStorage<Enum,Storage> value)	cpp	constexpr		read	7e64057fca0c93993d940a1be10eed0cbb4133aad0fa88a79df45661cacc92a2	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	328	330	H2EnumIndex	(Value value)	cpp	constexpr		read	273b7bddf11225b6077bfec03a7d2b4f14906c0ae155063a04f809fa37fe4484	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/SOURCE/KB.h	64	70	OppositeCampaignSide	(CampaignSide side)	cpp	inline		unread	3223cfc233cfb4818c5f07207e4279e3ecba87155c73cf71674fed5095534280	STALE: B10: complete declarations/domains and two inline bodies; map-extra operand contracts; implementation covered B43; H15/R12
include/SOURCE/KB.h	491	499	CyrillicToUpper	(char c)	cpp	inline		unread	cf0141b88b28630330f70861df734d9b2d88c302233c6dba7d20143c66b414d1	STALE: B10: complete declarations/domains and two inline bodies; map-extra operand contracts; implementation covered B43; H15/R12
include/SOURCE/KB.h	501	509	CyrillicToLower	(char c)	cpp	inline		unread	cad87240f768175820bad986212db6ad696ce0cb7cf9ff262c0e3a33a052a4c4	STALE: B10: complete declarations/domains and two inline bodies; map-extra operand contracts; implementation covered B43; H15/R12
include/SOURCE/KB_TYPES.h	73	75	OppositeMapDirection	(MapDirection direction)	cpp	inline		unread	8bb768601fd1c0a8741cfbae77f3a4752fa79af915722c8d4a2193c03ec0e12a	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	184	187	NextCreatureType	(CreatureType creatureType)	cpp	inline		unread	8ef854649e94fbd8f6442b363374332afb626debc97297a3ae151df565bbad6b	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	387	387	MapTriggerActionFlag::operator i32	() const	cpp	const,constexpr		unread	6f125706d7bff5f7a9d4669578936e2a7e087c79a79d925736f2d1bef685f322	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	392	392	MapTriggerTypeMask::operator i32	() const	cpp	const,constexpr		unread	88991b8b630a5da9e076ff62b3451b541d3423405c84f06b0052582488f7c8de	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	536	536	MapTriggerCode::MapTriggerCode	()	cpp-default-or-delete	default		unread	3ac6e5fb3fc614893773dffeb0567d3ff31a73b979333f352fd9a860b4a873ac	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	537	537	MapTriggerCode::MapTriggerCode	(MapObjectType object)	cpp	constexpr		unread	8887485c206cc41697cc066996766b39388313e179b2f914ed4907cd6ee157fd	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	538	538	MapTriggerCode::MapTriggerCode	(i32 value)	cpp	explicit,constexpr		unread	a89a0dfe49afadfbc72063cf5472c42a50e237814e2b846dc52554c2dbb4c413	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	539	539	MapTriggerCode::operator i32	() const	cpp	const,constexpr		unread	e198458ef1f00623215d743a30b16e5e9233c8b31a60679fc7d93bba97a16106	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	545	547	MapActionTrigger	(MapObjectType object)	cpp	inline,constexpr		unread	1bc7c9049dddb82859c40e00bc00a01b742580a083b418ad14c0528e037b1be7	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	549	551	MapTriggerObject	(MapTriggerCode trigger)	cpp	inline,constexpr		unread	793f0861aa32db9d17e0f0d3f25f3f30e7d9f11291481ca7da7895b196447623	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	553	555	MapTriggerIsAction	(MapTriggerCode trigger)	cpp	inline,constexpr		unread	d34e4719ef3e4b1f718e53928e7aea6fc846a7808598280db6e3d0e88729d2a3	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	557	561	MapTriggerWithObject	(MapTriggerCode trigger,MapObjectType object)	cpp	inline,constexpr		unread	9f7c48c4f51e4c3922ed0084737aeaf5d354507bdf3ef392b3eee8dc9cbdcf2f	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	563	565	operator ==	(MapTriggerCode trigger,MapObjectType object)	cpp	inline,constexpr		unread	429ae46c5f31dfa2e666cfeedc5bd9a69d5d79b1004dbd8df2dc36e5dd5e6cd1	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	567	569	operator ==	(MapObjectType object,MapTriggerCode trigger)	cpp	inline,constexpr		unread	84494b5cfacb8dd8b43bd4c83e7016d6df5a313bd9b9857ae8f9b6359c203cbb	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	571	573	operator !=	(MapTriggerCode trigger,MapObjectType object)	cpp	inline,constexpr		unread	1cd3d25c8ab050e44ea050d98ad083a6415222ac6e5b8fde57008225dfc1706e	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	575	577	operator !=	(MapObjectType object,MapTriggerCode trigger)	cpp	inline,constexpr		unread	cd2dc5723da84305c865741825d47243b4c7caeb70788792a4e24ce4c58f3b15	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	579	581	operator |	(MapTriggerActionFlag,MapObjectType object)	cpp	inline,constexpr		unread	1d8291b42b3e09a8e5d63a12d9854341629e74e09e08b48d51d523d590281e60	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	583	585	operator |	(MapObjectType object,MapTriggerActionFlag flag)	cpp	inline,constexpr		unread	41b3fff091a712d38782102abcbdf69bf8ff303f857df1d79a8ad768d5843127	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	587	589	operator &	(MapTriggerCode trigger,MapTriggerTypeMask)	cpp	inline,constexpr		unread	8ec56e37710ff9d7db14c270359bd5d4ce73167bcf6bd0c6508d4d31c6344bf0	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	592	596	operator ==	(H2OpenCodeStorage<MapTriggerCode,Storage> trigger,MapObjectType object)	cpp	inline,constexpr		unread	60617328aacf360b4e13d87f0c3684b30d835ad5de33c1dddb23ba5bc639a63e	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	599	603	operator ==	(MapObjectType object,H2OpenCodeStorage<MapTriggerCode,Storage> trigger)	cpp	inline,constexpr		unread	b2b6b201350e481c2ef9e9f5449a1a13ad6043ce2a039eba67d85e8f16351751	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	606	610	operator !=	(H2OpenCodeStorage<MapTriggerCode,Storage> trigger,MapObjectType object)	cpp	inline,constexpr		unread	5043ae86cbddd087469961bf76244eaea1c5646fbbd6897201eeb4ac4272d262	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	613	617	operator !=	(MapObjectType object,H2OpenCodeStorage<MapTriggerCode,Storage> trigger)	cpp	inline,constexpr		unread	1d87336c47a53b6fb861a2f2f4628201bcab25aff6eed83526524307b71b4e7b	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	620	624	operator &	(H2OpenCodeStorage<MapTriggerCode,Storage> trigger,MapTriggerTypeMask)	cpp	inline,constexpr		unread	caa70ebdd85eb13690199a89917b7dc1abb0d052911ef0221340f1edbebb5044	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	627	632	operator &=	(H2OpenCodeStorage<MapTriggerCode,Storage> & trigger,MapTriggerTypeMask mask)	cpp	inline		unread	43f89f59da9e3d68bdf73deb47414b18293e5a43dd618141fd5616d86904ce69	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
include/SOURCE/KB_TYPES.h	635	640	operator |=	(H2OpenCodeStorage<MapTriggerCode,Storage> & trigger,MapTriggerActionFlag)	cpp	inline		unread	d7c8b5e834f1ca358570305055b4b8239c5da0be2c517d357decbf89903c3011	STALE: B10: complete domains/layouts and all 26 helper/strict-bridge bodies; trigger and direction vocabulary; R12
