tu	rva	function	callsites	old_metadata	recovered_file_and_lines	before_match	after_match	reloc_audit	source_sha_before	source_sha_after	disposition
MOUSEMGR	0xc93f0	mouseManager::Close	FREE,FREE	__FILE__/__LINE__ x2	MOUSEMGR.CPP:0x14a,0x14e	98.83	98.85	14/14 only-base=0	72de4a389e11fddce4fac994be18bdbc6b9e72c531fe24cfdf994e69517ab797	3a2c305c6c7414f493cc615af37dda02b8c303a3673732005e236742f05eac3a	IMPROVED
MOUSEMGR	0xc94f0	mouseManager::SetPointer(char*,int,int)	ASSERT	__FILE__/__LINE__	MOUSEMGR.CPP:0x19a	100.00	100.00	20/20 only-base=0	72de4a389e11fddce4fac994be18bdbc6b9e72c531fe24cfdf994e69517ab797	3a2c305c6c7414f493cc615af37dda02b8c303a3673732005e236742f05eac3a	EXACT_PIN_HELD
MOUSEMGR	0xc9630	mouseManager::SetPointer(int)	ASSERT,ALLOC,ALLOC,ASSERT,ASSERT	__FILE__/__LINE__ x5	MOUSEMGR.CPP:0x1ca,0x1e0,0x1e1,0x202,0x215	94.34	94.34	69/70; 3 helper alias warnings manually known	72de4a389e11fddce4fac994be18bdbc6b9e72c531fe24cfdf994e69517ab797	3a2c305c6c7414f493cc615af37dda02b8c303a3673732005e236742f05eac3a	BYTE_NEUTRAL
Misc	0xc66d0	CreatePCXFile	ALLOC,FREE,ALLOC,FREE	explicit Misc.cpp:0x5c8,0x5f0,0x5f6,0x5fb	Misc.cpp:0x5c8,0x5f0,0x5f6,0x5fb	98.04	98.04	14/14 only-base=0	5102fea475dcde5b4cf4a5b168fd3f53007e456a5cf4375087d06b75add400f2	c7e41fc20079dd7a8e350db68c88020ad1ca0429c1b53c2f2f272b15db6be1c0	RETAINED_MAX_AND_RAW_STRUCTURE_PRESERVED
PALETTE	0xd2580	palette::palette()	ALLOC	__FILE__/__LINE__	PALETTE.CPP:8	99.94	100.00	4/4 only-base=0	6d9aa15fca4ec5f20d84f46f632011d26e26090bff2ee40f25b9e6543c6b42ed	f9fcb1fd9461e9e78a42d9f99c1ba4e0df6f13469b76178301571138fc82c339	NEW_EXACT
PALETTE	0xd2600	palette::palette(unsigned long)	ALLOC	__FILE__/__LINE__	PALETTE.CPP:13	99.96	100.00	8/8 only-base=0	6d9aa15fca4ec5f20d84f46f632011d26e26090bff2ee40f25b9e6543c6b42ed	f9fcb1fd9461e9e78a42d9f99c1ba4e0df6f13469b76178301571138fc82c339	NEW_EXACT
PALETTE	0xd2660	palette::~palette	FREE	__FILE__/__LINE__	PALETTE.CPP:21	99.93	100.00	4/4 only-base=0	6d9aa15fca4ec5f20d84f46f632011d26e26090bff2ee40f25b9e6543c6b42ed	f9fcb1fd9461e9e78a42d9f99c1ba4e0df6f13469b76178301571138fc82c339	NEW_EXACT
RESMGR	0xc89e0	resourceManager::Close	FREE	__FILE__/__LINE__	RESMGR.CPP:0x1da	99.98	100.00	4/4 only-base=0	1ea309b8eb225f9597e3d4193b7956be25a7644ff5a048ec4b027a500a17dd0f	91629f9a44388ca05516566e0facb4f8e6968d5655527834593b4018ead1b73e	NEW_EXACT
RESMGR	0xc8ab0	resourceManager::LoadAggregateHeader	ALLOC	__FILE__/__LINE__	RESMGR.CPP:0x21e	99.94	99.95	15/15 only-base=0	1ea309b8eb225f9597e3d4193b7956be25a7644ff5a048ec4b027a500a17dd0f	91629f9a44388ca05516566e0facb4f8e6968d5655527834593b4018ead1b73e	IMPROVED
RESMGR	0xc8ee0	resourceManager::ReadByte	ASSERT	__FILE__:0x2bf	RESMGR.CPP:0x2bf	100.00	100.00	4/4 only-base=0	1ea309b8eb225f9597e3d4193b7956be25a7644ff5a048ec4b027a500a17dd0f	91629f9a44388ca05516566e0facb4f8e6968d5655527834593b4018ead1b73e	EXACT_PIN_HELD
RESMGR	0xc8f70	resourceManager::ReadWord	ASSERT	__FILE__:0x2dc	RESMGR.CPP:0x2dc	100.00	100.00	4/4 only-base=0	1ea309b8eb225f9597e3d4193b7956be25a7644ff5a048ec4b027a500a17dd0f	91629f9a44388ca05516566e0facb4f8e6968d5655527834593b4018ead1b73e	EXACT_PIN_HELD
RESMGR	0xc9000	resourceManager::ReadLong	ASSERT	__FILE__:0x2f8	RESMGR.CPP:0x2f8	100.00	100.00	4/4 only-base=0	1ea309b8eb225f9597e3d4193b7956be25a7644ff5a048ec4b027a500a17dd0f	91629f9a44388ca05516566e0facb4f8e6968d5655527834593b4018ead1b73e	EXACT_PIN_HELD
RESMGR	0xc91b0	resourceManager::ReadBlock	ASSERT	__FILE__:0x330	RESMGR.CPP:0x330	100.00	100.00	12/12 only-base=0	1ea309b8eb225f9597e3d4193b7956be25a7644ff5a048ec4b027a500a17dd0f	91629f9a44388ca05516566e0facb4f8e6968d5655527834593b4018ead1b73e	EXACT_PIN_HELD
SAMPLE	0xdad60	sample::sample	ALLOC	__FILE__/__LINE__	SAMPLE.CPP:0x39	96.75	96.75	7/23 only-base=0 (delink boundary)	c2ff7da73626698718fa2454b09dd452b06d71299631be58ec1517b269b176c9	5d0cf2419085c7932f2e78742e41c38f9827e1462bef3d063413c95277711851	BYTE_NEUTRAL
SAMPLE	0xdaf40	sample::~sample	FREE	__FILE__/__LINE__	SAMPLE.CPP:0x61	100.00	100.00	4/4 only-base=0	c2ff7da73626698718fa2454b09dd452b06d71299631be58ec1517b269b176c9	5d0cf2419085c7932f2e78742e41c38f9827e1462bef3d063413c95277711851	EXACT_PIN_HELD
SAMPLE	0xdaf70	MIDIWrap::MIDIWrap	ALLOC	__FILE__/__LINE__	SAMPLE.CPP:0x6e	100.00	100.00	12/12 only-base=0	c2ff7da73626698718fa2454b09dd452b06d71299631be58ec1517b269b176c9	5d0cf2419085c7932f2e78742e41c38f9827e1462bef3d063413c95277711851	EXACT_PIN_HELD
SAMPLE	0xdb030	MIDIWrap::~MIDIWrap	FREE	__FILE__/__LINE__	SAMPLE.CPP:0x76	100.00	100.00	4/4 only-base=0	c2ff7da73626698718fa2454b09dd452b06d71299631be58ec1517b269b176c9	5d0cf2419085c7932f2e78742e41c38f9827e1462bef3d063413c95277711851	EXACT_PIN_HELD
TEXTWDGT	0xd1160	textWidget::Read	ALLOC	explicit TEXTWDGT.CPP:0x39	TEXTWDGT.CPP:0x39	100.00	100.00	30/30 only-base=0	39ef2de7c0330d549af90ab8a9a3b39c4f13e30420601d5e480dfa6a590d6dd8	b8380141fa855da47a39d2a644a5ddf612e72252bdba0f2e81b593108f35fc97	EXACT_PIN_HELD
TEXTWDGT	0xd1250	textWidget::~textWidget	FREE	explicit TEXTWDGT.CPP:0x55	TEXTWDGT.CPP:0x55	100.00	100.00	6/6 only-base=0	39ef2de7c0330d549af90ab8a9a3b39c4f13e30420601d5e480dfa6a590d6dd8	b8380141fa855da47a39d2a644a5ddf612e72252bdba0f2e81b593108f35fc97	EXACT_PIN_HELD
TEXTWDGT	0xd1280	textWidget::Main	FREE,ALLOC	explicit TEXTWDGT.CPP:0xd3,0xd4	TEXTWDGT.CPP:0xd3,0xd4	99.63	99.63	6/6 only-base=0	39ef2de7c0330d549af90ab8a9a3b39c4f13e30420601d5e480dfa6a590d6dd8	b8380141fa855da47a39d2a644a5ddf612e72252bdba0f2e81b593108f35fc97	BYTE_NEUTRAL
TEXTWDGT	0xd14f0	textWidget::SetText	FREE,ALLOC	explicit TEXTWDGT.CPP:0xd3,0xd4	TEXTWDGT.CPP:0xd3,0xd4	100.00	100.00	4/4 only-base=0	39ef2de7c0330d549af90ab8a9a3b39c4f13e30420601d5e480dfa6a590d6dd8	b8380141fa855da47a39d2a644a5ddf612e72252bdba0f2e81b593108f35fc97	EXACT_PIN_HELD
TILESET	0xdac60	tileset::tileset	ALLOC	__FILE__/__LINE__	TILESET.CPP:0x12	99.98	100.00	14/14 only-base=0	38ab2985a179fa04ade60928acb28fae685162e3d988ab58b96d10e3d4bd1a7c	57c66df0336237926a38ceb4a7637fccb8ba16415a5dbc527a5102b85b38b56e	NEW_EXACT
TILESET	0xdad30	tileset::~tileset	FREE	__FILE__/__LINE__	TILESET.CPP:0x1c	99.91	100.00	4/4 only-base=0	38ab2985a179fa04ade60928acb28fae685162e3d988ab58b96d10e3d4bd1a7c	57c66df0336237926a38ceb4a7637fccb8ba16415a5dbc527a5102b85b38b56e	NEW_EXACT
Textntry	0xd87b0	textEntryWidget::textEntryWidget	ALLOC	__FILE__/__LINE__ (#line 61)	Textntry.cpp:0x3e	98.65	98.65	6/6 only-base=0	ac8dd08884961ba6d73e8a312391cdeecac71ba132f5badef5f79201a63b34d8	301cf4947cc683e71f2bf8bf26118dee996d70ed628b771de76e86e7cc9fd46a	BYTE_NEUTRAL
Textntry	0xd8920	textEntryWidget::Read	ALLOC	__FILE__/__LINE__ (#line 99)	Textntry.cpp:0x63	98.68	98.68	52/52 only-base=0	ac8dd08884961ba6d73e8a312391cdeecac71ba132f5badef5f79201a63b34d8	301cf4947cc683e71f2bf8bf26118dee996d70ed628b771de76e86e7cc9fd46a	BYTE_NEUTRAL
Textntry	0xd8b90	textEntryWidget::Main	FREE,ALLOC	__FILE__/__LINE__ (#line 388,389)	Textntry.cpp:0x184,0x185	99.85	99.85	18/55 only-base=0 (delink boundary)	ac8dd08884961ba6d73e8a312391cdeecac71ba132f5badef5f79201a63b34d8	301cf4947cc683e71f2bf8bf26118dee996d70ed628b771de76e86e7cc9fd46a	BYTE_NEUTRAL
WINMGR	0xcb1e0	heroWindowManager::FizzleForward	ALLOC,ALLOC,FREE,FREE	__FILE__:808,810,897,898	WINMGR.CPP:808,810,897,898	88.67	88.67	33/33 only-base=0	9806237846bebd5b428b9453d0da400660dd0c63fb43e39bafd98dc2849af892	d8f625bc3d3d2637c808e73b2e3a3e25d30cf9a583e1efa48459f59440994635	BYTE_NEUTRAL
droplist	0xdbf60	dropListWidget::~dropListWidget	FREE,FREE	__FILE__:25,27	droplist.cpp:25,27	100.00	100.00	10/10 only-base=0	65610405f395c0f78bf14d329a5830f870bb32b4e8734e4d4862a7083a967514	5b004b68781a858312492c3f3fbd9997336cef0c07b08a032b926f49544ac679	EXACT_PIN_HELD
droplist	0xdc200	dropListWidget::DeleteItem	FREE,FREE,ALLOC,FREE	__FILE__:111,112,117,123	droplist.cpp:111,112,117,123	100.00	100.00	8/8 only-base=0	65610405f395c0f78bf14d329a5830f870bb32b4e8734e4d4862a7083a967514	5b004b68781a858312492c3f3fbd9997336cef0c07b08a032b926f49544ac679	EXACT_PIN_HELD
droplist	0xdc2e0	dropListWidget::Main	ALLOC,ALLOC,FREE,FREE,ALLOC	__FILE__:184,187,191,173,174	droplist.cpp:184,187,191,173,174	99.87	99.87	3/22 only-base=0 (delink boundary)	65610405f395c0f78bf14d329a5830f870bb32b4e8734e4d4862a7083a967514	5b004b68781a858312492c3f3fbd9997336cef0c07b08a032b926f49544ac679	BYTE_NEUTRAL
listbox	0xdb0d0	listBoxWidget::~listBoxWidget	FREE,FREE	__FILE__/__LINE__ (#line 25,27)	listbox.cpp:25,27	100.00	100.00	11/11 only-base=0	a81adc0db8c9c8e20995a5f123cf218cd8746974d728d677cc1ce95c0ee4782f	9c044bc5762a8bf74538cb6695f2bcf17a0b02465bf03fe2009c6c9781f91a36	EXACT_PIN_HELD
listbox	0xdb3d0	listBoxWidget::DeleteItem	FREE,FREE,ALLOC,FREE	__FILE__/__LINE__ (#line 156,162,169)	listbox.cpp:156,157,162,169	100.00	100.00	8/8 only-base=0	a81adc0db8c9c8e20995a5f123cf218cd8746974d728d677cc1ce95c0ee4782f	9c044bc5762a8bf74538cb6695f2bcf17a0b02465bf03fe2009c6c9781f91a36	EXACT_PIN_HELD
listbox	0xdb520	listBoxWidget::Main	FREE,ALLOC,ALLOC,ALLOC,FREE	__FILE__/__LINE__ (#line 222,233,236,240)	listbox.cpp:222,223,233,236,240	99.61	99.61	4/23 only-base=0 (delink boundary)	a81adc0db8c9c8e20995a5f123cf218cd8746974d728d677cc1ce95c0ee4782f	9c044bc5762a8bf74538cb6695f2bcf17a0b02465bf03fe2009c6c9781f91a36	BYTE_NEUTRAL
