variant	source_sha256	widget_header_sha256	unit_fuzzy	ctor_fuzzy	main_fuzzy	exact_functions	masked_raw_pins	outcome
Open local zero result	8184d948b50afe87087369c0eb4e06d357b719e443ec2a6f60bb3fe36d553000	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	97.30866	97.95652	99.20000	3	Open delta0; Main delta12; Dim delta39	REJECT exact predecessor perturbs exact Dim
Open MESSAGE_NONE return	ad3197fcc6cab6adefe7557b42cef4a7f0b924744c7d34254f710975f1194ac3	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.11833	97.95652	99.20000	4	Open delta0; canonical Main/Dim pins	REJECT no byte change
Open semantic parameter names	c9b9069603001e829966ee1b554606b12b7a885782cb5b943e3db5c9502b8183	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.11833	97.95652	99.20000	4	Open delta0; canonical Main/Dim pins	REJECT no byte change
Open explicit short cast	9ca6d8daff0c36ab46e3ec2f9eda3d59a8b046d4d9a908eb5c1cd087fd621348	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	97.30866	97.95652	99.20000	3	Open delta0; Main delta12; Dim delta39	REJECT exact predecessor perturbs exact Dim
default ctor zero local	3dbc6c8911dc979c29dc6081dc6d93e531bbafc8bb017564dd9c08337d885349	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	97.30866	97.95652	99.20000	3	default ctor delta0; Main delta12; Dim delta39	REJECT exact predecessor perturbs exact Dim
default ctor size local	87235c077611cdd74cfe99226cbdbfee83a92cfbc2233c6c2030ba44dda2f426	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	97.30866	97.95652	99.20000	3	default ctor delta0; Main delta12; Dim delta39	REJECT exact predecessor perturbs exact Dim
default ctor chained width and height	5654c60c74668115ba98250882c7ef78ac22895465bf4a3c8633d6668c885073	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.11833	97.95652	99.20000	4	default ctor delta0; canonical Main/Dim pins	REJECT no byte change
default ctor chained pointers coordinates and size	b44c8871c60091258672bbdf35b07effbbd9de3c06c26eb36fd6870772f37182	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.11833	97.95652	99.20000	4	default ctor delta0; canonical Main/Dim pins	REJECT no byte change
destructor explicit void parameter	6bc8247b853e5ac2c09c64ce07597a5f1a3cd715c023f7f2a92abb4a325ac863	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	97.30866	97.95652	99.20000	3	dtor delta0; Main delta12; Dim delta39	REJECT exact predecessor perturbs exact Dim
default constructor empty parameter list	a0ae483d8fc6444bb526a8adf0288f4cef1e3f0c1980568b0f313db2134cf757	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.11833	97.95652	99.20000	4	default ctor delta0; canonical Main/Dim pins	REJECT no byte change
Close empty parameter list	9ce74a6f914b99b6adac2865409a2a2513e2c3546ef33161f3d0004b9b74d49d	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.11833	97.95652	99.20000	4	Close delta0; canonical Main/Dim pins	REJECT no byte change
Main explicit struct signature	e37499aad9e2c588fa5636c3f0f31bcd46e970ad38a4861cf326f3272b96f475	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.11833	97.95652	99.20000	4	canonical raw pins	REJECT no byte change
Main const owner pointer	911babec4f777db3985b6815073d0871890011c106c557ff89bf4f4a3a55f301	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.11833	97.95652	99.20000	4	canonical raw pins	REJECT no byte change
Main const left coordinate	f4845c235db20aabf6d813fee2b41528e0658a2658e16bf8a6bcbc5be7e1a0b8	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.11833	97.95652	99.20000	4	canonical raw pins	REJECT no byte change
Main BORDER-style positive direct bounds	e77dbd9b35d83c9df5d39c9d5d68aa5883d3ae86d309d9cdc1446c527b6fbba3	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.06834	97.95652	99.13333	4	Main delta16 rel17/17; Dim delta0 rel2/2	REJECT loses explicit-lifetime gain
enum order command-argument-flags	8337bc33368f5cb334ec9903643adef5328cdf0ec7e1edfb0b02db3bdeaac253	5a566994e932a4a3c6ac43215977e5ae28b3c0acbfe1678d9e0dfe7e359fae0c	99.11833	97.95652	99.20000	4	canonical raw pins	REJECT no byte change
enum order argument-flags-command	8337bc33368f5cb334ec9903643adef5328cdf0ec7e1edfb0b02db3bdeaac253	aa4341896537a5534afcde5a64b0b774fec90dc6433a85aa3365558a0f02c86e	99.11833	97.95652	99.20000	4	canonical raw pins	REJECT no byte change
forward declaration order swapped	8337bc33368f5cb334ec9903643adef5328cdf0ec7e1edfb0b02db3bdeaac253	8c8f774a97b80bb3d56640c2e3d746067ba16741c99ed6e5253b70dd77da771e	99.11833	97.95652	99.20000	4	canonical raw pins	REJECT no byte change
pack scope includes enums	8337bc33368f5cb334ec9903643adef5328cdf0ec7e1edfb0b02db3bdeaac253	d49147674e65efe98f032187463be77e642204e446850d305cf98bca001b5f32	99.11833	97.95652	99.20000	4	canonical raw pins	REJECT no byte change
constructor parameter names in declaration	8337bc33368f5cb334ec9903643adef5328cdf0ec7e1edfb0b02db3bdeaac253	a4b5e4ce6e5790f90684aabc8798ca49340ae3a06b53046c0a3fcf1253eab77b	99.11833	97.95652	99.20000	4	canonical raw pins	REJECT no byte change
method declaration order follows retail emission	8337bc33368f5cb334ec9903643adef5328cdf0ec7e1edfb0b02db3bdeaac253	40e09eaf41a04a983a7b1cb0157a5cd0b983d28e1c4b2d92fc22e1032bb9b1a1	99.11833	97.95652	99.20000	4	canonical raw pins	REJECT no byte change
unsigned flags field	8337bc33368f5cb334ec9903643adef5328cdf0ec7e1edfb0b02db3bdeaac253	e621beaad8800031be94b0a8cd38dfd1433922b6796de89723250a2d233a42c2	99.08585	97.95652	99.15667	4	Main delta238 rel17/17; Dim delta0 rel2/2	REJECT signed field is required by current matching expressions
semantic ctor parameters plus mouse-X/Y-before-left lifetime	b7d4fed8584c1d4ba27a38b14bbd32d9f33428a5691e7d715b18c1cac214c7e5	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.33084	97.95652	99.48333	4	ctor delta10 rel1/1; Main delta8 rel17/17; Dim delta0 rel2/2	RETAIN x/y declaration priority fixes mouse-X register and preserves every exact sibling
retail-timed top snapshot after first rejection	2a6a78e28d4fe70978590d4058ad747306ea40648fcabc0f6ff6d62b93034e29	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	98.18379	97.95652	99.71667	3	Main delta6 rel17/17; Dim delta25 rel2/2	REJECT improves Main register coloring but perturbs exact Dim through combined TU state
current semantic-parameter constructor libclang AST rerun (120 walks)	b7d4fed8584c1d4ba27a38b14bbd32d9f33428a5691e7d715b18c1cac214c7e5	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.33084	97.95652	99.48333	4	ctor delta10 rel1/1; Main delta8 rel17/17; Dim delta0 rel2/2	REJECT no improving sibling-pinned syntax-aware mutation; regex permuter not used
direct tag-message header before KB and before widget header	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.33084	97.95652	99.48333	4	canonical raw pins in both include positions	REJECT direct dependency order is byte-identical and does not steer current tuple
top snapshot plus both direct tag-message header positions	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	98.18379	97.95652	99.71667	3	Main delta6 rel17/17; Dim delta25 rel2/2	REJECT header order leaves improved-Main/exact-Dim conflict byte-identical
top snapshot plus exact Open/default-ctor local state (representative)	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	97.12	97.95652	98.95000	3	Open/default ctor remain delta0; Main regresses; Dim 74.31 rel2/2	REJECT both exact predecessor spellings reach the same worse downstream state
top snapshot plus Dim declaration-order/operand-order/scope/qualifier retunes	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	98.18379	97.95652	99.71667	3	Main delta6; Dim delta25 for swapped declarations, commutative orders, nested scope, register/const hints	REJECT byte-identical to documented top snapshot; typed owner lifetime regresses Dim to 61.85
constructor dimension type/expression family	NA	NA	99.33084	97.95652	99.48333	4	const/register height parameter; signed-to-unsigned width conversion; unary-plus width; inline SetWidth; WidgetDimension typedef all emitted canonical ctor/Main bytes	REJECT no byte change; restored canonical signed-short owner layout
constructor explicit X/height snapshot family	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.33084	97.95652	99.48333	4	height snapshot alone and paired X/height bounds snapshots emitted canonical ctor/Main bytes	REJECT optimizer removes snapshots without changing the lifetime graph
constructor width-position boundary sweep	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.33084	97.95652	99.48333	4	width after Y before next, canonical before prev, and after prev emit canonical bytes; before Y swaps Y/width stores; after flags advances Y store	RETAIN canonical before-prev source; after-prev full-build state also leaves Main and exact Dim unchanged
constructor adjacent width-height group	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	regressed	regressed	NA	NA	placing height immediately after width pushes EBP, grows code from 0x5a to 0x5c, and stores width at +0x2c	REJECT retail has one saved register and delayed width/height stores
constructor height-width source swap	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	regressed	97.95652	99.48333	4	height loads early but stores to +0x1e at retail's width-store site and width to +0x1c at retail's height-store site	REJECT correct register timing with wrong member-store order is not structural progress
2158e9b combined source-order proof audit	2509ef1f1714f21e8b5bcac286b9b708a39ba800744bf334ce8bddb1435e3919	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.33084	97.95652	99.48333	4	candidate/retail obj 9cbf433eca8e88096d9970beb9b2e1a3b91cf292230718f70479cbd18dfdf336/ceeaa21f944162bee32e478c391b53d2bf6ed833090d00443c4265ad43115dbf; ctor 0x5a delta10 rel1/1; default ctor delta0 rel1/1; dtor delta0 rel1/1; Open delta0 rel0/0; Close C3 artifact rel0/0; Main 0x2f4 delta8 rel17/17; Dim delta0 rel2/2	NOT_A_WALL Main has a non-exact first predecessor; every other ordinary predecessor and successor pin is raw exact
constructor-only standalone probe	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	NA	97.95652	NA	NA	probe obj c4677508d1ac6c441e312ad97aff1350b43e0ec7df3b83637533eeddb40fbbf1; function raw ee6e87d747cf65adccf04858c985880787359376279e1c87d1234f0e26de3756; 0x5a delta10 at +02,+0c,+0f,+19,+1b,+1d,+24,+2c,+3c,+3e; rel1/1	REJECT standalone emits the combined candidate byte-for-byte, so standalone-exact proof fails
Main-only standalone probe	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	NA	NA	95.85333	NA	probe obj 59d376d80f48424e2b2252db24fc98c29f5a46e28b0f008ed22fe2e11b46155c; function raw 709c1e7398dbf88c636375773ecb3a3eaaff8fe26501af1f7c23efe85d6c4889; 0x2f4 delta408 first +23; rel17/17 with same eight external-target occurrences and nine local dispatch/table occurrences	REJECT standalone strongly regresses from combined delta8, so standalone-exact proof fails
constructor all-parameter local aliases	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.33084	97.95652	99.48333	4	all six parameters copied to semantic locals; canonical ctor bytes	REJECT optimizer erases aliases without changing the lifetime graph
constructor typed owner/link local publications	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.33084	97.95652	99.48333	4	separate heroWindow/widget null locals; canonical ctor bytes	REJECT optimizer folds typed locals to the canonical zero value
constructor pointer-member initializer group	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	regressed	96.65217	NA	NA	retail DX/BX/AX register graph recovered, but vtable relocation moves from +13 to +2a because MSVC publishes it after member initializers	REJECT right lifetimes with structurally wrong constructor phase
constructor grouped link body prefix	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	improved	98.60870	99.48333	4	DX x-to-height, BX y-to-id, AX zero-to-width-to-kind all match; first residual is Y store at +17 before owner instead of retail height load	RETAIN lifetime graph; continue with publication order
constructor grouped links plus explicit height snapshot	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	improved	98.60870	99.48333	4	byte-identical to grouped-link prefix	REJECT optimized snapshot does not steer the four-instruction window
constructor grouped links plus height-y-width publication	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	improved	99.73913	99.48333	4	instruction schedule exact; height/y/width occupy retail y/width/height lifetimes in a three-way role rotation	REJECT structural oracle only; member values are assigned to wrong schedule slots
constructor grouped links plus contiguous y-width-height publication	1007f3b0add763e8c58e017e09cb5dbcd268d8247c262a6b1b932c037e4605e9	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.50774	100.00000	99.48333	5	ctor raw delta0 rel1/1; default ctor/dtor/Open/Dim exact; Main delta8 rel17/17	RETAIN exact constructor; all ordinary predecessors of Main are now exact
exact ctor all-parameter local aliases under grouped publication	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	94.79	100.00000	95.60	4	ctor stays raw-exact rel1/1, but Main regresses and Dim falls to 74.31	REJECT exact predecessor body is insufficient; combined TU state loses exact sibling
exact ctor typed link locals and scalar snapshot family	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	regressed	100.00000	varied	4	typed owner/next/previous locals: Main 93.78 Dim 74.31; height or id snapshot: Main 99.48333 Dim 74.31; paired X/height snapshots: Main 99.48333 Dim 81.23	REJECT every exact constructor state perturbs exact Dim; two-link chained null publication is excluded because ctor itself falls to 99.91
exact ctor register-lifetime reuse family	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.50774	100.00000	99.48333	5	x reused for height, y for id, and width for kind tested singly and together; ctor delta0 rel1/1 and every exact sibling pinned	REJECT no Main byte change; all fully pinned variants combined with retail-timed top snapshot converge to Main 99.71667 and Dim 81.23/delta25
exact ctor neutral scope-order-qualifier family	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.50774	100.00000	99.48333	5	register height parameter; literal flags; legacy parameter names; id/kind before flags singly/together; link-only and dimension-only scopes all keep ctor and exact siblings pinned	REJECT no Main byte change; each representative top-snapshot cross converges to Main 99.71667 and Dim 81.23/delta25
top snapshot dispatcher-only libclang pass	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	98.37	100.00000	99.71667	4	68 exhaustive single mutations plus bounded combined walks after MESSAGE_WIDGET; declaration splits, const/register qualifiers, semantic local names, commutative/relational order, independent assignments; ctor and ordinary predecessors pinned exact	REJECT no variant improved the Main 99.71667 / Dim 81.23077 tuple; mouse predicate excluded and regex permuter not used
top snapshot later typed-lifetime family	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	varied	100.00000	95.45-99.71667	3-4	owner and screen snapshots in both draw paths; command/value/mask snapshots; SET_X/Y/WIDTH payload locals; canonical and top-snapshot anchors rel17/17 with no new external target introduced	REJECT byte-neutral owner/mask/SET aliases moved Dim to 74.30769; other aliases regressed Main to 95.45-98.95 and never restored exact Dim
top snapshot later source-boundary family	NA	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	98.37	100.00000	99.71667	4	merged coordinate declarations; explicit DRAW/SET_FLAGS/MESSAGE_WIDGET case scopes; Main parameter rename; SET/CLEAR/coordinate early-rejection CFGs	REJECT every variant emitted the same Main 99.71667 / Dim 81.23077 tuple; canonical source retained to pin exact Dim
macro-neutral SIZE root retest	NA	NA	macro-head	100.00000	93.89	varied	identical canonical source after a237782: ctor remains exact, Main 93.89 rel17/17 only-base0, Dim 74.31	STATE_INVALIDATION old Main/Dim fuzzy and exact-Dim pins are hash-local; unchanged relocation structure and prior CFG audit remain structural evidence, while coloring is deferred to whole-TU fuzzing
