recorded_utc	unit	symbol	src_hash	score	seed	trial	family	insertion	tag	run_dir
2026-07-23T15:47:34+00:00	BASE/BUTTON	?Select@button@@QAEFAAUtag_message@@@Z	1cda229372ff	100.0000	1213156658	20	member	target	484f4d32-0020-041c424a	20260723-154728-BASE-BUTTON-0xddc70
2026-07-24T03:28:35+00:00	SOURCE/TOWNMGR	?SetupMage@townManager@@QAEXPAVheroWindow@@@Z	f3b6c4fe8519	100.0000	1213156658	10	prototype	top	484f4d32-0010-51a53958	20260724-032828-SOURCE-TOWNMGR-0x18fbb
2026-07-25T18:14:23+00:00	SOURCE/PHILAI	?EvaluateMineEvent@philAI@@QAEHHHHPAH@Z	2db6b4f2fea6	100.0000	1213156658	1	forest	target	484f4d32-0001-76e1c088	20260725-201415-SOURCE-PHILAI-0x4661e
2026-07-25T18:14:31+00:00	SOURCE/PHILAI	?GetBestBuilding@philAI@@QAEXPAVtown@@AAUBHC@@AAM@Z	b5c8e9544d65	100.0000	1213156658	1	forest	target	484f4d32-0001-76e1c088	20260725-201423-SOURCE-PHILAI-0x3d6b7
2026-07-25T21:08:32+00:00	SOURCE/TOWNMGR	?SortStats@@YIXQAJQAC@Z	b1cdf5f858d2	100.0000	1213156658	1	forest	target	484f4d32-0001-76e1c088	20260725-230825-SOURCE-TOWNMGR-0x1bbfc
2026-07-26T21:23:54+00:00	SOURCE/GAME	?GetNumThievesGuilds@game@@QAEHH@Z	d80f3564c86e	100.0000	1213156658	20	forest	target	484f4d32-0020-9dffed7e	GetNumThievesGuilds-master-final
2026-07-28T02:33:19+00:00	BASE/Icon2b	?IconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	78418a9d23b8.02e5f0cc8453	79.5989	1213156658	58	forest	top	484f4d32-0058-8f64896b	Icon2b-hoist64-20260728
2026-07-28T02:34:57+00:00	BASE/Icond2b	?DimIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	45848b1d59ec	78.8563	1213156658	18	forest	top	484f4d32-0018-5aee332b	Icond2b-hoist64-20260728
2026-07-28T02:37:38+00:00	BASE/Icondf2b	?FlipDimIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	9a3c066ede3c.8980c23345e5	73.4578	1213156658	3	forest	top	484f4d32-0003-acb2ec2e	Icondf2b-hoist64-20260728
2026-07-28T02:27:21+00:00	BASE/Iconf2b	?FlipIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	7a91f7159651	85.9204	1213156658	48	forest	top	484f4d32-0048-000ce318	Iconf2b-forest64-20260728
2026-07-28T02:24:51+00:00	BASE/Iconm2b	?MonoIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	e30b423f0d5a.651319fc93db	81.3812	1213156658	4	forest	top	484f4d32-0004-bb0fbda1	Iconm2b-forest64-20260728
2026-07-28T02:38:26+00:00	BASE/Iconmf2b	?FlipMonoIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	1f7da1d30d51.0bcb0c3934d6	81.2515	1213156658	37	forest	top	484f4d32-0037-1612ea2b	Iconmf2b-hoist64-20260728
2026-07-26T21:24:12+00:00	SOURCE/SPELLS	?ResetBoltAngle@combatManager@@QAEXPAUSBolt@@@Z	0ad74d352645	100.0000	1213156658	8	forest	target	484f4d32-0008-a46e452f	ResetBoltAngle-master-final
2026-07-26T21:40:38+00:00	BASE/MOUSEMGR	?SetPointer@mouseManager@@QAEXH@Z	f6f1daceb91a	100.0000	1213156658	22	forest	target	484f4d32-0022-ab1659bf	SetPointer-predeclared-trial22-20260726
2026-07-26T21:19:34+00:00	SOURCE/ADVMGR	?TownQuickView@advManager@@QAEXHHHH@Z	4a6d1ac77184	99.9918	1213156658	16	forest	target	484f4d32-0016-6f3e683b	TownQuickView-master-replay
2026-07-29T00:00:04+00:00	SOURCE/ADVMGR	?IsCrystalBallInEffect@advManager@@QAEHHHH@Z	a0c68c8fdab9	100.0000	8181	1	forest	top	00001ff5-0001-c1d5539b	advmgr-icbie
2026-07-28T12:32:03+00:00	SOURCE/SPELLS	?ElementalStorm@combatManager@@QAEXXZ	879c80bdc0ab	100.0000	777	4	forest	top	00000309-0004-9123ca71	br-SOURCE-SPELLS-0x2414e
2026-07-24T00:19:07+00:00	SOURCE/CMBTMGR	?CatAttack@combatManager@@QAEXH@Z	38d8bafd05a0	99.9977	20260724	5	forest	target	01352774-0005-620050b4	catattack-expression-order
2026-07-24T00:22:56+00:00	SOURCE/CMBTMGR	?CatAttack@combatManager@@QAEXH@Z	4f07ce5b1159	99.9977	20260724	5	forest	target	01352774-0005-620050b4	catattack-no-steer
2026-07-26T19:14:32+00:00	BASE/Misc	?CreatePCXFile@@YIXPADPAEHH1@Z	c2764bc2b891.076d7b63a6f7	98.3784	1213156658	5	forest	target	484f4d32-0005-a93a09ae	createpcx-literal-helper-20260726
2026-07-26T07:01:05+00:00	BASE/WINMGR	?CycleColors@@YIXH@Z	6497ba380cd2	100.0000	1213156658	120	forest	target	484f4d32-0120-a603a5d8	cycle-colors-active-guard-states-20260726
2026-07-24T03:51:53+00:00	SOURCE/ARMY	?DamageEnemy@army@@QAEXPAV1@PAH1HH@Z	f0b75b41890a	100.0000	1213156658	12	forest	target	484f4d32-0012-e306cf80	damage-enemy-exact-replay
2026-07-23T20:48:57+00:00	SOURCE/wingraph	?DDAppPaint@@YIHPAX0@Z	1e2c3b184da2	100.0000	1145323856	1	forest	target	44444150-0001-734d8e0a	ddapppaint-historical-loss
2026-07-26T15:22:02+00:00	SOURCE/SPELLS	?DoBlast@combatManager@@QAEXHH@Z	368b5b94227f	99.9912	1213156658	10	forest	target	484f4d32-0010-63686ebb	do-blast-clean-best-recorded-20260726
2026-07-24T04:07:53+00:00	SOURCE/CURSOR	?DrawCursorShadow@advManager@@QAEXXZ	47fa1e66459e	100.0000	20260724	1	forest	target	01352774-0001-f69465fb	draw-cursor-shadow-clean-source
2026-07-28T09:05:21+00:00	SOURCE/SPELLS	?DrawBolt@combatManager@@QAEXPAUSBolt@@H@Z	2583c222df0a	100.0000	31337	17	forest	top	00007a69-0017-fa5f0594	drawbolt-fixed128-20260730
2026-07-26T17:40:12+00:00	SOURCE/ADVMGR	?DrawCell@advManager@@QAEXHHHHHH@Z	bc49f9e499ad	99.0253	20260725	4	forest	target	01352775-0004-b4e04b16	drawcell-hero-y-bitfield-indexed-entry-trials1-4-recorded-20260726
2026-07-26T17:38:15+00:00	SOURCE/ADVMGR	?DrawCell@advManager@@QAEXHHHHHH@Z	bc49f9e499ad	97.9768	20260725	3	forest	target	01352775-0003-30cf3295	drawcell-hero-y-trials1-4-recorded-20260726
2026-07-26T17:42:33+00:00	BASE/droplist	?ProcessSelectDialog@dropListWidget@@QAEXXZ	d1072388f554	98.2886	1146244944	39	forest	top	44524f50-0039-d2a608cc	droplist-process-top-trial39-recorded-20260726
2026-07-29T01:11:28+00:00	SOURCE/EVENTS	?GenericSiteEvent@advManager@@QAEXPAVmapCell@@PAVhero@@@Z	49418cac1550	100.0000	1618	1	forest	top	00000652-0001-b10cdb08	events-gse
2026-07-26T14:52:50+00:00	SOURCE/AI	?GetBestArmy@combatManager@@QAEHHH@Z	59fc1a2bd34f	100.0000	798154	3	forest	target	000c2dca-0003-ac94bb38	getbestarmy-flat-trial3-recorded-20260726
2026-07-26T16:40:33+00:00	BASE/Icon2b	?IconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	67bd0eb9e60b	78.4148	1228030518	26	forest	target	49324236-0026-1005c801	icon2b-66-block-trial26-recorded-20260726
2026-07-28T07:56:56+00:00	BASE/Icon2b	?IconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	88b09dacabe1.02e5f0cc8453	79.1401	606060	106	forest	top	00093f6c-0106-f579e1c5	icon2b-flat-wide512-20260729
2026-07-27T13:06:45+00:00	BASE/Icon2b	?IconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	8d7fde1903f7.72fee5c5e9d9	79.4450	1213156658	1	forest	target	484f4d32-0001-76e1c088	icon2b-full-fill-run-macro-trial1-record-max-20260727
2026-07-27T13:11:23+00:00	BASE/Icon2b	?IconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	6864a876cfd1.72fee5c5e9d9	79.4450	1213156658	1	forest	target	484f4d32-0001-76e1c088	icon2b-iconmacro-trial1-record-max-20260727
2026-07-26T20:08:47+00:00	BASE/Icon2b	?IconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	eff62b5eb2e1	78.7885	1213156658	73	forest	target	484f4d32-0073-15053a6d	icon2b-read-helper-trial73-record-20260726
2026-07-27T01:26:12+00:00	BASE/Icon2b	?IconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	dcab2dcaec2b	80.8077	1213156658	14	forest	target	484f4d32-0014-ae7dae2f	icon2b-row-snapshot-trial14-record-20260727
2026-07-27T10:44:57+00:00	BASE/Icon2b	?IconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	423eab910174.02e5f0cc8453	81.6319	1230132785	40	forest	top	49525631-0040-f2b62f47	icon2b-row-visible-sibling-name-20260727
2026-07-27T11:18:44+00:00	BASE/Icon2b	?IconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	5771c983d173.02e5f0cc8453	81.6731	1229997388	1	forest	top	4950454c-0001-75d57ef9	icon2b-selected-entry-bytes-trial1-record-max-20260727
2026-07-27T01:12:57+00:00	BASE/Icon2b	?IconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	f397d460162d	80.7802	1213156658	41	forest	target	484f4d32-0041-d7487cc9	icon2b-staged-xy-pitch-trial41-record-20260727
2026-07-28T02:11:31+00:00	BASE/Icon2b	?IconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	aabbdf47cdf2.02e5f0cc8453	76.4313	1213156658	11	forest	top	484f4d32-0011-497d6a6e	icon2b-trial11-recorded-20260728
2026-07-28T03:10:52+00:00	BASE/icon2bc	?IconToBitmapColorTable@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAEH@Z	fbe2c3931f8a.0e13db56b47b	82.1127	1213156658	17	forest	top	484f4d32-0017-ca5b9f27	icon2bc-beforeloop-replay-20260728
2026-07-28T07:51:22+00:00	BASE/icon2bc	?IconToBitmapColorTable@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAEH@Z	e5f5a84bafe9.0e13db56b47b	82.5024	1213156658	24	forest	top	484f4d32-0024-601ac7e9	icon2bc-combo-replay-20260729
2026-07-28T02:25:40+00:00	BASE/icon2bc	?IconToBitmapColorTable@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAEH@Z	19e479e76dff.0e13db56b47b	82.7019	1213156658	4	forest	top	484f4d32-0004-bb0fbda1	icon2bc-forest64-20260728
2026-07-27T13:06:52+00:00	BASE/icon2bc	?IconToBitmapColorTable@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAEH@Z	5dac062a4a97.0e13db56b47b	83.7371	1213156658	1	forest	target	484f4d32-0001-76e1c088	icon2bc-full-fill-run-macro-trial1-record-max-20260727
2026-07-27T13:11:29+00:00	BASE/icon2bc	?IconToBitmapColorTable@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAEH@Z	7b48f3388306.0e13db56b47b	83.7371	1213156658	1	forest	target	484f4d32-0001-76e1c088	icon2bc-iconmacro-trial1-record-max-20260727
2026-07-26T17:30:20+00:00	BASE/icon2bs	?IconToBitmapScale@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	4e77e432ebfa	85.6312	1228034883	2	forest	target	49325343-0002-2f135071	icon2bs-rows-before-trial2-recorded-20260726
2026-07-28T00:41:28+00:00	BASE/icon2by	?IconToBitmapYModify@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAC@Z	05f27a372010.30f5cab9fe5a	100.0000	1213156658	39	forest	top	484f4d32-0039-98e7bbb6	icon2by-compound-updates-recorded-trial39-20260728
2026-07-27T19:01:37+00:00	BASE/icon2by	?IconToBitmapYModify@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAC@Z	4c56737a5064.30f5cab9fe5a	100.0000	1213156658	39	forest	top	484f4d32-0039-98e7bbb6	icon2by-direct-entries-recorded-trial39-v2-20260727
2026-07-27T18:06:15+00:00	BASE/icon2by	?IconToBitmapYModify@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAC@Z	15fda1250f72.852e9521ff86	100.0000	1213156658	39	forest	top	484f4d32-0039-98e7bbb6	icon2by-exact-recovery-recorded-trial39-20260727
2026-07-27T18:10:15+00:00	BASE/icon2by	?IconToBitmapYModify@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAC@Z	4378295c1ace.26d3a041ddc7	100.0000	1213156658	39	forest	top	484f4d32-0039-98e7bbb6	icon2by-semantic-global-names-recorded-trial39-20260727
2026-07-27T18:12:15+00:00	BASE/icon2by	?IconToBitmapYModify@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAC@Z	943de98c94ef.30f5cab9fe5a	100.0000	1213156658	39	forest	top	484f4d32-0039-98e7bbb6	icon2by-semantic-helper-params-recorded-trial39-20260727
2026-07-26T17:22:11+00:00	BASE/icon2by	?IconToBitmapYModify@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAC@Z	86c5e21c9110.14e6f82ad29f	98.0203	1229140569	10	forest	top	49433259-0010-314cfeda	icon2by-top-trial10-recorded-20260726
2026-07-28T03:45:42+00:00	BASE/Icond2b	?DimIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	6132c7c3e1d6	81.1724	1213156658	18	forest	top	484f4d32-0018-5aee332b	icond2b-flatx-replay-20260728
2026-07-26T16:53:07+00:00	BASE/Icond2b	?DimIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	0fec6d993e84	85.9138	1229206104	4	forest	target	49443258-0004-f09bd506	icond2b-published-x-trial4-recorded-20260726
2026-07-28T02:17:18+00:00	BASE/Icond2b	?DimIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	7823696ef898	79.2471	1213156658	24	forest	top	484f4d32-0024-601ac7e9	icond2b-trial24-recorded-20260728
2026-07-26T17:08:26+00:00	BASE/Icondf2b	?FlipDimIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	ef1f6f65bc50	82.6747	1229341747	6	forest	target	49464433-0006-1ee7cccb	icondf2b-count-first-trial6-recorded-20260726
2026-07-28T03:38:32+00:00	BASE/Icondf2b	?FlipDimIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	23a59a04c1ac.8980c23345e5	78.6867	1213156658	3	forest	top	484f4d32-0003-acb2ec2e	icondf2b-flatsrc-replay-20260728
2026-07-28T02:23:32+00:00	BASE/Icondf2b	?FlipDimIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	af3cfee2efb0.8980c23345e5	73.7289	1213156658	57	forest	top	484f4d32-0057-19d2b4d2	icondf2b-structural-64-20260728
2026-07-28T08:00:13+00:00	BASE/Iconf2b	?FlipIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	de5ef6d0d6a5	88.5756	606060	407	forest	top	00093f6c-0407-18fe6e1a	iconf2b-latey-wide512-20260729
2026-07-28T07:22:09+00:00	BASE/Iconf2b	?FlipIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	03f2db3b494d	88.6048	1213156658	39	forest	top	484f4d32-0039-98e7bbb6	iconf2b-retailorder-replay-20260729
2026-07-27T21:24:20+00:00	BASE/Iconf2b	?FlipIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	fd7473b56684.a0f2f4b10bfa	81.5252	1213156658	18	forest	top	484f4d32-0018-5aee332b	iconf2b-semantic-setup-do-loop-50-20260727
2026-07-28T03:14:23+00:00	BASE/iconf2bc	?FlipIconToBitmapColorTable@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAE@Z	68e2dc5583ee.2e149f56ae53	84.8186	1213156658	30	forest	top	484f4d32-0030-fdb88f11	iconf2bc-flat-replay-20260728
2026-07-28T02:26:31+00:00	BASE/iconf2bc	?FlipIconToBitmapColorTable@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAE@Z	ae7dee39acba.2e149f56ae53	82.8741	1213156658	15	forest	top	484f4d32-0015-23b770fb	iconf2bc-forest64-20260728
2026-07-28T02:36:51+00:00	BASE/iconf2bc	?FlipIconToBitmapColorTable@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAE@Z	d0f64f8f58c5.2e149f56ae53	84.2519	1213156658	20	forest	top	484f4d32-0020-9dffed7e	iconf2bc-hoist64-20260728
2026-07-26T20:27:33+00:00	BASE/iconf2bc	?FlipIconToBitmapColorTable@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAE@Z	93abd4c747fe	86.7204	1213156658	4	forest	target	484f4d32-0004-bb0fbda1	iconf2bc-original-target-120-20260726
2026-07-26T16:17:40+00:00	BASE/iconf2bc	?FlipIconToBitmapColorTable@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAE@Z	80ac0ee2f181	86.5466	1229341490	47	forest	target	49464332-0047-78f5b5a8	iconf2bc-preserve-width-trial47-recorded-20260726b
2026-07-28T07:46:40+00:00	BASE/iconf2bc	?FlipIconToBitmapColorTable@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAE@Z	b6be8fbc694d.2e149f56ae53	84.9093	1213156658	15	forest	top	484f4d32-0015-23b770fb	iconf2bc-retailorder-replay-20260729
2026-07-26T17:33:46+00:00	BASE/iconf2by	?FlipIconToBitmapYModify@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAC@Z	ef348afb6016.aa0f82f3995a	90.9517	1180254809	1	forest	top	46594259-0001-5bff90f6	iconf2by-current-header-top-trial1-20260726
2026-07-27T20:55:06+00:00	BASE/iconf2by	?FlipIconToBitmapYModify@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAC@Z	f38d4d50b121.4dabe2f544ff	94.4102	1213156658	60	forest	top	484f4d32-0060-00e71292	iconf2by-dim-direct-global-trial60-record-max-20260727
2026-07-26T17:34:08+00:00	BASE/iconf2by	?FlipIconToBitmapYModify@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAC@Z	ef348afb6016.aa0f82f3995a	92.5067	1180254809	1	forest	top	46594259-0001-5bff90f6	iconf2by-historical-header-top-trial1-recorded-20260726
2026-07-28T02:31:08+00:00	BASE/Iconm2b	?MonoIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	7ec770f1510c.651319fc93db	85.0663	1213156658	4	forest	top	484f4d32-0004-bb0fbda1	iconm2b-hoist-replay-20260728
2026-07-27T00:31:21+00:00	BASE/Iconmf2b	?FlipMonoIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	5cdb92eca523	80.2755	1213156658	8	forest	target	484f4d32-0008-a46e452f	iconmf2b-file-scope-trial8-reproof-20260727
2026-07-28T02:20:45+00:00	BASE/Iconmf2b	?FlipMonoIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z	9443d8fb55d1.0bcb0c3934d6	79.6048	1213156658	8	forest	top	484f4d32-0008-a46e452f	iconmf2b-structural-64-20260728
2026-07-29T00:43:09+00:00	SOURCE/PATH	?GetAdjacentCellIndex@army@@QAEHHH@Z	46dd80061b7b	100.0000	2718	4	forest	top	00000a9e-0004-825d8110	path-a
2026-07-29T00:43:22+00:00	SOURCE/PATH	?GetAdjacentCellIndexNoArmy@@YIHHH@Z	dd32291a7b23	100.0000	2718	1	forest	top	00000a9e-0001-379b812c	path-b
2026-07-28T23:43:27+00:00	SOURCE/PHILAI	?GetBestHero@philAI@@QAEXPAVtown@@AAUBHC@@AAM@Z	97ebf934a5cb	100.0000	1291	4	forest	top	0000050b-0004-7371fbd9	philai-GetBestHero-1291
2026-07-23T21:06:23+00:00	SOURCE/PHILAI	?HeroInteractionAtHero@philAI@@QAEXPAVhero@@0HPAH@Z	443b62810f68	100.0000	1212760392	5	forest	target	48494148-0005-6d777000	philai-herointeraction-historical-loss
2026-07-23T20:55:12+00:00	SOURCE/RECRUIT	?Open@recruitUnit@@UAEHH@Z	e6ec0a1c1561	100.0000	1380929614	4	forest	target	524f504e-0004-4f38ffc1	recruit-open-historical-loss
2026-07-24T00:33:04+00:00	SOURCE/PHILAI	?RVOfPosition@philAI@@QAEHHHHHHHHHHH@Z	986a563cbd6c	99.9906	20260724	1	forest	target	01352774-0001-f69465fb	rv-of-position
2026-07-26T17:45:24+00:00	SOURCE/COMMAND	?ShowDeadArmies@combatManager@@QAEXPAVheroWindow@@@Z	1ff4f81c6ac6	99.0035	1213156658	1	forest	target	484f4d32-0001-76e1c088	show-dead-armies-trial1-recorded-20260726
2026-07-28T11:05:35+00:00	SOURCE/GAME	?PerMonth@game@@QAEXXZ	54301e5d8082	100.0000	31337	4	forest	top	00007a69-0004-95e2ebea	sm5-PerMonthgameQAEXXZ-31337
2026-07-28T11:16:27+00:00	SOURCE/GAME	?SetRandomHeroArmies@game@@QAEXHH@Z	793c0a86e88a	100.0000	31337	76	forest	top	00007a69-0076-03ad40ad	sm5-SetRandomHeroArmiesg-31337
2026-07-28T10:56:49+00:00	SOURCE/ADVMGR	?ShowRoute@advManager@@QAEXHHH@Z	ed54867bc1d8	100.0000	31337	4	forest	top	00007a69-0004-95e2ebea	sm5-ShowRouteadvManagerQ-31337
2026-07-28T11:29:36+00:00	SOURCE/SPELLS	?SummonElemental@combatManager@@QAEXHH@Z	57cd18f1e020	100.0000	31337	1	forest	top	00007a69-0001-ae1305ce	sm5-SummonElementalcomba-31337
2026-07-28T11:22:06+00:00	SOURCE/SPELLS	?AddBolt@combatManager@@QAEXPAUSBolt@@HHHHHHHHHHHH@Z	04809081f828	100.0000	31337	53	forest	top	00007a69-0053-441fdc47	sm6-AddBolt-31337
2026-07-29T00:57:18+00:00	SOURCE/SPELLS	?DoBlast@combatManager@@QAEXHH@Z	368b5b94227f	100.0000	1123	95	forest	top	00000463-0095-b7361fc6	spells-DoBlast-1123
2026-07-28T08:43:47+00:00	SOURCE/CURSOR	?ValidMove@advManager@@QAEHHH@Z	ab5e7fe02b27	100.0000	1213156658	11	forest	top	484f4d32-0011-497d6a6e	srcq-CURSOR-0xfa15
2026-07-28T10:12:12+00:00	BASE/Bzip	?NORMALISELO@@YIHH@Z	c68595a63256	100.0000	31337	1	forest	top	00007a69-0001-ae1305ce	steermig-Bzip-0xd5810
2026-07-28T10:26:20+00:00	SOURCE/CMBTMGR	?KeepAttack@combatManager@@QAEXH@Z	d604bec5af19	100.0000	31337	21	forest	top	00007a69-0021-75b71f9e	steermig2-KeepAttack-0x9412d
2026-07-28T10:46:05+00:00	SOURCE/PATH	?GetBestDirection@army@@QAEHHHH@Z	a13fe507bf04	100.0000	424242	94	forest	top	00067932-0094-5b234385	steermig4-gbd-424242
2026-07-26T06:55:11+00:00	BASE/TEXTWDGT	?Main@textWidget@@UAEHAAUtag_message@@@Z	5a9dd52fe9f9	100.0000	1213156658	2	forest	target	484f4d32-0002-e2d06adb	text-widget-main-storage-states-20260726
2026-07-23T21:32:20+00:00	SOURCE/CURSOR	?ValidMove@advManager@@QAEHHH@Z	ffa791e5b029	100.0000	1447119945	36	forest	target	56414c49-0036-b9bf93c5	validmove-current-forest
