# schema_version	1
# base_checkpoint	8116876be8a54b191e027144012cf7726418b595
# corrected_owner_checkpoint	6a86651f544e766fdd9ffc2adad0f3bde1d718ce
# target_rva	0x004d1ba0 (normalized tool RVA 0x000d1ba0)
# target_size	0x4f1
# retained_source_sha256	6d75b7b03c1c1295c9ee896618abc9756d8df654f4b9f151dda5c3083aa4e730
# retained_object_sha256	002371f2a0896235494ec4a8a7b5bfac6fb146290d274b940aef666390badb96
# retained_text_sha256	0596f651ae42685c1cee0282b780756855c2d358883d82c85525618338006f3a
# target_object_sha256	1620109acfec9c11aca38897696b8ab056e7b87091fb9f4bda8f1be60e77f1ae
# target_text_sha256	dc51ac4ccfd5869d35741916dc42d83a184ddaf4238987fc68a233c57073b9a9
# predecessor_state	No preceding function exists in this translation unit.
# new_axis	Differentially align the retail Iconf2b decoder with retail/candidate iconf2bc and iconf2by, then transfer only common body ownership and branch-coalescing structure not covered by the prior include/declaration/setup/right-skip matrices.
# template_proof	Retail Iconf2b and iconf2bc share the same command dispatch, fill/dim body order, literal overlap gate, and three-stage [esp+0x10] right-skip spill. The sibling source carries a distinct current-Y fill lifetime and a clipped-literal copy-count snapshot; both were transferred and retained as the more probable shared template even though this TU optimizes them away.
# static_owner_proof	Ordered retail DIR32 relocations map entry/x0/xend/y/x/src/clipR/clipB/row/run/color/cnt2/dimLen/dimPal/cnt/dimDst/dst/skip to 0x534c78/68/a4/74/7c/80/9c/8c/90/64/98/94/70/84/6c/88/a0/60 respectively. The prior annotations assigned most roles to adjacent cells; the corrected DATA VAs now agree with every one of the 81 retail relocation occurrences.
# raw_audit	Retained candidate .text remains 0x4e5 versus retail 0x4f1; first unmasked divergence remains +0x1d and the decoder begins +0xe9 versus retail +0xe3. Retained .text SHA is unchanged from the 032a2b3 checkpoint.
# relocation_audit	Candidate/retail counts remain 82/81 with no wrong semantic owner after the DATA correction; the sole occurrence-count excess remains gFlipY 9/8.
# conclusion	The bounded shared-template family produced no executable-byte gain. It corrected the complete static scratch ownership model and retained two retail/sibling-evidenced source lifetimes. The target remains an unresolved residual, not a wall or permitted stop.
# permutation_policy	No regex or AST permuter used; AST remains premature at 86.5756%.
state	score_pct	candidate_size	base_relocs	target_relocs	disposition	new_template_axis_and_byte_evidence
narrow_plus_cursor_dependency	86.04	0x4e5	82	81	rejected	Add only the real CURSOR.h dependency from X_GLOBAL after dimPalette; it restores the broad source/X register allocation and 82/81 count but does not improve bytes.
narrow_plus_hero_dependency	86.05	0x4e5	82	81	rejected	Add only the real hero.h dependency from X_GLOBAL; it likewise restores the broad allocation/count and canonical live score.
narrow_plus_sibling_misc	85.41	NA	82	81	rejected	Transfer icon2bc's direct Misc dependency beside dimPalette; the count improves but setup register assignment and stack traffic regress.
narrow_include_order_surfaces	84.60	0x4ef	84	81	rejected_byte_identical	Move dimPalette around IconEntry/string declarations; declaration timing within the same narrow dependency set does not change executable bytes.
broad_dependency_after_scratch	82.68	NA	84	81	rejected	Declare narrow dimPalette first but parse X_GLOBAL only after private scratch definitions; this late dependency ordering broadly regresses and keeps all three Y reloads.
narrow_const_register_current_y	84.60	0x4ef	84	81	rejected_byte_identical	Const and register-qualified clipped fill/dim Y snapshots do not keep the values live; VC4.2 emits the same three excess reloads.
narrow_nested_fill_vertical_gate	84.71	NA	84	81	rejected	Nest the two fill Y bounds so the first successful comparison owns the second; bytes improve slightly but the extra fill reload remains.
narrow_nested_fill_dim_vertical_gates	85.36	NA	84	81	rejected	Nest both clipped fill and clipped dim vertical gates; this is the strongest narrow state but still retains 11/8 Y occurrences and trails broad canonical.
broad_nested_fill_vertical_gate	86.05	0x4e5	82	81	rejected_byte_identical	Apply the improved narrow fill gate to broad canonical; optimizer emits canonical bytes.
broad_nested_fill_dim_vertical_gates	86.01	NA	82	81	rejected	Apply both nested gates to broad canonical; clipped dim scheduling regresses slightly.
narrow_misc_nested_vertical_gates	85.41	NA	82	81	rejected_byte_identical	Combine the sibling Misc dependency with both nested gates; dependency allocation dominates and bytes equal narrow-plus-Misc.
canonical_broad_after_hybrid_family	86.05	0x4e5	82	81	retained_source	Restore the integrated broad source; retained source-hash maximum remains 86.5756%.
# typed_view_checkpoint	fresh7 at base checkpoint 6b737d2; bounded retail-first IconEntry/source-cursor ownership pass, with no declaration-order, header-surface, static-owner, hybrid-dependency, or predicate-family replay.
# typed_view_codeview	The synthesized PDB retains the Iconf2b compiland and function span but only one synthetic line-1 record and no local types; it cannot prove an original inline accessor or statement boundary.
# typed_view_retail_setup	Retail +0x18..+0x32 is w->ECX, entry LEA->EDI, w spill, x->EBX, src += entry->srcOffset in ESI, x subtraction, y->EBP, w subtraction, then gFlipEntry publication.
# typed_view_result	A separate typed IconEntry array root plus byte cursor restores ESI as the source cursor and the [edi+9] srcOffset add while preserving the broad X_GLOBAL dependency state. It reproduces the retained 86.5756% plateau and is retained as the stronger semantic source.
in_place_byte_cursor	86.16	0x4e7	82	81	rejected	Mutate one unsigned-byte cursor from icon data through entry->srcOffset; restores retail ESI source ownership but leaves entry materialization at +0x21 and regresses below the plateau.
direct_typed_entry_expression	86.16	0x4e7	82	81	rejected_byte_identical	Spell the entry as src + frame*sizeof(IconEntry); compiler emits the same bytes as in_place_byte_cursor.
entry_reference_view	86.26	0x4e9	82	81	rejected	Bind the direct entry as an IconEntry reference; setup is unchanged and downstream state gains two bytes, but remains below the plateau.
srcOffset_field_pointer	86.16	0x4e7	82	81	rejected	Take a typed pointer to entry.srcOffset before advancing the byte cursor; it discards the reference-state gain and does not materialize the entry earlier.
split_entry_cursor	86.26	0x4e9	82	81	rejected	Initialize entry from the byte root and advance it by frame in a second statement; matches entry_reference_view bytes but not retail setup ordering.
entry_x_snapshot	86.16	0x4e7	82	81	rejected	Snapshot entry X before advancing the cursor; optimizer coalesces it and loses the split-entry gain.
post_transform_entry_y	85.02	0x4f8	82	81	rejected	Move the raw entry-Y snapshot after both transformed-X subtractions; entry LEA and X improve locally but clip setup spills and full allocation regress.
sibling_setup_ownership	83.34	0x4f1	82	81	rejected	Transfer the iconf2bc-style w/x/global-entry/src/X-end/Y source ownership. Candidate size becomes retail-sized and entry LEA/X align, but source/X register roles and the full body regress.
typed_array_byte_cursor	86.5756	0x4e5	82	81	retained	Keep IconEntry *entries as the typed root and derive an independent unsigned-byte cursor from it. Restores the best retained bytes, ESI source cursor, and [edi+9] add without changing dependencies.
typed_array_reference_entry	86.5756	0x4e5	82	81	rejected_byte_identical	Bind entries[frame] as a reference instead of a pointer; executable bytes are identical to typed_array_byte_cursor, so retain the conventional pointer view.
typed_array_delayed_y	85.04	0x4f3	82	81	rejected	Delay entry-Y until after the width subtraction. Entry LEA/w spill/X align exactly, but EAX/ECX roles swap, Y still precedes the source add, and downstream allocation regresses.
early_entry_publication	86.13	0x4de	82	81	rejected	Publish gFlipEntry before reading Y so the optimizer delays Y. Entry LEA/w spill/X align, but subtraction/source/Y/store order and candidate size regress.
early_publication_entry_x_snapshot	83.43	0x4f3	82	81	rejected	Combine early publication with a separate entry-X lifetime; cursor moves to EBX and setup/body allocation regress sharply.
source_before_x_early_publication	85.70	0x4f3	82	81	rejected	Advance ESI before direct X subtraction, then publish entry before Y. Retail ordering matches through the X subtraction but width/store/Y order and register roles regress.
y_before_entry_publication	85.04	0x4f4	82	81	rejected	Read Y immediately before publishing entry; optimizer hoists Y back to +0x1d and swaps source/X roles.
# typed_view_conclusion	No tested real typed/accessor ownership delays Y while preserving the proven broad dependency allocation. The retained source improves the clean live build from 86.05% back to 86.5756%; +0x1d Y publication and the one gFlipY excess remain unresolved, not a wall.
